#separator:tab
#html:true
#guid column:1
#tags column:3
"B-N|kF-#aW"	(1) -(r)on; (2) -or	agental suffix (suf)	
"GHn+<b#oqT"	elo	behold! (interj)	
Pn[TT6jY4D	elui	starry (adj)	
"s9nO4i4E#X"	elu	(pale) blue (adj)	
zlLbDf:e}n	elva-	to marvel at, admire (vb)	
AerG0Q*.7P	elvain	wondrous, marvelous, wonderful; ⚠️wonder(ful thing), marvel (adj)	
AN-zYr[6{c	elven	wonder, wonderment (n)	
Q_,,TN0|n.	emel	mother (n)	
PmGRCm;>Xx	emig	[little] mother, *mommy (n)	
oX(BZEA+Vl	emma-	to paint, draw (something) (vb)	
rwUZUda9YG	emmas	painting, drawing (vb)	
pK1G0)6`m?	em	picture, image (n)	
mkUJc/ttMp	en (adv)	then, [G.] that past, ⚠️that by you, that already mentioned (by you) (adv)	
oGQ[^LLdT/	en (prep)	of the (prep)	
k:6lV1G{KF	en (pron)	1st sg pronoun (pron)	
dRS&<h8mtC	en-	*to name (vb)	
nSa;IolA=;	enas	title (n)	
!2_(ZfeBe	ened (adv)	moreover (adv)	
OpxH]s=i7M	ened (n)	centre (n)	
DTy8!7$mky	enedhren	central, essential (adj)	
N_|Rta=c&U	enedh	centre, middle; [N.] core (n)	
BYpP:L7Ofu	eneg	six (cardinal)	
HB^?;z:1!1	eneth	*name (n)	
Ba<OI:x4Zf	enia-	to be born, be generated, result (vb)	
P_Ig}+q>(k	ennais	signature, (lit.) name sign (n)	
BVlYUYjP/&	ennas	there (adv)	
ln4UsdLn7,	ennen	named (adj)	
If[{mf%o4r	eno	*still (adv)	
H7gJs_f-YB	enweria-	to revere (vb)	
g_<!lDHO;x	enwiol	nominal (adj)	
u&nO`c<g!0	ephed-	to say out (vb)	
NO^MHv$j3+	ephel	outer fence, surrounding ring (n)	
Qn^`^u0&M.	ephola-	?to remember (vb)	
QX+I(d)+@8	erchion	orchish (adj)	
Kiu8/g:a2g	ereb	single, alone, lonely, [N.] isolated (adj)	
hx_G->.N75	ereg	holly, [N.] holly-tree, ⚠️[S.] thorn (n)	
F3e,e$!:hR	ereth	solitude, oneness, loneliness (n)	
b}s>ro~H{K	eriad	rising (n)	
"eao#E:./X."	erlu	once, one time (adv)	
pwT%w^oN@x	ernil	prince (n)	
"x0#0G/a47W"	ero	*only, alone (adv)	
"ehmX&Z#|Je"	ertha-	to unite (vb)	
FVbm.G[UDV	erthad	union, uniting (n)	
cd0Epatc5X	eryn	wood, forest (of trees) (n)	
z$HKATr?U=	er	one, alone (adj)	
LEGj!cyKhM	esbin	thin thread, ⚠️tress (n)	
u{L@(DyT~x	escar	weapon (n)	
ism^4Apr6>	esgal	cast shadow, shade; screen, hiding; ⚠️veil (n)	
"y#NhFD@OZs"	esgia-	to smoke (intr.) (vb)	
"wmX=2#5avN"	ess	name (n)	
KOA^,Nc*iF	esta-	to call, *name (vb)	
Lp-_2Q1eJU	estannen	named, called (adj)	
s%zEKaB*B3	estel	hope, trust, *faith [in] (n)	
mr:_4@viUs	estola-	to encamp, *erect tents (vb)	
"D#B}ukkDQj"	estolad	encampment (n)	
pq]99Aro|w	ethir (Physical World)	mouth of a river, (lit.) outflow (n)	
"A6#vStsZw*"	ethir (Sense Perception)	spy (n)	
kf@9B]L;Y{	ethiria-	to flow out (vb)	
u/b>m15=m8	ethog-	to lead out, *bring out (vb)	
wW?|c5yJYu	etholtha-	to extract, make come out (vb)	
qo4nwIYPke	ethuil	spring [the season] (n)	
I?+g1:RTA8	eth	outside (adj adv)	
r9^(ZT8MBW	e	he (pron)	
e`?e>45UVv	faefelf	soul-feeling, *emotion (n)	
EH9LeM}aTs	faeg	mean, poor, bad (adj)	
F![Q*zKLg7	fael (adj)	fair-minded, just, generous (adj)	
yYkWR,_a&S	fael (n adj)	gleam of the sun; *gleaming (n adj)	
mRyG.eM5o;	faelas	fairness, equity (n)	
r&-0~F?uaJ	faen	vapour; ⚠️[disembodied] spirit (n)	
"P#_k<U*R[5"	faergol	depression, grief, (lit.) spirit-burden (n)	
B7&6i0.k[-	faer	spirit (in general) (n)	
AI%S[q7h@=	fae	incarnate spirit, *soul (n)	
FL>[0l>-:s	fain	white, shimmering, shining, [N.] radiant; [S.] white and shining [thing]; ⚠️dim, dimmed; filmy, fine-woven; (vague) apparition; cloud (adj n)	
rHE)gar2wk	fair (Time)	quick, ready, prompt (adj)	
n4^G4+X3]a	fair	right (hand) (adj)	
I,lIPJ^h58	falas	beach, shore, strand, surf(line) (n)	
Ad?WD)d4$]	falchon	great two-handed sword, twibill (n)	
vE%|U)Zolo	falch	[ᴱN.] cleft, ravine (n)	
"AztQD#z/`b"	faloth	large foamy wave (n)	
jbzT}C(01t	fang	beard, ⚠️[G.] long beard (n)	
JQNbiWov}9	fanui	cloudy, (lit.) having much cloud (adj)	
ElNQekQVBN	fanu	vapour, steam (n)	
A2sZHQ@:{j	fanwos	mind-picture (of apparition in dream) (n)	
nUpYTPJwvh	faran	rowan, *ash (n)	
rYFs%Z2>Sd	faroth	*hunting (n)	
CW0O6{,;<a	fartha-	to sate, satisfy (vb)	
xQR.//b`ye	farthannen	sated, satisfied (adj)	
u[|tFb~:5e	farthas	satiety, satisfaction (n)	
csyR/:l~gp	fass	tassle (n)	
E._;%oD-(}	fastui	shaggy, hairy, hirsute (n)	
N9+eVU20qO	fathol	(tasselled) fringe (n)	
u$%=%hWKMG	fathren	tasselled (adj)	
tsa+U(-1fO	faug	[N.] thirsty, ⚠️[S.] gape (adj)	
C&&cR6Njf`	faul (Body Parts and Functions)	bladder, (orig.) inflated thing (n)	
"x}|i@#>r<<"	faw-	to puff, blow, pant (vb)	
zO|2ma0:AR	faw	*breath, puff of breath (n)	
l-(IO)dt9G	fel-	to feel (a sensation or emotion) (vb)	
"fDE;lEI#-<"	felagund	den-dweller; brock, badger (n)	
L2!~]Lb{1A	felaich	splash (n)	
lII?PfH|rj	fela	mine, boring, tunnel, underground dwelling; ⚠️minor excavations, den; [N.] cave (n)	
Mzq66oI.6?	felechia-	to splash (vb)	
!M29b_]0H	feleg	cave, ⚠️mine, underground dwelling (n)	
Gj?La:oe/k	felf	feeling, sensation (n)	
e(r.>L-/FT	fen(n)	door; ⚠️[N.] threshold (n)	
ct1f_wQ%1Z	fend	threshold (n)	
A.M@Y2vIGk	fennas	great door, doorway, gateway (n)	
qPt(MtT;bt	feredis	hunter (f.) (n)	
))r/I%?TI	fergar	soon done (adj)	
jx*k.3A,=g	fergenol	quick to see or perceive, sharp-sighted or witted (adj)	
r`0dKWTc-Y	feria-	to make ready (promptly) (vb)	
LaYQ&=/oC4	fern	dead person; [N.] dead (of mortals) (n adj)	
HboG2KxUoE	ferui	ready to hand, (quickly) available (adj)	
u>p}.@KA|W	fervain	northern (adj)	
G3:N9Wf)[p	fesga-	to itch, irritate (vb)	
nm(Go6uloR	fesg	itching, irritating (adj)	
AHbdNh%T.c	fess	itch, itching (n)	
k,RHnKg;_,	fidhras	collective hair, *all hair on the body (n)	
ur.PM4oJsx	fidhren	having hair, -haired (adj)	
Hej;zenGyy	fileb	fern (n)	
v2/$u3{[3N	fim	slender, slim (adj)	
"wu4vV#@R6R"	finc	trick (n)	
gr%2?n]|vA	findel	head of hair, fax, mass of long hair; having fine or beautiful hair (n adj)	
N1h0BWsw<J	find	tress, [ON.] lock of hair; [ᴱN.] hair (in general); ⚠️[S.] single hair (n)	
iG`Q!Qu~~	fineg	*lock of hair (n)	
iEmZ6YBrs}	fing	lock of hair (n)	
JPpUf8C{%?	finios	larch (n)	
npZ}i.suw|	finna-	to trick, deceive, cheat, take in (vb)	
D`to}@+na+	finnel	head of hair, fax, mass of long hair; having fine or beautiful hair; ⚠️[N.] (braided) hair; [G.] tress (n adj)	
mBz?(4.cJo	finn	tress; single hair; [ᴱN.] hair; [G.] lock of hair (n)	
%@od(gJw7	fir-	to fade, *die (vb)	
OH-zV-~in8	firin	dying, ⚠️mortal; [N.] human (adj)	
v~y>^[ghS?	firith	fading; [late] autumn (n)	
"ky4fVRu#/y"	flinc	finch (n)	
k9!/q&5FLR	flâd	skin (n)	
et*0AH{{/.	foen	long sight (n)	
Iz0::]8QXj	fordúnen	northwestern (adj)	
uS{Q@e4j$w	fordûn	northwest (n)	
s^oPr=tWx?	forn	north, [N.] right (adj)	
"mu-M0Gmfv#"	forod	north (n)	
r<Js];2+!5	forrúnen	northeast (adj)	
l(u6iX+5yt	forrûn	northeast (n)	
b6P/JOU:HR	forvo	right hand, right side (n)	
K<LV?_t:&]	fovas	folly (n)	
Kp)PVPNE;b	fovren	foolish (adj)	
rK{MTV4z)V	fuin	night, gloom, darkness, [N.] dead of night (n)	
o^;_u.oyv@	fuiol	disgusting (adj)	
"lxyH]#Oej("	fuir	[N.] right (hand); ⚠️north (adj)	
vo8Kp^|z)3	fyvril	moth (n)	
Lb]r_Ujtis	fân	(white) cloud; veil, curtain; form or vision of a spiritual being; ⚠️spirit [embodied] (n)	
hrx_E+/>PN	fíreb	mortal (adj)	
IDI;!ByRr*	fîn	(single) hair, filament (n)	
"twsFRp#?WI"	fôf	fool (n)	
gf4,cWFz&z	fû	path (n)	
M>=:0*;&sE	gach	cow (n)	
f;mq!2ucGI	gadas	trap (n)	
n|a%)EInv!	gaearon	ocean, (lit.) great sea (n)	
JQU;&WAz.!	gaeda-	to astound, make aghast (&amp; surprise, shock) (vb)	
Arkg/*lrn:	gaer (Emotion)	awful, fearful, [N.] dreadful (adj)	
DQN-|Hqwes	gaer (Sense Perception)	red, copper-coloured, ruddy (adj)	
n<`v!sb1ok	gaeruil	seaweed (n)	
CtN(o+YvVd	gaesen	of steel (adj)	
KqIW11g=Rq	gaessarn	pearl, (lit.) sea-pebble (n)	
w7K0AfLPu=	gaes	steel (n)	
ks>J<$6WpB	gaethren	like steel (adj)	
g+Er7Su-Iv	gaew	pregnant (adj)	
tu|KSs;`Jy	gail	silver spark, [ᴱN.] star; sign, token, heavenly body (n)	
y;{NJBpdhO	gal- (pref)	well, blessedly (pref)	
i-ga2w8z]Z	gal- (vb)	to shine clear, [G.] shine golden as the Sun (vb)	
L4zol[pY~7	gala-	to grow (vb)	
"I0gFJ!#fKJ"	galadhremmen	tree-meshed (adj)	
P}e-X*7J(v	galadh	tree (n)	
OVg2q[Zup[	galad	radiance, glittering reflection; ⚠️light, fire, brightness, shining; bliss; [ᴱN.] dawn (n)	
I8>:)yu@fj	galdol	welcome (interj)	
eQ+w1j-!Lr	galenas	pipeweed, nicotiana, *tobacco (n)	
P68-!6]l`U	galenathrod	(smoking) pipe (n)	
Jz8$(mJ6D$	galen	grown (esp. of plants) (adj)	
hs30<^(.eV	galf	back [of a body], shoulders [collectively] (n)	
KCX`CpdoB`	galtha-	to be glad (vb)	
zX4/o]e?vG	galu	increase, growth; ⚠️good fortune, blessedness, blessings (n)	
C0aC.i0BFx	galvorn	type of dark metal devised by Eöl, *(lit.) shining-black (n)	
d%C/5%}{Sb	gamp	hook, crook; [N.] claw (n)	
IOX7qg=%F4	ganna-	to gain, profit, increase; to be profitable, bring in revenue (vb)	
EbOTv5H&AX	gannan	waxen, grown big, grown up, adult, [originally?] large (adj)	
Dx|d6;aM_d	gant	larger, greater, more, (lit.) increased (adv)	
upc3|b=USS	gardh	region (n)	
u7MiA<aEKO	garnen	own, held, possessed (adj)	
t1n-Zl@NX^	garob	robe, [G.] outer garment, ⚠️cloak (n)	
K0%K8K?zq{	gartha-	to defend, ⚠️keep (vb)	
DLhyt@3rA1	gauda-	to invent, originate, devise (vb)	
"Ejob!0^#2g"	gaug	clumsy; ⚠️left (hand) (adj)	
GfF)_hsPx3	gaur	werewolf (n)	
s+ea/Bat}v	ged-	to get, catch, obtain, take (vb)	
NO(|X7=W6p	gelia-	to learn (vb)	
nyS-g!|+3=	gelir	merry (adj)	
h,!Y]@oOI@	gella-	to rejoice, delight (vb)	
gV/y}n(f!f	genedia-	to reckon (vb)	
ndjot`@|[k	genediad	reckoning (n)	
LFd/<AquVC	geria-	to ponder (vb)	
q3@0kZG~o|	ge	maybe, if (conj)	
zUjF?RqFH|	gil-	to gleam, shine pale and silver (as of the moon [or stars]) (vb)	
htSm!E!GOJ	gil	star; (bright) spark, silver glint, twinkle of light (n)	
mhq~U6/i`/	gir-	to shudder (vb)	
d!7Tks&cf~	girith	shuddering; [N.] horror (n)	
M,LZwumtHy	gladh-	to laugh [at a joke], *guffaw (vb)	
M*qemOPD2s	gladhweg	cheerful, (lit.) apt to laugh (adj)	
Qyk&pcJwuc	glad	wood (n)	
LQq+i)fW%*	glae(gal)	light (as an ethereal substance), *photons (n)	
ko]kuD*<F_	glaenas	fair weather; serenity (n)	
"nI^.~y#iWg"	glaen	serene, clear, fair (espec. of weather) (adj)	
"ymf#l#*zJ~"	glaer	[N.] long lay, narrative poem, ⚠️[S.] tale, song (n)	
nlMKM~k.-N	glae	grass (n)	
E/%|6~f<R{	glaich	merry, joyous, happy (adj)	
zLG{p^8!Q0	glamog	orc (n)	
Lr$4K!dhb8	glam	din, uproar, bellowing of beasts, [N.] shouting, confused noise; barbarous speech; ⚠️[ᴱN.] hatred, [G.] loathing, fierce hate (n)	
BD/9=yJJ0G	glan(n)	boundary (n)	
nOwwL)p;G5	glandagol	boundary mark (n)	
ITyI0I%^5!	glanna-	to cleanse, purify, purge, *to clear, make clear (vb)	
Mw2:mwqR%@	glannaith	cleanliness, purity (n)	
LBY||8i)i/	glannas	purification (n)	
CxWrM;aG&3	glannen	cleanly, pure (adj)	
E,.-R>5V^Q	glassui	joyful, happy (adj)	
cqo])4-2wF	glasta-	(1) to joke; (2) to make happy (vb)	
bgJ90l~_4w	glast	marble (n)	
Ocv?Cw}4_b	glathralvas	flashing glass/crystal, *heliograph (n)	
vYLbfh*R;s	glathren	[of or like] marble (adj)	
wnoYiDZK5v	glaudh	joke, jest (n)	
cHVmG@?pow	glaur	gold [light or colour] (n adj)	
K*64sXwMi$	glavradeb	full of the din of voices (adj)	
zVsG?w}wip	glavradol	chattering, talkative (adj)	
HpNw70dhX:	glavradon	vain talker, *chatterbox (n)	
"ppy#^,(_pB"	glavras	babble, chatter, babel, din of voices (n)	
w*o<W}Oex5	glawar	gold (light or colour); [N.] sunlight, radiance (of Laurelin) (n)	
u3RIPji`2V	glaw	sunshine; [N.] radiance (n)	
"u_Y*#K||8!"	gleina-	to bound, enclose, limit (vb)	
fzgEUM:;K8	gleinannen	bounded, enclosed, limited (adj)	
n+qP$*BET~	glenna-	*to travel (vb)	
Gx5=V>fA7G	glidheb	like honey (adj)	
k-lp[1{i1%	glim	voice, *utterance (n)	
Dsy80~:0WD	glintha-	to glance (at) (vb)	
pF<g5%&C[%	glinthad	look, glance, flash of the eye (n)	
fvNXx^[fB/	glist	sugar (n)	
zB=M5evKn6	glodhren	jocular (adj)	
o3?nf]eyR?	glorchadhu	lotus, (lit.) golden seat (n)	
"Amu;_#?`x!"	gloss	(dazzling) white, [N.] snow-white, [G.] clear white; ⚠️[N.] snow (adj)	
u+=-z+mX@P	glosta-	to snow (vb)	
=Bg,78M+7	glosui	snow white (adj)	
J5XunxY3]T	glân (adj)	[bright shining] white; [N.] clear; [G.] pure, †bright; ⚠️[ᴱN.] clean (adj)	
"d43:#3TEg"	glân (n)	hem, border (n)	
mB^ss1zD=5	glîn(n)	gleam, glint (n)	
Jp4OI$q!yE	glóriel	golden (adj)	
O20toJq]uC	glórin	golden, ⚠️[G.] of gold (adj)	
DK9t=3~L$/	go-	(1) *away; (2) together, co-, com- (pref)	
KxuYC1&.=[	gobel	(walled) village, town (enclosure); [N.] walled house, *manor (n)	
o*rcFQNb2[	gobem	mouth (n)	
BJS:Od|p*Q	gobeth	dictionary (n)	
g8A%lRE&q3	gochest	brother and brother, brother and sister, etc., *a set of siblings (n)	
"E#*#N6Pw^s"	godref	abreast; *together-through (adv)	
E1,|;Nne=$	goeol	*fell, terrible, dire (adj)	
CDO(UMt~j{	goe	terror, great fear, [N.] dread (n)	
oudd|cojDU	goianna-	to join with, add to (vb)	
ncrnl^|8*~	golain	connection, relation, context, (lit.) threadage (n)	
"O_$ax+#N(("	golbar	school, university, (lit.) wisdom-house (n)	
r@Cw@&g6o.	golodh	lore-master, sage (n)	
bJt-Wla{Fi	golof	consonant (n)	
yQAlV)PTar	goloth	inflorescence, *collection of flowers (n)	
wGB`U^qz;5	goltha-	to teach, educate, tutor, (lit.) make knowledgable (vb)	
CC}:nry.ot	golthannen	learned, educated (adj)	
QRjXa0KE0W	golthanneth	teaching, lesson (n)	
Js|f&z9pF$	golthas	education, erudition (n)	
"e8Km^#TWSp"	golthor	teacher (n)	
OR<(Q+qpYR	golu	lore, *wisdom (n)	
CWLw(Z&q9x	gond	stone, rock, [N.] stone (as a material), ⚠️[G.] great stone (n)	
p[hWP/xxpL	gonneb	stony, rocky (adj)	
r?F*f9IWn=	gonnos	great rock (n)	
QyR/,ql9Vy	gonnoth	pillar, stele, memorial (n)	
v~MoWtR(W0	gonn	stone, rock (n)	
IL+UrFD~J]	gonoded	counting, accounting; ⚠️reckoning (n)	
n>r&xf4li[	gor- (pref)	hard, difficult (pref)	
k/I.jEVb%L	gor- (vb)	to warn, urge (vb)	
u$t1qR`X?3	goras	advice (n)	
kWD-_le6_w	gorbedui	only to be said with horror or grief, lamentable to tell (adj)	
os69%:lu4&	gorchanui	complicated, enigmatic, cryptic, hard to understand (adj)	
t<D)Hx}^T]	gordh (adj)	difficult, laborious (adj)	
"yor-v#g[zZ"	gordh (n)	deep thought (n)	
d]YzMwXk}{	goredhin	sib, akin, [closely] related (adj)	
BTkh5t$!xg	gorgor	extreme horror, terror, haunting fear (n)	
do;QrtbfVd	gorn (Religion and Beliefs)	revered (adj)	
j4uFu&7`}u	gorn (Sense Perception)	hard, stiff, thrawn (adj)	
y~wh(N-G6d	gornod(ui)	hard to count (adj)	
p<Q|0`)yH2	goroth	horror, dread (n)	
q?Jt7B,eS^	gorthad	wraith, spirit of Dead (n)	
cy_/{5Sl<{	gorthob	horrible (adj)	
LN`b~0cl/Y	gorth	dead; dead (person) (adj n)	
x)8r*VHBVr	gor	horror, dread, fear (n)	
Pp],5w+@[8	gothiol	similar (adj)	
g1;e^q7&wH	govaethas	government (n)	
wH0Dr&B?cu	govai	alike, similar (adj adv)	
w)mNiAIFnf	govan-	to meet, come to same place (vb)	
wk2OlHy~Cu	goven	crossroads (n)	
r`iLE<?v]c	govod	companionship, living together; community, fellowship, *(orig.) eating-together (n)	
Ba|tzU7)Hj	gratha-	to rub, scratch, fray (vb)	
eyy*F~ZCZV	graw (adj)	dark, swart (adj)	
yQzl~AQGGO	graw (n)	bear (n)	
zyU!`B2R+n	gresta-	to aid, help, succour, support (vb)	
Joc}8A=r66	grest	aid, support, help, succour, ⚠️salvation (n)	
ikc3E[HaW0	grod	large excavation, delving, underground dwelling (n)	
F3?G3[Dl,0	groga-	to feel terror (vb)	
p.d:dk3dm;	groth	large excavation, delving, underground dwelling; [N.] cave, tunnel, [G.] grot (n)	
P~1,$V2gqP	gruitha-	to terrify (vb)	
NN^8;]8i7@	guir	slow (adj)	
r>Hg2Z7:,V	guldur	black arts, sorcery (n)	
r<mjUidAzg	gurgof	traitor (n)	
pB6]b`ET^Q	gurth	death (n)	
y(pK|4&Jp;	guruthos	dread of death, death-horror, shadow of death, [N.] fear of death (n)	
IBi3a5RjES	guru	death (abstract) (n)	
AdO3wNe4GS	gu	(together) with (prep)	
blmwNZwR!^	gwa-	together, co-, com- (pref)	
mMXAAE(NEQ	gwachae	far away (adj)	
Gg:P`p.[5Y	gwachon	(sworn) brother, associate (n)	
dk4?}-~6,6	gwae-	to go, depart (vb)	
MhMgHBZAZ]	gwaef	wrap, binding (n)	
u^{9SGjyVy	gwael (Physical World)	?wind (n)	
HL,QODh/aE	gwael (Possession and Trade)	sheath, case, cover; pod (n)	
p1.94$Je[F	gwaelphilin	quiver, (lit.) case of arrows (n)	
n/L.^Vw!BT	gwaen	stained (adj)	
l.[_H>xjEA	gwaew	storm; ⚠️blow (n)	
"sw}c&p)9l#"	gwae	wind (n)	
PoI<^s-:Pz	gwahae	*far away (adj)	
B:neb/Ofq[	gwain (Body Parts and Functions)	blond (adj)	
t3-4gtxU`$	gwain (Time)	young, *new (adj)	
i92,Qz<,zy	gwaith	people, [ᴱN.] men, folk; [N.] manhood; man-power, troop of able bodied men, host, regiment; [S.] region (n)	
uiWF]f15cO	gwalir	rhyme, rime (the two actual rhyming words), rhyming poem (n)	
uSW{}*m2A3	gwall	excited (adj)	
D_ow,M`brL	gwana	fair (n adj)	
vxlp_+0@xq	gwanos	family, birth, heredity, *lineage (n)	
KB7{lT7z0C	gwanunig	twin (n)	
CqJv@DVY[<	gwanuren	of same kindred, akin (adj)	
Ds0GN/k!Ln	gwanu	death (act of dying) (n)	
La+BdEYFwd	gwanwas	the past, past days, olden times (n)	
nh6$[N1/0n	gwanwen	departed, *gone, lost [to time], past (adj)	
"pVx>R4#!c7"	gwar-	to yield, give way, surrender (n)	
Mo8sgX00Ye	gwaren	[nuclear] family (n)	
MWxJ7Ai`$?	gwathra-	to overshadow, dim, veil, obscure (vb)	
j4z-I+IEga	gwathren	shadowy, dim (adj)	
kT*~nmL-WJ	gwathui	*shadowy, of shadow (adj)	
C5gHp1EKEp	gwath	shadow, dim light, [N.] shade (n)	
"Ap<QqJ#*5E"	gwedhen	oath-bound, allied (adj)	
A7-gFiQ?ku	gwedhron	ally, one bound by oath (n)	
p([]zESxC6	gwef	louse (n)	
"xtJLx#BPH/"	gwein	young (adj)	
ND3@W?}DE;	gwel-	to boil, bubble (vb)	
ytDpH^4r?-	gwelch	bubble (n)	
"c#6:HV7,y0"	gweleb	cool, fresh (esp. of water) (adj)	
LzDP{[9bf*	gweleth	boil, bubble (n)	
y|_xQH>J(C	gweltha-	to squeeze, press (vb)	
m(pw:5~+`9	gwelu	air (as a substance) (n)	
g~MPX|0_.J	gwemmel	weevil (n)	
"gVA#4Rc8K!"	gwendren	maidenly, girlish (adj)	
dfJB_2{Qy~	gwend	maiden, *young woman (n)	
n$P4VcLW&c	gweneth	maidenhood, [N.] virginity (n)	
"j3tz{#n}s%"	gwennod	elder tree; elderberry, *(lit.) maiden berry (n)	
xKLsIt2UpC	gwenwi	past, past tense (n)	
jQQ~j(=Fw_	gwer-	to weave, wind, spin, twist (vb)	
h9!cZaN*_A	gwesg	weakly, *weak (adv adj)	
l;aZu:nkwv	gweth-	*to report (vb)	
B2_ZV|9w-M	gwidhren	adolescent, pre-adult (adj)	
fFr;@T^TZj	gwil-	to fly, ⚠️sail, float (vb)	
O`6_4nfW&?	gwiltha-	to air, expose to air (vb)	
jEaP:6MHg[	gwilwa-	to flutter, flit (vb)	
"l#q^|oEFNd"	gwilwist	weather (n)	
"uXHj3{t{l#"	gwimmaf	whale, (lit.) sheep of the waves (n)	
n*m:~GY1$R	gwineb	youthful (adj)	
OW.Zuhcz{&	gwingil	mermaid, (lit.) foam maiden (n)	
eJXyb-uRfh	gwing	foam, spindrift, [N.] flying spray; [G.] wave-crest (n)	
jA)$1so7$^	gwinig	little-one, baby (n)	
tN5:b]F1U^	gwir-	to weave (vb)	
j><:ZG>KdR	gwirfin	braid, pigtail, (lit.) woven-tress (n)	
m}<La]GBC(	gwiril	spindle (n)	
xqJU6g/PGC	gwirthar	shuttle, (lit.) weave-across (n)	
hI{G/<{hb&	gwista-	to change, alter, vary (vb)	
"x|{zQmHHV#"	gwistanneth	alteration, variation (n)	
O-V*}@Q6;|	gwistol	changing, varying, variable (adj)	
bb6G0<M2-f	gwist	change (n)	
"NWucU#usI*"	gwân	pale, fair (adj)	
M0e&tdb7sw	gwê	living creature, *living being; ⚠️[N.] man, warrior (n)	
w=V9KpI!Uf	gwí	just, just now, only just, already (adv)	
wKWbdKPW|,	gwîb	penis (n)	
pPlbM7(TDE	gwîn (n)	youth (n)	
xEbqMGHVqQ	gythra-	to germinate, be conceived (vb)	
eb1C1o%$H^	gythren	embryonic (adj)	
i^y0n:E;vi	gôl	wave (n)	
dR/1oD(h+|	gûl	black arts, sorcery, (evil) knowledge, [N.] magic; ⚠️[ᴱN.] wisdom (n)	
h>-1s<ywYQ	gûr	heart (inner mind) (n)	
"yh$>g#Ft5."	gýda-	to impregnate, make pregant (vb)	
m=q~S4%=.E	gŷl	fecund; conceiving, having conceived, just pregnant (adj)	
I56y@~Y{:R	gŷth	germ, foetus, embryon (n)	
xK+yr*U_,&	hach	the hams, buttocks (n)	
E>Qxm}jd3Y	hadang	javelin, (lit.) hurling iron (n)	
m&RG(/ZHb|	hadh-	to sit (vb)	
couMU`geF|	hadhu	seat, *chair (n)	
qwa{IO5v<g	hadlath	sling (n)	
s/VrhUP7&B	haeda-	to remove, (lit.) make distant (vb)	
F)A!_MdS[%	haedh	fenced enclosure (n)	
J(EQ,0$FtJ	haena-	to leave, depart, (lit.) be(come) distant (vb)	
"hb!J]?Y0#^"	haered	remoteness, (remote) distance (n)	
MOl*@m!+5x	haeron	*distant (adj)	
L,FviGsiFY	haer	remote, *distant (adj)	
r6GH{)H~jM	hae	far, (very) far away (adj adv)	
p],:W`d[;q	hair	left (hand) (n adj)	
qWEo@@w=}]	hallas	height (n)	
C7}<ZBie!S	hammen	clothed, clad (adj)	
CFnb(ODx`+	hand	intelligent (adj)	
jV%6zXIobQ	hannen	seated (adj)	
vZdEZwO|3}	hant	throw, cast; turn or move in games (n)	
MEWBz*Dk$f	harad	south (n)	
k=c:|zfN]b	hardúnen	southwestern (adj)	
f+$Z1AKuBY	hardûn	southwest (n)	
"p}1b#=5P7Q"	harnas	harm, damage (n)	
MBIO/PKW>|	harn	south, southern (adj)	
N@)K;pB}Uy	harrúnen	southeast (adj)	
"g/6Qyo:G#Y"	harrûn	southeast (n)	
G-S2k~@)x-	haru	wound (n)	
t=k3CsP%va	harvo	left hand, left side (n)	
CVR4^%574i	hathol	axe (n)	
pT`V20}Ko2	hauda-	to cover up, hide away, lay in store, hoard, save, record; to bury (vb)	
A>EJXP&05Z	haudha-	to lay in store; to hoard, save, record; to bury (vb)	
jgT%f:pmHg	haudh	(funeral) mound, grave, [N.] tomb; [orig.] †heap, piled mound (n)	
Rh9O5UFr}C	haug	low (adj)	
rm~fBm7TYy	haw-	to lie (vb)	
"jP#*%LhLO)"	ha	there you are (interj)	
l19P[EP9A6	heb-	to keep (vb)	
DfKgImAA<Z	hebia-	to delay, retain, keep (temporarily) (vb)	
igiF=*YyRY	hedril	thrower (f.) (n)	
Bi)$FGFRR+	hel-	to freeze (vb)	
IV.1Ajz@db	heledhren	glassy, like glass, of glass (adj)	
Mxp{_QS1b5	heledh	glass (n)	
J}_%)ctJI9	hellen	frozen (adj)	
bW!]Rssu/B	hemp	band, bond; ⚠️cord (n)	
Bqf]=N4^QX	hen(d)	eye (n)	
l0:0s,5O<j	hendelu	brow (n)	
sd4q-j|}]m	henna-	to read (vb)	
jj[v~5q)9+	henneth	window (n)	
es_F!zLkIS	henn	glance (n)	
lW^=[k%]mX	hent	eyesight, *(sense of) sight (n)	
Cc3I|%p%Jb	herdir	master (n)	
G/Vyr$rl$T	herf	protection, lordship, sway (n)	
sWX,3d&RG%	hesg	withered, ⚠️dead; chilled, chill (adj)	
q|r1pcB%m=	hest	sibling (n)	
}?(4JRWx{	hethu	foggy, obscure, vague (adj)	
HZdCVZ*o-W	hich-	to vomit (vb)	
CPav@wJW?s	hilf	posterity; one’s descendants, progeny, offspring (collective-noun)	
xXCR72-%%:	hilvias	inheritance, heritage (n)	
op4$S*[`E>	him (adv adj)	ever, [N.] enduring, continually; steadfast, abiding (adv adj)	
"cv#gzAhmyy"	hinia-	to stick to, adhere, cleave to, abide by (vb)	
gb&R`|nrzr	hir-	to find, *light on, chance on (vb)	
