#separator:tab
#html:true
#guid column:1
#tags column:4
"B-N|kF-#aW"	-(r)on; -or	agental suffix (suf)	
KCX`CpdoB`	galtha-	to be glad (vb)	
zX4/o]e?vG	galu	growth; increase (n)	
C0aC.i0BFx	galvorn	type of dark metal devised by Eöl; *(lit.) shining-black (n)	
d%C/5%}{Sb	gamp	claw; crook; hook (n)	
IOX7qg=%F4	ganna-	to be profitable; to bring in revenue; to gain (vb)	
EbOTv5H&AX	gannan	[originally]; adult; grown big; grown up; waxen (adj)	
Dx|d6;aM_d	gant	greater; larger; more; (lit.) increased (adv)	
upc3|b=USS	gardh; gwaith	region (n)	
u7MiA<aEKO	garnen	held; owned; possessed (adj)	
t1n-Zl@NX^	garob	outer garment; robe (n)	
DLhyt@3rA1	gauda-	to devise; to invent; to originate (vb)	
"Ejob!0^#2g"	gaug	clumsy (adj)	
GfF)_hsPx3	gaur [ng-]	werewolf (n)	
s+ea/Bat}v	ged- [ng-]	to get; to obtain (vb)	
NO(|X7=W6p	gelia- [ng-]	to learn (vb)	
nyS-g!|+3=	gelir; glaich	merry (adj)	
h,!Y]@oOI@	gella-	to delight; to rejoice (vb)	
gV/y}n(f!f	genedia-	to reckon; to *calculate (vb)	
ndjot`@|[k	genediad	reckoning (n)	
LFd/<AquVC	geria-	to ponder (vb)	
zUjF?RqFH|	gil- [ng-]	to gleam; to shine pale and silver (as of the moon [or stars]) (vb)	
htSm!E!GOJ	gil [ng-]	(bright) spark; silver glint; twinkle of light (n)	
mhq~U6/i`/	gir-	to shudder (vb)	
d!7Tks&cf~	girith	shuddering (n)	
M,LZwumtHy	gladh-	to laugh [at a joke]; to *guffaw (vb)	
M*qemOPD2s	gladhweg	cheerful; (lit.) apt to laugh (adj)	
Qyk&pcJwuc	glad; taur	wood (n)	
LQq+i)fW%*	glae(gal)	light (as an ethereal substance); *photons (n)	
ko]kuD*<F_	glaenas	fair weather; serenity (n)	
"nI^.~y#iWg"	glaen	clear; fair (espec. of weather); serene (adj)	
"ymf#l#*zJ~"	glaer	long lay; narrative poem (n)	
nlMKM~k.-N	glae	grass (n)	
E/%|6~f<R{	glaich	happy; joyous (adj)	
zLG{p^8!Q0	glamog	orc (n)	
Lr$4K!dhb8	glam	barbarous speech; bellowing of beasts; confused noise; din; shouting; uproar (n)	
BD/9=yJJ0G	glan(n); taeg	boundary (n)	
nOwwL)p;G5	glandagol	boundary mark (n)	
ITyI0I%^5!	glanna-	to cleanse; to make clear; to purge; to purify; *to clear (vb)	
Mw2:mwqR%@	glannaith	cleanliness; purity (n)	
LBY||8i)i/	glannas	purification (n)	
CxWrM;aG&3	glannen	cleanly; pure (adj)	
E,.-R>5V^Q	glassui	happy; joyful (adj)	
cqo])4-2wF	glasta-	to joke; to make happy (vb)	
bgJ90l~_4w	glast	marble (n)	
Ocv?Cw}4_b	glathralvas	flashing glass/crystal; *heliograph (n)	
vYLbfh*R;s	glathren	[of or like] marble (adj)	
wnoYiDZK5v	glaudh	jest; joke (n)	
cHVmG@?pow	glaur (n adj)	gold [light or colour] (n adj)	
K*64sXwMi$	glavradeb	full of the din of voices (adj)	
zVsG?w}wip	glavradol	chattering; talkative (adj)	
HpNw70dhX:	glavradon	vain talker; *chatterbox (n)	
"ppy#^,(_pB"	glavras	babble; babel; chatter; din of voices (n)	
w*o<W}Oex5	glawar (Physical Acts and Materials)	gold (light or colour); radiance (of Laurelin); sunlight (n)	
u3RIPji`2V	glaw (Physical World)	radiance; sunshine (n)	
"u_Y*#K||8!"	gleina-	to bound; to enclose; to limit (vb)	
fzgEUM:;K8	gleinannen	bounded; enclosed; limited (adj)	
n+qP$*BET~	glenna-; ledh-	*to travel (vb)	
Gx5=V>fA7G	glidheb	like honey (adj)	
k-lp[1{i1%	glim	voice; *utterance (n)	
Dsy80~:0WD	glintha-	to glance (at) (vb)	
pF<g5%&C[%	glinthad	flash of the eye; glance; look (n)	
fvNXx^[fB/	glist	sugar (n)	
zB=M5evKn6	glodhren	jocular (adj)	
o3?nf]eyR?	glorchadhu	lotus; (lit.) golden seat (n)	
u+=-z+mX@P	glosta-; nítha-	to snow (vb)	
=Bg,78M+7	glosui	snow white (adj)	
J5XunxY3]T	glân (adj)	[bright shining] white; clear; pure (adj)	
"d43:#3TEg"	glân (n)	border (of textiles and other hand-made things); hem (n)	
mB^ss1zD=5	glîn(n)	gleam; glint (n)	
Jp4OI$q!yE	gloriel; glóriel; glórin; mallen	golden (adj)	
KxuYC1&.=[	gobel	(walled) village; town (enclosure); walled house; walled house or village; *manor (n)	
o*rcFQNb2[	gobem	mouth (n)	
BJS:Od|p*Q	gobeth	dictionary (n)	
g8A%lRE&q3	gochest	brother and brother; brother and sister; etc.; *a set of siblings (n)	
"E#*#N6Pw^s"	godref	abreast; *together-through (adv)	
E1,|;Nne=$	goeol	dire; terrible; *fell (adj)	
CDO(UMt~j{	goe	great fear; terror (n)	
oudd|cojDU	goianna-	to add to; to join with (vb)	
ncrnl^|8*~	golain	connection; context; relation; (lit.) threadage (n)	
"O_$ax+#N(("	golbar [ng-]	school; university; (lit.) wisdom-house (n)	
r@Cw@&g6o.	golodh [ng-]	lore-master; sage (n)	
bJt-Wla{Fi	golof	consonant (n)	
yQAlV)PTar	goloth	inflorescence; *collection of flowers (n)	
wGB`U^qz;5	goltha- [ng-]	to educate; to teach; to tutor; (lit.) to make knowledgable (vb)	
CC}:nry.ot	golthannen [ng-]	educated; learned (adj)	
QRjXa0KE0W	golthanneth [ng-]	lesson; teaching (n)	
Js|f&z9pF$	golthas [ng-]	education; erudition (n)	
"e8Km^#TWSp"	golthor	teacher (n)	
OR<(Q+qpYR	golu [ng-]	lore; *wisdom (n)	
p[hWP/xxpL	gonneb	rocky; stony (adj)	
r?F*f9IWn=	gonnos	great rock (n)	
QyR/,ql9Vy	gonnoth	memorial; pillar; stele (n)	
v~MoWtR(W0	gond; gonn	rock (n)	
IL+UrFD~J]	gonoded	accounting; counting (n)	
n>r&xf4li[	gor- (pref)	difficult; hard (pref)	
k/I.jEVb%L	gor- (vb)	to urge; to warn (vb)	
u$t1qR`X?3	goras	advice (n)	
kWD-_le6_w	gorbedui	lamentable to tell; only to be said with horror or grief (adj)	
os69%:lu4&	gorchanui	complicated; cryptic; enigmatic; hard to understand (adj)	
t<D)Hx}^T]	gordh (adj)	difficult; laborious (adj)	
"yor-v#g[zZ"	gordh (n)	deep thought (n)	
d]YzMwXk}{	goredhin	[closely] related; akin; sib (adj)	
BTkh5t$!xg	gorgor [ng-]	extreme horror; haunting fear; terror (n)	
do;QrtbfVd	gorn [ng-]	revered (adj)	
y~wh(N-G6d	gornod(ui)	hard to count (adj)	
q?Jt7B,eS^	gorthad [ng-]	spirit of Dead; wraith (n)	
cy_/{5Sl<{	gorthob [ng-]; naer; thaur	horrible (adj)	
LN`b~0cl/Y	gorth [ng-]	dead (person) (adj n)	
g1;e^q7&wH	govaethas	government (n)	
wH0Dr&B?cu	govai	alike; similar (adj adv)	
wk2OlHy~Cu	goven	crossroads (n)	
r`iLE<?v]c	govod	companionship; fellowship; living together; *(orig.) eating-together (n)	
Ba|tzU7)Hj	gratha-	to fray; to rub; to scratch (vb)	
eyy*F~ZCZV	graw	swart (adj)	
zyU!`B2R+n	gresta-	to aid; to help; to succour; to support (vb)	
Joc}8A=r66	grest	aid; help; succour; support (n)	
ikc3E[HaW0	grod	delving; large excavation; underground dwelling (n)	
F3?G3[Dl,0	groga-	to feel terror (vb)	
p.d:dk3dm;	groth	delving; grot; large excavation; tunnel; underground dwelling (n)	
P~1,$V2gqP	gruitha-	to terrify (vb)	
NN^8;]8i7@	guir	slow (adj)	
r>Hg2Z7:,V	guldur [ng-]	black arts; sorcery (n)	
r<mjUidAzg	gurgof	traitor (n)	
pB6]b`ET^Q	gurth [ng-]	death (n)	
y(pK|4&Jp;	guruthos [ng-]	death-horror; dread of death; fear of death; shadow of death (n)	
IBi3a5RjES	guru [ng-]	death (abstract) (n)	
AdO3wNe4GS	gu	(together) with (prep)	
dk4?}-~6,6	gwae-	to depart; to go [away] (vb)	
MhMgHBZAZ]	gwaef	binding; wrap (n)	
HL,QODh/aE	gwael	case; cover; pod; sheath (n)	
p1.94$Je[F	gwaelphilin	quiver; (lit.) case of arrows (n)	
n/L.^Vw!BT	gwaen	stained (adj)	
l.[_H>xjEA	alagon; gwaew	storm (n)	
"sw}c&p)9l#"	gwae; gwaew; lûg	wind (n)	
B:neb/Ofq[	gwain (Body Parts and Functions)	blonde (adj)	
t3-4gtxU`$	gwain (Time)	young; *new (adj)	
i92,Qz<,zy	gwaith	folk; host; man-power; manhood; men; people; regiment; troop of able bodied men (n)	
uSW{}*m2A3	gwall	excited (adj)	
vxlp_+0@xq	gwanos	birth; family; heredity; *lineage (n)	
KB7{lT7z0C	gwanon; gwanunig	twin (n)	
CqJv@DVY[<	gwanuren	akin; of same kindred (adj)	
Ds0GN/k!Ln	gwanath; gwanu	death (act of dying) (n)	
La+BdEYFwd	gwanwas	olden times; past days; the past (n)	
nh6$[N1/0n	gwanwen	departed; lost [to time]; past; *gone (adj)	
"pVx>R4#!c7"	gwar-	to give way; to surrender; to yield (vb)	
Mo8sgX00Ye	gwaren	[nuclear] family (n)	
MWxJ7Ai`$?	gwathra-	to dim; to obscure; to overshadow; to veil (vb)	
j4z-I+IEga	gwathren	dim; shadowy (adj)	
kT*~nmL-WJ	gwathui	of shadow; *shadowy (adj)	
"Ap<QqJ#*5E"	gwedhen	allied; oath-bound (adj)	
A7-gFiQ?ku	gwedhron	ally; one bound by oath (n)	
p([]zESxC6	gwef	louse (n)	
ND3@W?}DE;	gwel-	to boil; to bubble (vb)	
ytDpH^4r?-	gwelch; gweleth	bubble (n)	
"c#6:HV7,y0"	gweleb	cool; fresh (esp. of water) (adj)	
y|_xQH>J(C	gweltha-	to press; to squeeze (vb)	
m(pw:5~+`9	gwelu	air (as a substance) (n)	
g~MPX|0_.J	gwemmel	weevil (n)	
"gVA#4Rc8K!"	gwendren	girlish; maidenly (adj)	
n$P4VcLW&c	gweneth	maidenhood; virginity (n)	
"j3tz{#n}s%"	gwendod	elder tree; elderberry; *(lit.) maiden berry (n)	
xKLsIt2UpC	gwenwi	past; past tense (n)	
h9!cZaN*_A	gwesg	weakly; *weak (adv adj)	
l;aZu:nkwv	gweth-	*to report (vb)	
B2_ZV|9w-M	gwidhren	adolescent; pre-adult (adj)	
fFr;@T^TZj	gwil-; renia-	to fly (vb)	
O`6_4nfW&?	gwiltha-	to air; to expose to air (vb)	
jEaP:6MHg[	gwilwa-	to flit; to flutter (vb)	
"l#q^|oEFNd"	gwilwist	weather (n)	
"uXHj3{t{l#"	gwimmaf	whale; (lit.) sheep of the waves (n)	
n*m:~GY1$R	gwineb	youthful (adj)	
OW.Zuhcz{&	gwingil	mermaid; (lit.) foam maiden (n)	
eJXyb-uRfh	gwing	flying spray; foam; spindrift; wave-crest (n)	
jA)$1so7$^	gwinig	baby; little-one (n)	
tN5:b]F1U^	gwir-	to weave (vb)	
j><:ZG>KdR	gwirfin	braid; pigtail; (lit.) woven-tress (n)	
m}<La]GBC(	gwiril	spindle (n)	
xqJU6g/PGC	gwirthar	shuttle; (lit.) weave-across (n)	
hI{G/<{hb&	gwista-	to alter; to change; to vary (vb)	
"x|{zQmHHV#"	gwistanneth	alteration; variation (n)	
O-V*}@Q6;|	gwistol	changing; variable; varying (adj)	
bb6G0<M2-f	gwist	change (n)	
M0e&tdb7sw	gwê	living creature; *living being (n)	
w=V9KpI!Uf	gwí	already; just; just now; only just (adv)	
wKWbdKPW|,	gwîb	penis (n)	
pPlbM7(TDE	gwîn; nîth	youth (n)	
xEbqMGHVqQ	gythra-	to be conceived; to germinate (vb)	
eb1C1o%$H^	gythren	embryonic (adj)	
dR/1oD(h+|	gûl [ng-]	(evil) knowledge; black arts; magic; sorcery (n)	
h>-1s<ywYQ	gûr	heart (inner mind) (n)	
"yh$>g#Ft5."	gýda-	to impregnate; to make pregnant (vb)	
I56y@~Y{:R	gŷth	embryon; foetus; germ (n)	
xK+yr*U_,&	hach	buttocks; the hams (n)	
E>Qxm}jd3Y	hadang	javelin; (lit.) hurling iron (n)	
m&RG(/ZHb|	hadh-	to sit (vb)	
couMU`geF|	hadhu	seat; *chair (n)	
qwa{IO5v<g	hadlath	sling (n)	
s/VrhUP7&B	haeda-	to remove; (lit.) to make distant (vb)	
F)A!_MdS[%	haedh	fenced enclosure (n)	
J(EQ,0$FtJ	haena-	to depart; to leave; (lit.) to be(come) distant (vb)	
"hb!J]?Y0#^"	haered	(remote) distance; remoteness (n)	
MOl*@m!+5x	haeron	*distant (adj)	
L,FviGsiFY	haer	remote; *distant (adj)	
r6GH{)H~jM	hae	(very) far away; far (adv)	
p],:W`d[;q	hair	left (hand) (adj)	
qWEo@@w=}]	hallas; taen	height (n)	
C7}<ZBie!S	hammen	clad; clothed (adj)	
CFnb(ODx`+	hand	intelligent (adj)	
jV%6zXIobQ	hannen	seated (adj)	
vZdEZwO|3}	hant	cast; throw; turn or move in games (n)	
MEWBz*Dk$f	harad	south (n)	
k=c:|zfN]b	hardúnen	southwestern (adj)	
f+$Z1AKuBY	hardûn	southwest (n)	
"p}1b#=5P7Q"	harnas	damage; harm (n)	
MBIO/PKW>|	harn (Spatial Relations)	south (adj)	
N@)K;pB}Uy	harrúnen	southeast (adj)	
"g/6Qyo:G#Y"	harrûn	southeast (n)	
G-S2k~@)x-	haru; naedh	wound (n)	
t=k3CsP%va	harvo	left hand; left side (n)	
CVR4^%574i	hathol	axe (n)	
A>EJXP&05Z	haudha-	to bury; to hoard; to lay in store; to record; to save (vb)	
jgT%f:pmHg	haudh	(funeral) mound; (piled) mound; [orig.]; grave; heap; tomb (n)	
Rh9O5UFr}C	haug; tovn	low (adj)	
rm~fBm7TYy	haw-	to lie [at ease] (vb)	
l19P[EP9A6	heb-	to keep (vb)	
DfKgImAA<Z	hebia-	to delay; to keep (temporarily); to retain (vb)	
igiF=*YyRY	hedril	thrower (f.) (n)	
Bi)$FGFRR+	hel-	to freeze (vb)	
IV.1Ajz@db	heledhren	glassy; like glass; of glass (adj)	
Mxp{_QS1b5	heledh	glass (n)	
J}_%)ctJI9	hellen	frozen (adj)	
bW!]Rssu/B	hemp	band (n)	
Bqf]=N4^QX	hen(d); hên	eye (n)	
l0:0s,5O<j	hendelu	brow (n)	
sd4q-j|}]m	henna-	to read (vb)	
jj[v~5q)9+	henneth	window (n)	
lW^=[k%]mX	hent	eyesight; *(sense of) sight (n)	
Cc3I|%p%Jb	herdir; heron; hîr	master (n)	
G/Vyr$rl$T	herf	lordship; protection; sway (n)	
sWX,3d&RG%	hesg; tharn; thisin	withered (adj)	
q|r1pcB%m=	hest	sibling (n)	
}?(4JRWx{	hethu	foggy; vague (adj)	
HZdCVZ*o-W	hich-	to vomit (vb)	
CPav@wJW?s	hilf	offspring; one’s descendants; posterity; progeny (collective-noun)	
xXCR72-%%:	hilvias	heritage; inheritance (n)	
op4$S*[`E>	him	abiding; continually; enduring; ever; steadfast (adv adj)	
"cv#gzAhmyy"	hinia-	to abide by; to adhere; to cleave to; to stick to (vb)	
gb&R`|nrzr	hir-	to chance on; to find; to *light on (vb)	
"P*6y>wr1m#"	hithlain	grey elvish rope; mist thread (n)	
J!=;w7H/fi	hithui	misty (adj)	
x85vD?II3z	hithu	fog (n)	
KY/=&CcP_*	hoda-	to lay; to lay flat on ground; to stretch out (vb)	
P`?st5`3%$	hogren	humble; lowly; mean (adj)	
u-dTyio!*^	hol-	to close; to shut (vb)	
jn$)M:`$]s	hollen	closed; shut (adj)	
wUnTS*gU_3	holl	cock; cockerel; rooster (n)	
O`dwITfd9|	hora-	to await; to expect (vb)	
GgLPh=@Wo)	hosta-	to collect; to gather (vb)	
JbBN*3)7f_	hothron	captain (n)	
Iy%-ON<<0.	hoth	crowd; group plural; horde; host (n)	
"wKY#8/f;dx"	huan	great dog; hound (n)	
LVbzr6LH01	huar	wild dog (n)	
"I&pI#},a]"	huia-	to urge on (vb)	
k!&5!y*lA~	huil	bitch; hen; *female dog (n)	
HE?9E~T1n,	hunc	pig (n)	
tOL[geW}B8	huorn	?spirit tree (n)	
g5jG.D<PK+	whand	fungus; sponge (n)	
pP43hGx$7R	whegol	brush (n)	
y-(kSBbaa6	whegra-	to sweep (vb)	
m%Cv_%bG3O	wheg	broom (n)	
tyP(J,Al}<	whiel	niece (n)	
Mu|./?j_)s	whind	eddy (n)	
GE%@4LMyRB	whinia-	to eddy; to twirl; to whirl (vb)	
f{aaA@bR*Q	whiniol	fantastic; giddy; mad; whirling (adj)	
vRF%s9Fiys	whinn	birch (n)	
qb87Q|%QN6	whion	nephew (n)	
F1<EaFH&AQ	whîn	faintness; giddiness (n)	
nt{niu/!m%	hên	child (n)	
d5;3$<=eE?	hída-	to (come to) pass; to happen (vb)	
Mkm`4@F4]S	hîl	heir (n)	
w^(V)c7sGt	hîth	mist (n)	
QhO>s6-l:8	húda-	to curse (vb)	
QUTTD}qQ?Y	hûn	heart (physical) (n)	
EsU5!+0[:8	i (article)	the (article)	
MX=BDTxhpy	i (pron)	indefinite indeclinable relative particle; that; who (pron)	
qV6Q.kDldQ	iach	ford; *crossing (n)	
wua=+Z8Z|)	iaeda-	to deride; to laugh at; to make fun of; to mock (vb)	
z%z1oJ~spF	iaewen	scornful (adj)	
q~YCuPgHh@	ialtha-	to yoke (vb)	
JW>WL3y*}6	ialt	yoke (n)	
o&8%w$aFaV	ianna-	to connect; to join (vb)	
D:^lodp^a@	iannen	connected; joined (adj)	
FQP,VGOm$8	iant	bridge (n)	
"G!,5sINT*#"	iaun (adj)	extensive; huge; roomy; vast; wide (adj)	
rrXnU*cAhO	iaur	ancient; old(en) (adj)	
M/<GQQ.IQW	iaust	crop; produce; *yield (n)	
"iER>,J#[:p"	iav-	to bear fruit; to produce; to yield (vb)	
y8,L9B_,fJ	iavas	autumn; *harvest (time) (n)	
"p/!1#dS!)Y"	iavren	fertile (adj)	
r4G1r`|{I:	io; ir	when (conj)	
"v6W9x*Zz#C"	idhor	thoughtfulness (adj)	
"g#PtR=uC5M"	idhrinn	year; *(lit.) year-circle (n)	
qArqG)60-C	iesta-; mer-	to wish (vb)	
w%?03A2>b<	iesta-	to begin (vb)	
Pj0$$gVT{R	iestor	first day of the new year (n)	
lzZX%wpUHD	ilaurui	*daily (adj)	
uq=w;.E]=.	ilhad	everywhere (pron)	
N~Ep]|<+T/	illadui	general (adj)	
B<fAU@su$Z	illad	everything (n)	
F~jI(Rod/O	ilnad	everything (pron)	
KLXGE}/<V!	ilphen	everyone (pron)	
q}M+.wZ6qJ	ilu	cosmos; the whole; universe (n)	
bM*7Bf^z|k	il; pân	*all (adj)	
I!d&2X3ze%	im (prep)	between (prep)	
DUB4CZV=7=	im (pron)	I; I myself; reflexive; self(same) (pron)	
Lqap=D8/^N	imeneth	namesake; (lit.) same name (n)	
g2U*rbBez+	imladren	of the vale; vale like (adj)	
j4};6qc61_	imlad	deep vale; deep valley; dell; gap; glen; gully; narrow valley with steep sides (n)	
"qKxM#%3)m["	imrad	path or pass between mountains or trackless forest; *(lit.) valley path (n)	
P^jP[?QY^c	imrath	long narrow valley with road or watercourse running through it lengthwise; *(lit.) valley course (n)	
JnptLSg*iH	indram	shock; (lit.) mind-blow (n)	
L>~%AeXZfT	ind	heart; heart [metaphorical]; inner thought; meaning; some particular purpose or intention of an individual (n)	
z{_g[FW@tT	innas	*will (n)	
Kz_hif$9(6	inn	heart; inner thought; meaning; some particular purpose or intention of an individual (n)	
H}M@Z2@Ks@	inu	female (adj n)	
k?g-C`f~!*	inwas	feminity; womanhood (n)	
cx`{YG(sYF	inwathren	feminine (adj)	
DswFlL,!4p	ion(n)	son; *boy (n)	
J_T7|F>w!9	iorbeth	archaic word; archaism (n)	
CF[)qSRa}@	irdh	bowels; entrails; innards (n)	
MB|:t}bq~}	irn	desired; wished for (adj)	
eacF8ouKlH	irtha-	to peck (vb)	
sNVFdlJv5R	irth	beak (n)	
Kn6=)v1-Td	ithildin	magical alloy that glows in moonlight; (lit.) moon-star (n)	
LFxEVBjTcX	ithron	Wizard (n)	
vuG3(tfQ(|	ivil	inside (n)	
yRR3Tlv(k5	iâd	isthmus; waist (n)	
"qY[9#-HW?K"	iâf	fruit (n)	
tI1MO$=yY6	iâ	abyss; chasm; gulf; pit (n)	
i&mCSn^o^(	l(h)ô	fenland; flood (n)	
fz;YRio71L	laba-	to hop (vb)	
An6gOIPq7!	laboth	hare; *rabbit (n)	
zc8OhB_<Ia	lacha-	to flame (vb)	
L/u@9PK-=l	lach	(leaping) flame (n)	
wZw0}*K2S{	dalath; lad; talath	plain (n)	
md_D*YKUBq	lad	nothing; zero (n)	
Qd~u}fRfmm	lad-	to extend (in length); to stretch (vb)	
EDh,ru}T;$	ladog	tin [metal] (n)	
"I((pM8(5q#"	laeda-	to refresh; to revive (vb)	
u<`C+az@X]	laegas	greenness; verdure (n)	
"dJ<f]3}#Bg"	laeglin(n)	greenfinch (n)	
O^ZUuceGST	laeg	acute; keen; sharp (adj)	
"Na:6l.#vA7"	glind; glinn; glîr; laer; lind; linn	song (n)	
D0lDVcxu(Z	laer	summer (n)	
k|wbr|4$$L	laew (Quantity and Number)	frequent; many (adj)	
"LUYmucA#f|"	laew (Time)	fresh (adj)	
yS?gE1JKMQ	laeweth	freshness (n)	
P<nREPpltV	lae; rim	great number (n)	
"B<]j#~&5;@"	lagor	rapid; swift (adj)	
HJf(<umfX:	laidh	horizontal; (lit.) lying flat (adj)	
t9>PY?W5?Q	lain (adj)	free(d); *liberated (adj)	
kz>jJx&uK.	lain (n)	thread; warp (n)	
fph.j(S@:o	lala-	to laugh (vb)	
H%9sXR@qUN	lalaith	laughter (n)	
x_Q/_/CHXQ	lallen	amusing; funny (adj)	
K=*EN*JOOB	lall	laugh (n)	
y:lTT+DORs	laltha-	to amuse; to make laugh (vb)	
PId[aS*4]|	lalweg	cheerful (adj)	
yx-_GhJ5q}	lam (Language and Music)	(physical) tongue; language (n)	
cv&jak|<R)	lam (Sense Perception)	echo (n)	
M|5)6@U!{1	lamel	phonetics (n)	
D~O/Xn7b[X	lamengolu	linguistics (n)	
Bi`]+K[?E3	lamma-	to echo (vb)	
vnPm];y2nU	lammad	*echoing (n)	
bw+R5p%>)@	lammen	of tongue; spoken with tongue (adj)	
xVePOO5j[V	lanad	weft; woof (n)	
u|h9U/y.vD	lanc; paran	naked (adj)	
EjqAuYer_6	lanc	sharp edge (not of tools); sudden end (n)	
J]*,zX,z`d	land	broad; level; open space; wide (adj)	
tJo6Urr;HO	lang (Body Parts and Functions)	passage; *throat (n)	
ujFqJ/S*Q{	lang (Warfare and Hunting)	cutlass; sword (n)	
gr$V]y7=>@	langan(d)	stringed instrument with a neck (lute, guitar, etc.) (n)	
P&(QL%lq:b	lann (n)	thin cloth; tissue (n)	
hd`%<JJGFK	lanthir	waterfall (n)	
FAX:|{F_-6	lant	clearing in the forest (n)	
zBbkq3q<DL	lanu	loom (n)	
n`:PQY4rYM	laph	end of rope; hem of robe; loose-end (n)	
klXitAvJTI	lasbelin	autumn; leaf-fall (n)	
uU{BEj%ea3	lasta-	to give ear; to listen (vb)	
hO$%X2LfU@	lastadui	audible (adj)	
v`V^jhE=~n	lastad	attention; hearkening; listening (n)	
hTS2et(&*u	lasto	listen; *hark (interj)	
vH`B/qFX&u	last	(sense of) hearing (n)	
CMi=ZK::Ev	las(s)	leaf (n)	
z+q_[tR/g	lathr(ad)a-	to eavesdrop; to listen in (vb)	
Ck7t?)tbi!	lathron	eavesdropper; hearer; listener (n)	
I5E!e=+oNl	lath	thong (of leather) (n)	
"dLBX$1Pm~#"	laub	shirt (n)	
rPuS!tPqfX	laudh	gluttonous eating; licking up (food or drink) (n)	
k~7b>Ze^AL	laug	warm (adj)	
Qx^wSfcgqn	lav-	to lick (vb)	
g-g-WshSI4	lavan	animal (n)	
QO>U0i;7W<	lavra-	to lap (of animals); to suck up (vb)	
PP<q>VB[(a	law	sound (n)	
z^B9.::$n;	leb-	to cull; to pick; to pluck; to take or feel or touch with fingers (vb)	
N$Hd@rm3W>	lebenedh	middle finger (n)	
JE<Ac[Sf]o	lebent	fourth finger (n)	
C=HL]5o6]d	leben	five (cardinal)	
CJ]iH%/f8u	leberen	fingered; of fingers (adj)	
J,0!t-AafX	leber	finger (n)	
we54B7c3%=	lebethron	Gondorian hardwood; *(lit.) finger tree (n)	
LNS?:Rml[w	ledia-	to open; to unlock (transitive) (vb)	
BIK{3d9O2=	legol	[Ilk.] nimble; active; running free (adj)	
w,kZ}fC&pD	leidhron	liberator; saviour (n)	
pk;&.)QMX!	leinas	freedom; liberty (n)	
"wO6:Y#^j`V"	lembas	journey-bread; waybread (n)	
"z&Lj3<#OWY"	lemma-	to beckon; to crook the finger (vb)	
mEmnz`(G&`	lend	tuneful (adj)	
s|P{JQyOjB	lenia-	to make a noise; to sound (vb)	
ySxQ32t(@r	lephaen	fifty (cardinal)	
dP7Ca!Dk%Y	lest	girdle; *belt (n)	
o}EH*:)Q$m	lethril	eavesdropper (f.); hearer; listener (n)	
H)*]Ev@hel	leutha-	to pick (up/out) (vb)	
QtzZa]M5a;	le	thee; you (polite) (pron)	
h(A4=RBCmM	lhab-	to sup; to *sip (vb)	
j=)Lpoopn2	lhab	sip (n)	
Ey.f)ym+uv	lhaew	ill; sick (adj)	
l6VQ<n<8K-	lhain	lean; meagre; thin (adj)	
LO]2tog}YZ	lhaw	ears (of one person) (n)	
zbx[xYY]B(	lheweg	ear (n)	
FiqRZf[MVK	lhid-	to discriminate; to sieve; to sift; to sort out (vb)	
duPleK%-+D	lhig-	to creep; to go by stealth; to sneak (vb)	
Q:GUtQfH1	lhim	gliding; sleek; sliding; slippery (adj)	
B:{B@/IT3@	lhing	cobweb; spider’s web (n)	
iRy9/TT]_7	lhoereb	poisonous; venomous (adj)	
M1=6d1M}2K	lhoer	poison(ousness); venom (n)	
pcAG,g>s=j	lhoew	poison(ous substance) (n)	
qFigcuzjk%	lhongannas	phonology; (lit.) shapes of sounds (n)	
b05!<Nej|>	lhongant	allophone; surface sound; (lit.) sound-shape (n)	
It;<WET?w9	lhunc	gullet; pharynx (n)	
LO6a/mT<aS	lhê	fine thread; spider filament (n)	
D|vx.0[kOe	lhîd	sieve (n)	
mn77I<UREw	lhîw	disease; sickness (n)	
BIW:z-cyYS	lhôn	noise; speech sound; *phone (in linguistics) (n)	
I@B?8CVD:%	lhûg	reptile; serpent; snake; *lizard (n)	
E:RV@+|1&}	lhýda-	to make sick; to sicken (vb)	
GF!00;jt!y	liltha-	to dance (vb)	
q9{:U;!1>I	lilt	dance (n)	
-|-/&qjPS	lim	quick; swift (adj)	
"vO#5Wa.3*5"	hâl; lim	fish (n)	
9m`$Abt{S	limig	[small] drop (n)	
f5syP_@SI_	limlug	fish-dragon; sea-serpent (n)	
"q@)#@=kp?["	limmeg	small fry; young fish (n)	
U=R.Iq}-~	limmid(a)-	to moisten (vb)	
tJ&V+m[!q?	limp	(bright/clear/gleaming) liquid; clear; sparkling (adj n)	
Q!-w/Ki@>g	limp; mesc; mesg; nenui; nîd; nîn	wet (adj)	
"y}Z/jw#{4e"	linna-	to chant; to sing (vb)	
cS2|!,gh}=	linnas	music (n)	
F<7kzVWC&5	linnathren	musical (adj)	
lIjQ+!X5a6	linnod	type of poetic meter; (lit.) ?seven-chant (n)	
"Lo#|^:Xy2z"	linnor	singer (n)	
KL^r])AO&	linn	chant (n)	
Ckc3R-I3+d	lisg	reed; sedge (n)	
mVj.q![u]G	lissuin	a fragrant flower (n)	
o$A~6(|lb3	lista-	to kindness; to show grace (vb)	
NIr1b338AR	listo	please! (interj)	
