#separator:tab
#html:true
#guid column:1
#tags column:4
c+<k:Ye%i%	-(i)llo; -ilco; -stë	you (dual) (suf)	
IK=3F(*PUz	ruimen	fireplace; hearth (n)	
JY?MggUz<!	ruina	blazing; fiery (adj)	
KGl=,<uD|5	ruinë	blaze; fire (n)	
JL&MIgq-0.	ruivë	wild fire (n)	
lt3Y1?|65E	rum-	to heave (of large and heavy things); to shift (vb)	
z6]zRy)BH3	runando	*redeemer (n)	
"t#OHeXiz[t"	runda (adj)	polished; *polite (adj)	
ddB%TI{}q`	rundië	politeness; smoothness (n)	
C1+$1?o(YC	runyaril (runyarill-)	garnet; (lit.) fiery red radiance (n)	
I2VA?X2[>L	runya (adj)	fiery red (adj)	
F?R^SyZCrH	rusco (ruscu-)	fox (n)	
C]<<G9&~@l	ruscuitë	foxy (adj)	
zfUh9{z,LY	russa	red-haired (adj)	
fx@s+dm|_]	russë	head or pelt of red hair (n)	
B*A9a4?-w]	ruv-	to burst; to rupture (vb)	
DA?v=uQY]L	ruxa-	to crumble (vb)	
IA?q4d>4s%	ruxotompalë	Great Bear-dance (n)	
M(PNHq4;Z(	ruë	stillness; tranquility; *steadiness (n)	
i)r4{Pmllm	rácina	broken (adj)	
O?7%E&b(mU	rácumbar	aconitum; wolfsbane; (lit.) wolf-doom (n)	
Pu.@v0oj0r	rámaitë (rámaiti-)	having wings; winged (adj)	
iHqI,!R(*X	ráma	wing (n)	
e@ovY:MmH>	ránasta	lunar month (n)	
yVm=[4G[r,	ráquen	ambassador; representative (n)	
J_Z`?VrnTI	ráta-	to surpass (vb)	
F/b~Qbc2wm	ráva (adj)	lawless; uncontrolled; unfettered (adj)	
E,@*eVIV*^	rávëa	roaring (adj)	
IY8lW&GZS%	rávë	roaring noise (n)	
HgkZh-S*v6	rénë	memory (n)	
"ih<#giqO`w"	ré	day (period from sunset to sunset) (n)	
GfqZ)wSO^?	rëa-	to make network or lace (vb)	
d$IPA1/H,h	rëa	single (adj)	
On6u7UV|<R	ría	garland; wreath (n)	
R+pCJem{(	ríma (Agriculture and Vegetation)	furrow; line of seeds planted; row; series (n)	
p(n}?nBS*T	ríma (Clothing and Adornment)	fillet; hairnet; snood; *headband (n)	
iZ~~`bY8O[	rína (adj suf)	scattered (adj suf)	
my65O9?7[k	rína (adj)	crowned; garlanded (adj)	
MbC^GvasP0	rísimandë [þ]	at random; here and there; passim [Latin]; *scatteredly (adv)	
"Rhm2%Fm#tT"	rísima [þ]	scattered; ubiquitous (adj)	
l>ObONgDY=	róma	horn; loud sound; trumpet-sound; *blare (n)	
G;nHOrjUwI	rómen	east; uprising (n)	
m_N]OOVgw0	róna	east (adj)	
s@|rW!HKz]	ró	the[?] [?next] (adv)	
wsqeh[,(Pl	huo; röa	dog (n)	
DDZb5oq0cF	rúcima	terrible (adj)	
Gm0`o+%cV4	rúcina	confused; disordered; ruined; shattered (adj)	
J0]?JR<^Un	rúcinon (rúcinond-)	breccia; (lit.) ruined stone (n)	
D}1ckvAA69	rúna-; sen-	to free (vb)	
x3}e)_w4Tb	rúnya	red flame (n)	
o-mcn0l2F2	rúsëa [þ]	wrathful (adj)	
b&UPsqWp%p	rúsë [þ]	wrath (n)	
J2+[VM{Qx)	rúvina	burst; ruptured (adj)	
cB,(:n?BV:	sa (pron conj)	it (inanimate); that (pron conj)	
GfJ[+]7!{D	sac-	to hurt (vb)	
IoO5y^jlFP	sac- [þ]	to close (vb)	
ffY]N>]KPJ	sahta- [þ] (Physical Acts and Materials)	to split (vb)	
JG:;g`,U1k	sahta- [þ] (Social Relations)	to induce (vb)	
C%QJkKWs-9	sahtië [þ]	pressure or force (to do something against one’s will or conscience) (n)	
t+m+V8(wxA	saicelëa	famished (adj)	
k`1S)hH`Ki	saicelë	famine (n)	
vvmd&,7h(H	sailiëndil	philosopher (n)	
A.@f9jB$A=	saipo	boot (n)	
fK-=&KtaqO	sairina	magic; *magical (adj)	
y8:4PG<hGi	saita-	to teach; to *train; (lit.) to make wise (vb)	
b9N{`O677L	saitalë	education (n)	
FQ08Ju9HL$	saitya-	to starve (vb)	
Q<~=,j5gLz	salca-	to mow; to mow down; to scythe (vb)	
"ul#J?/Ar/%"	salca	scythe (n)	
xwmC}:j|k^	salcessë	harvest [product]; *produce (n)	
"ok$OC#f=8f"	salcima	ready for cutting; *harvestable (adj)	
i3CY.:F9>*	salpa	broth (n)	
KSG7/B.0F:	salpë	sip (n)	
qb=t:H&g;^	salquecolca	manger; (lit.) grass-box (n)	
k)2NJ8N0*>	salquecápo	grasshopper (n)	
u[aN4K{iLz	salquenor	grassland; meadow (n)	
sG?Atr0[xZ	sam-	to have (vb)	
rEVDMf$PZ6	sama- [þ]	to bar; to exclude (vb)	
s|mEy[s1t8	sambesta [þ]	apartment; flat (n)	
I|~jM`0vV{	samin (samind-)	silk (n)	
EU@jL}&rA]	saminda	silken (adj)	
o=}{)1(Eym	sampan-	to combine (vb)	
k4y8<?*((m	sampanë	combination (n)	
csF;PNEO6K	sampa	spade; *shovel (n)	
lmFz{TZCm<	sana-	to reflect; *to think (vb)	
PzqY6fu}0m	sanar	mind; reflector; thinker (n)	
CB.iX$j7JG	sanasta	pondering; reflection; thinking (n)	
d$fxO$|MH[	sanastëa	aware of; cognizant; conscious of; mindful (adj)	
"uD74Tu+z~#"	sana	that (previously mentioned) (adj)	
icS[6h_~}X	sancon (sancond-) [þ]	schist; (lit.) split-rock (n)	
"N#qj]:!{|;"	sandanasto [þ]	turtle; (lit.) shield-being (n)	
NSnzT%_-:0	sandastan (sandastam-) [þ]	shield-barrier (n)	
b!&><<1pVm	sanda [þ]; turma	shield (n)	
DCAIanXg8;	sangarë	oppression (n)	
"tO#h<WG3g`"	sanga [þ] (n)	crowd; crowded; pack; packed; press; pressure; throng; tight mass (n)	
h2>K+RJUE-	sangië	necessity; *pressing need or concern (n)	
!}nF1aHGN	santa- [þ]	to decide (vb)	
KI4(mN}(g{	santenta-	to concentrate; to focus (the mind) (vb)	
e+efKk]9il	sanwecenda	thought-inspection; thought-reading (n)	
Q,E-h91j3V	sanwelunga	serious; (lit.) thought-heavy (adj)	
"h8#T_Ok[Qs"	sanwelungië	seriousness (n)	
dUsZ>rq*Li	sanwementa	mental message; thought-sending (n)	
qNpAaDcKDB	sanwë-latya	thought-opening (n)	
uCoDGlL0-q	sanwë	an act of thinking; thought (n)	
cSqu~eK+U2	sanyelórië [þ]	lawlessness (n)	
f1<6?IjQr^	sanyengolmo [þ]	lawyer (n)	
v5dKfM[~E1	sanyesta [þ-]	law [as a scholarly discipline] (n)	
e&-[oNegK4	san	so; thus; *then (conj adv)	
t~I3?q?xn}	sap-	to dig (vb)	
wGMs?VDJz[	sappa	dug-out; excavated (adj)	
H}8H>5nAH&	sapsarrima	boring; tedious (adj)	
eBUH_$$->[	sapta-	to convince; (lit.) to make believe (vb)	
BSfuIa3i4L	sar (sard-); sar (sarn-)	stone (small) (n)	
Fv)H/;Gj9n	sar-	to (by later extension); to mark (i.e. by incision); to notch; to score (vb)	
e;vc~aw*{	sara- [þ]	to saw [wood] (vb)	
pq85isRRkA	saramor (saramór-)	*writing-ink (n)	
zb-s]Ww/xD	sarassë [þ]	footstool; hassock (n)	
"u%$rW#sC+d"	sarat	letter (of the Rúmilian alphabet) (n)	
NYyNkQd~W]	sardanar (sardanár-)	corundum; (lit.) hard sun (n)	
G/zd[ilK2.	sarda	hard (*as stone) (adj)	
ifzrF~MZZN	sarma [þ]	saw (n)	
s4,^|eYMrx	sarmë; tengwa; tengwë	writing (n)	
pGWj3^[$t	sarnincë	pebble (n)	
MS^yA?`XCM	sarnië	pebble bank; shingle (n)	
z47z5MV:Aw	sarnomo	banker (n)	
w}kXu]4mZY	sarnunta [þ]	diadem (n)	
dD,bP4w$;M	sarta	loyal; steadfast; trusty (adj)	
r!5.:sgw{)	sartë (sarti-)	jot; note; scribbling; (lit.) a little writing (n)	
c8IEr$u-TL	sarya-	to stone (vb)	
"x`},?WiF$#"	sat-	to appropriate to a special purpose or owner; to set aside (vb)	
lz_LuS2@hy	satarya-	to rely on (a person); to trust (vb)	
P.jMq%F0aw	satta	part (of something) (n)	
Gw-f-40o-[	satya	excluded; not common; private; separate (adj)	
kUZO7H}w&`	sau-	very badly (pref)	
"LT9GzLGh#5"	saucarya	evil-doing (adj)	
w_{Soq]$,*	saucarë	doing or making a thing very badly (n)	
dL)a8LgUf%	saulengaitë	ill-mannered (adj)	
y2O/)<-p6	sauluppo (sauluppu-)	cancer (disease) (n)	
"o7j(b.cD#S"	saura [þ]	evil; evil-smelling; foul; putrid; stinking; vile (adj)	
k2ekn?J!W^	sauroryat [þ]	skunk; (lit.) stink-badger (n)	
O0+},3YVh(	sav-	to believe (vb)	
LjRKaSplYQ	saviëlóra	belief-less; unbelieving (adj)	
C1BY&IH)Cs	savindo	believer (n)	
NPAu$ks}R*	së (prep)	at; in (prep)	
"A^)#8|&Y0b"	së (pron)	he; it (animate); she; they (pron)	
eBJ-1~J{?P	sel- [þ]	to intend; to mean; to plan (vb)	
f=6vU&=GcI	seldë	child [f.]; daughter; *girl (n)	
Kzs|)=2q]e	selyë	daughter (diminutive) (n)	
x*0Uz7qFbL	sen-	to let go; to let loose (vb)	
yESqyUkqr5	sendarë	day of rest; sabbath (n)	
L-9)y^d`}|	sendassë	guest-house; inn (n)	
G{]qK6kCMm	senda [þ]	bracket; confines; (lit.) that what cramps (n)	
H3}$UQ5.gr	senna [þ]; senta [þ]	short (adj)	
PS{8^B3}QZ	senta- [þ]	to shorten (vb)	
Ni$_kk^?),	sentimeter	centimeter (n)	
jv/1G=;qWO	senwa [þ]	instant; moment (n)	
"F/#XK[W:zY"	senya	typical; usual; *common (adj)	
It4x{^Qqp0	senyavë	usually (adv)	
L7<%Q`/z9$	ser- [þ]	*to sew (vb)	
lJs8/+gAwI	serca-	to bleed (vb)	
"c`(6}EU+l#"	sercilixa	blood-thirsty (adj)	
Q2FJt}H@>a	serciril (sercirill-)	ruby; (lit.) blood-glitter (n)	
i-5j4Gw[&b	sercë (serci-)	blood (n)	
EM_s93o?ya	serindë [þ]	broideress; needlewoman; *seamstress (n)	
eigDW(Hs(!	serma [þ]	string (n)	
eMe9JuJwDB	seruinon (seruinond-)	sedimentary rock; (lit.) settled-rock (n)	
vY$*uk/^p,	sesta-	to set; (lit.) to make rest (on) (vb)	
f7d5/~?gkc	sil-	to shine (white) (vb)	
"wANImG$>F#"	silima	crystal substance devised by Fëanor (n)	
hf>MffEUK2	sillë; sindon	like this (adv)	
lTs+ZQ~+-z	silma (n adj)	crystal (white); shining white; silver (n adj)	
F^Z6k:me&z	silmë nuquerna	s-reversed (n)	
h@g9p|d.mm	silomë	tonight (n adv)	
JU0<h<GcL~	silta-	to sift; to sort out; to winnow (vb)	
A{.h!i@Hlu	silta	sieve (n)	
by++calb!v	siltina	winnowed (adj)	
sNc^>)R(4Z	silumë	at this time; *present (adv)	
"rA>MrA&t/#"	silussë	present tense; (lit.) here-and-now-tense (n)	
HR+Tf{aRd$	silúmëa	contemporary; current; modern (adj)	
"Prbo7m#xXM"	simpa [þ]	flageolet; flute; pipe (n)	
bFr}8qGb<E	simpetar [þ]	piper; *fluter (n)	
vuwqoP5Z9[	simpisë [þ]	piping; whistling (n)	
IIj*nW/HV+	sinanwa	existing or occurring now; in a particular place; present (adj)	
A-pRG{<dV0	sinanwië	presence (n)	
OzB..?:i$9	sinapio	mustard (n)	
O6ix_3w~89	sina	this; this fact (stated by me) (adj pron)	
fAjV>:kEX=	sincahonda	flint-hearted (adj)	
POL$8[L+=P	sinca	flint; *flinty (n adj)	
zQ.C`C%IGj	sincë (sinci-)	mineral [as in any solid inorganic substance] (n)	
r4%3A^N/5u	sindië [þ]	greyness (n)	
O-x$C])]+.	sindë (sindi-) [þ]	pale; pale or silvery grey (adj)	
DL|J.LsnI7	sinen	by this means; so (adv)	
xP2sP[da;U	singwa	salt; *salty (adj)	
dY^Y(AyO+8	singë (singi-)	salt (n)	
L*V>n$)?p)	sinilë	topaz (n)	
"v<%#ylsdZ("	sinomë	(lit.) in this place (adv)	
b/;aK@&lw0	sintamo; tamo	smith (n)	
b1QN6K&d(-	sintë (sinti-)	computation; esteem; estimate (n)	
x!f^X;Ff*M	sinwa	ascertained; certain; known (adj)	
NB}aOwUFp!	sinyarna	novel (n)	
"o#j`)i8*dj"	sinyemat [þ]	dinner; evening meal (n)	
JT1}Jva4`b	sip- [þ]	to pipe (vb)	
pI*9Vpa!L]	siqu-	to sigh (vb)	
u~U$Cnw!q`	siquilissë	weeping willow (n)	
n;dhC6-+^X	siquilë	sighing (n)	
p}OF:-9dy7	sirpë [þ]	slender tube; stalk (n)	
"v@#%jO#$Pe"	sirya-	to flow [smoothly] (vb)	
"eQ|wpN_#2G"	sirëa	flowing; liquid (adj)	
HvT6[VfAZV	sis- [þiþ-]	to fry; to scorch; to singe (vb)	
e%U=uJO;,9	sisin [þ-]	parched; scorched (adj)	
D^B,ZzAP4*	sistina	sore; ulcerated (adj)	
Mgo{9Jea.u	sisíla-	to shine (frequentative) (vb)	
LSx{y=0puR	sitina	accustomed; common; customary; ordinary (adj)	
fH&hc/ANTC	sito (situ-)	custom (n)	
m<1Ib/RHdt	sitta-	to I am used to; to I do habitually (vb)	
P3~Y[z4J_0	situ-	to be accustomed [to] (vb)	
bJVBdWe3{&	sitwa [þ]	fryer; pan (n)	
oi*DT_sdZA	si	this (pron)	
b2xjSsx<?=	sin; sië; tal(de)	thus (adv)	
qRE!/ud(f~	sohta-	to drench; to give to drink (vb)	
vDS=mdVQkU	fauca; soica	thirsty (adj)	
"u%BL_$&r#V"	soicië	thirst (n)	
K$Rn0/,.Xz	solma	[main or entry] hall; chamber (n)	
uc!~%PK<d:	solta-	to surge (up and down); to wave (vb)	
"n{2[X#|#NX"	songa	mouth (interior cavity behind the teeth containing the tongue) (n)	
wmnhUPdJ-K	sononel (sononelm-) [þ]	pine-needle (n)	
"bF#od:ng+L"	sor-	to equip; to furnish; to provide (vb)	
nCI*Q(zx$$	sorastarwa	equipped; furnished (adj)	
y>xpNek4|V	sorna [þ]; tulca	steadfast (adj)	
x2wAlrT`k`	sornion [þ]	eyrie (n)	
H45N3~*PJ%	soroncë [þ]	kite; (lit.) little eagle (n)	
K1-BAnPhPb	sortöa [þ]	aloe; (lit.) eaglewood (n)	
uJKy|+DknX	sossëa [þ-]	afraid; fearful (adj)	
b$`wo0Nsa0	sov-	*to bathe (vb)	
L@Fh7g|gT^	sovalda-	to cleanse; to purify (vb)	
L`:%dzBJ$+	sovallë	bathing; purification; washing (n)	
l~:RtR}8nQ	sovalwa	cleansing; *purifying (adj)	
M7_{XQse7/	sovamorco	raccoon; (lit.) wash-bear (n)	
s$.@U/H2{0	sucul [þ]	slime; sticky matter (n)	
M4GsJdb[zy	suhta-	to drain (vb)	
n.06JVBDX|	suhtina	resinous (adj)	
g^m.3~PH1b	suhtë (suhti-)	gum; resin (n)	
o8o<E3J|J>	suila-	to greet (vb)	
E{t+<71t&|	suilanta-	to give greeting (vb)	
"Eek8C3KHn#"	suilië	greeting (n)	
D:dSUbpUz9	suiva	moaning [of wind]; soughing (adj)	
"HE3{Q#&%Ko"	sulpa	soup (n)	
OT!QQ?F^iw	sumba-	to submerge (vb)	
r?N%)[}A%|	sumbanwa	sink (for washing) (n)	
DbV:cu75hH	sundoharmar	capital [funds]; (lit.) base treasures (n)	
Ik@PDPy*O0	sundon (sundond-)	bedrock; (lit.) base-rock (n)	
A!Qy!pJD`c	sundo [þ]	base; root; root-word (n)	
JHFN:r/v/X	sundóma [þ]	determinant vowel; root-vowel; vocalic determinant (n)	
bUKrI$_)6y	surya-	to hiss (vb)	
iQ%x/qB(gC	surya- [þ]	to blow (intr.) (vb)	
PbTje%oE9y	sussë [þ-]	puff (of air) (n)	
ttSV&T8MQ0	sauta- [þ-]	to stink (vb)	
D!G|Y3W/eX	suv-	to sink (esp. in water) (vb)	
I`$nxP_P|J	sála	bile; gall (n)	
f@_6bYF>Eg	sámë [þ]	help; salvation; saving (n)	
c8?0=kX:xN	sámo [þ]	helper (n)	
w.2r,+};~v	sanyelóra [þ]	lawless (adj)	
r{(sLyA!qL	sáquetië	agreement (n)	
v@7Nf!O3bz	sár (sar-)	(generalized) score (of game or contest); (incised) mark; notch; tally (n)	
KI9)T!JQUq	sáralë	bitterness (n)	
f1o^|xP;nt	sára	bitter (adj)	
q73U/a^{KG	sávula	credulous; gullible (adj)	
qsFD]g*G&p	sávë [þ]	foul odor; reek; stench; stink (n)	
lL+JZQ>%G/	sá [þ]	I agree of course; I will; all right; of course I do; very good (interj adv)	
GJ?5Yf?vzf	sérenca	uneasy; unpeaceful (adj)	
i$@Z=E.rE>	sérinqua	full of peace; peaceful (adj)	
v41^A/t.mB	sérë	peace; repose; rest (n)	
M}}keQjbK-	sír(ë) (síri-); sírë (síri-)	river (n)	
ciEw28lBg?	sítë	of this sort (adj)	
N.U`6bK,)V	sívë	knowing (n)	
M=n`WB0pGN	sóla	tide (n)	
P0u~wB4XZN	sónanwa	water basin (n)	
oNBc;sQ%kJ	sótë	refuge (n)	
wr&(^r)e8u	söa	filth (n)	
i,BN@{0<7Q	súcë [þ]	pine or fir; resinous tree (n)	
"x#G]8nC-d1"	súlendil	kite; (lit.) friend of the wind (n)	
"eFDL[2#}ll"	súlë [þ]	(movement of) spirit; emission of power (of will or desire) (n)	
"p=OS#-#4QG"	súma	bosom; hollow cavity (n)	
"y0+#A9sL&N"	súna- [þ]	to be spiritually affected; to inspired (vb)	
x~K;-/*mLM	súnalë [þ]	inspiration (n)	
tJM`NpM4)n	súnë	bath; small pool (n)	
I!q&DkfD`{	súriëllë	anemone; windflower (n)	
{t0bT=v^<	súriquessë	species of grass; (lit.) wind feather (n)	
JeqCJ|X.R0	súrë (súri-)	breeze; wind (n)	
E8WQa0[gK$	súsa [súþa]	bath water; hot water (n)	
G_NPCFUo;.	súyel	niece (n)	
HDhym!$jbm	súyon	nephew (n)	
L!BX2,:hW5	sú	noise of wind; sound of wind (n)	
O@N,)AQGr(	ta (adv conj)	also; and also; etcetera; like that; so; then (adv conj)	
oY4Ed69<^i	taina	elongated; extended; lengthened; prolonged; stretched (adj)	
AG(-nn8Fvb	taitë	of that sort (adj)	
vQ&F3W%MUl	tal(da)	to the bottom (adv)	
B|bb>uGm^1	talaitë (talaiti-)	footed (adj)	
zE^D[I.y%4	talan (talam-)	flat space; floor; ground; platform (n)	
c5f|Nyv*^C	talca (n)	mark (n)	
"J#71$oG9Ax"	taldëa	bottom (adj)	
Ncije}p3f5	tallimë (tallimi-)	ankle; (lit.) foot-link (n)	
PZIxzq2lTw	tallë; tandon	like that (adv)	
M$K*iWclCI	talmacasta	head over foot; upside down; *topsy-turvy (adj)	
"Ab]D,L#PMy"	talmata-	to base (on); to found (vb)	
Nk-Ih3:rs|	talmondo	foundation stone (n)	
sfo2&d3roA	talta- (Motion and Transportation)	to collapse; to fall; to slide down; to slip (down); to slope (vb)	
EqL4[n=IB`	taltil (taltill-)	*(lit.) foot-tip (n)	
k6TPIQbWyB	taltol	big toe (n)	
Au3xWy.D)`	talumë	at that time (adv)	
iYgs5X6-@U	taman	thing made by handicraft (n)	
J6n&`kR%bn	tama	that matter (pron)	
ya0uO:=|gr	tambin (tambind-)	cauldron (n)	
C(9^DcRm5(	tambina	of bronze (adj)	
oyNQ/<p7@)	tambë; tiër; tér	so (prep)	
xX2t,Ep^-u	tamin	forge (n)	
"&bp,#X?b!"	tamma	tool (n)	
dD<qQhveP2	tamna	artifact; artificial (adj n)	
y5%kcZ2-tM	tamo (n)	artificer; builder; wright (n)	
gSF:T4j!&w	tampo	well (n)	
GJ_4[GbOeL	tamuril	yew (n)	
s)~c{Vthi9	tana-	to indicate; to show (vb)	
EM0@tHKBxt	tanar	[linguistics] demonstrative; indicator (n)	
M<R5?Mwrod	tanastë	presentation (n)	
Ixr6Gs}[PI	tana	that (adj pron)	
"CX1#.Ie/l`"	tancarya-	*to become firm (vb)	
u$Qd17hhI0	tancata-	to confirm; to fix; to make firm; to make fixed or firm (vb)	
JNPkFa=9JU	tancavë	certainly (adv)	
FImj:<bC,;	tanca (n)	fastening; rivet (n)	
k4o`-%e~-o	tanen	in that way (adv)	
"j#9`b)p@S7"	taniquelassë	*high-white-leaf (n)	
"no#H~uMaBl"	tanta-	to bounce; to bound; to dandle; to rebound; to sway; to swing (intr.); to wave (vb)	
MT/qc8ekl=	tantal	shuttle (n)	
u;z`1yMHR:	tantara	bouncing; resilient (adj)	
fyQGsXwTjg	tapta	impeded (adj)	
gC@rq]=<@p	tar-	high; king or queen (in compounds) (affix)	
I*ev2h}g0~	taranna	county; shire (n)	
KEYnm!YrUN	tararan	emperor; (lit.) high-king (n)	
Vq)SYjTky	tarasta-	to harass; to trouble (vb)	
N9YDrC$D+J	tarastië	trouble (n)	
KBS_e6(U_~	tarhanwa	(lit.) high seat (n)	
i=>AV_PM!a	tarma	pillar (n)	
j>h_E;UURr	tarmenya	vertical (adj)	
c{.WPfiRru	tarmen	vertical direction (n)	
"so0@vka#GC"	taras; tarminas	great towering building (fort/city/castle) (n)	
eE:?9NSL;0	tarmon (tarmond-)	basalt; (lit.) pillar-rock (n)	
MuatOH&I^F	tarmë	condition; status (n)	
rSg;)Y472q	tarolwen	sceptre; (lit.) royal branch (n)	
uvq~/1u1_G	tarqua-	to pickle; to preserve (vb)	
daqPEr0`y^	tarquin(a)	dried; salt meat; salted; *(orig.) preserved (n adj)	
B83I=b(YP6	tarwandur	gardener (n)	
mMvr;{rK%S	tarwa	garden (n)	
dLOF`H:ksD	tarwesta-	to crucify (vb)	
Kb6RZU~6{q	tarwë	cross; crucifix (n)	
Cu?fo:7ZU3	taryassë	difficulty; stiffness; toughness (n)	
rkHM86,@o2	tar (n)	honorific; madam; sir (n)	
Ee8.=mdpr	tasar(ë) (tasari-) [þ]	willow (n)	
"i`/1tX#6EF"	tastë	fringe (n)	
"zj!a7Dhsb#"	tauca	stiff; wooden (adj)	
sq}iJgY._D	taucolca	(wooden) chest (n)	
m*5w)Qh>hL	taura	(very) mighty; masterful; of unmeasured might or size; vast (adj)	
"k2(z*#$^Sp"	taurëa	forested (adj)	
DDMzwWF9Q1	taurë	(great) wood; forest (n)	
"z#jpBSX:q~"	tautamo	[wood] carver; carpenter (n)	
g6year+I.}	tav-; termar-; vor-	*to endure (vb)	
y>gl8qan(M	tavas (tavast-)	woodland (n)	
A!MwI}7l,}	teccelma	parchment; scroll; (lit.) writing-skin (n)	
NBAZ.6MpyX	tecemma	drawing; drawn image; painting (n)	
"OG#3*S$&Z<"	tecil	pen (n)	
r1>(OuvV`n	tehtalë	art of writing; documents; papers; script; scriptures; writings (n)	
Pd(+o5`lYN	tehta	(written) mark; diacritic; mark (in writing); sign; symbol (n)	
kf4LFYU{o/	tel (teld-)	end (n)	
lRcGw^@fj`	tel-	to end; to finish (intr.) (vb)	
DWw?5`q:Pb	telco (?telcu-)	leg; stem (n)	
"CtA53wJ#Va"	telcohan (telcohamp-)	pants; trousers; (lit.) leg-clothing (n)	
q1Sf)E4UU-	telconta-	to stride; to *(lit.) to leg it (vb)	
D?L4@jq^m&	teldavë	finally (adv)	
QXlHxP.r@^	telda	final; last (adj)	
MKeo8~26Z9	telepta	silver; *silver-coloured (adj)	
yCd~<+@El:	telima	final (adj)	
C<gw:3,m>v	telluma	cupola; dome; vault (n)	
"k7~3#}t%Gf"	telma	anything used to finish off a work or affair; conclusion; ending (n)	
M1wDg@IJqY	telmëa	conclusive (adj)	
ccUbyI3i-m	telperin; telpina	like silver (in hue or worth) (adj)	
qJS*75{r6|	telpetan	silversmith (n)	
j(?4?{8Kf/	telpevistando	money-changer (n)	
P]m&QWYUm8	telpilin	silver piece; *silver coin (n)	
EG4DQ/NFZm	telpingwë	silverfish (n)	
eV=oLd69y6	telumbë	mushroom (n)	
FnRN>*v|sT	telumë	canopy; dome (of heaven); firmament; roof; vault (n)	
m,e^FW>t^^	telusta	extreme; outer; ultimate (adj)	
A9hSFyB.ul	telustë	extremity (n)	
bZyVGREA}=	telu	last (adj)	
dr-G=RH/_*	telwa	late (adj)	
j|+tuXZ+&A	telya-	to conclude (trans.); to finish; to wind up (vb)	
EYmYCSZiga	telyanta-	to allure; to *attract (vb)	
Joo1ZNr>fS	telyantalya	alluring; attractive (adj)	
Ay;4$-x<]9	telyantassë	allurement; attraction (n)	
qhOBLqB/X+	tengessë	address; (lit.) indication-name (n)	
ztkn1I!B-I	tengwa-	to read written matter (vb)	
QyBm<weK>1	tencelë; tengwacilmë	spelling (n)	
xQ/,C|3(]R	tengwalóra	unlettered (adj)	
KqI2Y0?:QN	tengwassë	alphabet (n)	
OZ&v4Oog61	tengwa	(written) letter; grammar; indicator; sign; token (n)	
boD)BKUD!g	tengwelanga-	to transcribe (vb)	
d!LCZTG|[-	tengwelanga	transcription (n)	
mG%wm2348p	tengwelë	language (general term) (n)	
g]fzST%2cA	tengwesta	collection of matter concerning writing; collection of writing; grammar; morphology; system or code of signs; *language structure (n)	
Bih6)rHXfd	tengwestië	language [as a concept] (n)	
"Jw#*/aNwnE"	tengwië	language (*signing) (n)	
AS=e&[38v!	tengwë	indication; sign; token (n)	
sBlyd]6XB3	tenna (n, Mind and Thought)	notion; thought (n)	
KZbdew;..3	tenna (prep, Time)	as far as; to reach; to the point; until; up to (prep)	
h;hV?vIyK	tennoio	forever[more] (adv)	
mXg1uQ*5D}	tensi	already; still; up to now/here; yet [from present] (adv)	
dk1ILvQ`:L	tenta-	to be directed toward; to direct toward; to go forth towards (with object); to point (to/out) (vb)	
f1?VI:++.R	tentaparma	instruction book; recipe book (n)	
JQYo/jaWs$	tenta	still; yet [past]; *up until then (adv)	
B*vDeTHjZ@	ter-	to pierce (vb)	
f4X8]E*:C*	tercara	comprehensive; elaborate; thorough (adj)	
zZ),BySYb,	tercenya	of insight; *perceptive (adj)	
clwe}t5ItR	tercen	insight; *(lit.) through-sight (n)	
tk@QZT;65P	tercáno	herald (n)	
QC4<UY+`d<	terendel	lathe (n)	
OxSg<1x%Y-	teret (tereht-)	auger; borer; gimlet (n)	
G2S9&icq;0	termar-	to last; (lit.) to through-abide (vb)	
BWuQtoERu5	tervanta-	to traverse (vb)	
guvP[D)vS:	ter; terë	through (prep)	
kSy|Whx]r;	tesar	brick; tile (n)	
c5Xg/*K,u.	tev-	to hate (vb)	
LyL[P5W;hi	tevinqua	hateful (adj)	
m^}8cRXQ<[	tevin	hated (adj)	
uv%X8^QvB0	tevië	dislike; hatred (n)	
A@YbO,<sFL	sen; ter; të; tí	them (pron)	
z6X_IBycSN	ticuta-	to smelt; (orig.) to make melt (vb)	
Adxbz&0W&5	tihta-	to blink; to peer (vb)	
E+m5|R{ANp	tildë (Spatial Relations)	(mountain) horn; fine sharp point; tip (n)	
k<i(B}gEMv	tillë	[within compounds] finger; eyelash; point; tip (n)	
BuDQI>i!25	timbarë	forehead (n)	
"nh8t|R9#:f"	tin-	to gleam; to glint; to shine as a star; to spark (vb)	
Afw[Cvc-P	tincoina	metallic (adj)	
vS9VdY}g]$	tincotéma	t-series (n)	
pXR.ZmP6_V	tinco	metal (n)	
iNS!:t|v0|	tindómë	(starry) twilight; starlit dusk; time near dawn (n)	
s;M:z|_[^:	tinta-	to cause to spark; to kindle; to make to spark (vb)	
"nBMj1#3GO="	tintila-	to give tremulous light; to twinkle (vb)	
t}M<yQji&g	tintilië	sparkling; twinkling (n)	
fRBfo4}`eI	tinwerúmë	starling; (lit.) abundance of stars (n)	
C;ds5(C&,U	tinwë	[apparent] star; spark (star) (n)	
l5J<p8kkqA	tinwírë	diamond; (lit.) sparkling gem (n)	
