(a)moth|fen; marsh (n)
gellui|triumphant (adj)
gell|joy; triumph (n)
gem; lhaew; malen; nimp|sickly (adj)
genedia-|to reckon (vb)
genediad|reckoning (n)
gentha-|to grip; to lay hold of; to seize (vb)
gen|closed hand; grip (n)
geria-|to ponder (vb)
gern|decrepit (of things); old; worn (adj)
gersoth|mine (n)
geth|ore of metals (esp. raw iron) (n)
gil [ng-]|(bright) spark; silver glint; twinkle of light (n)
gil- [ng-]|to gleam; to shine pale and silver (as of the moon [or stars]) (vb)
gil-|to gleam; to shine pale and silver (as of the moon) (vb)
gildin|silver spark (n)
gilhof|*(lit.) star-juice; dew (n)
gilith|*region of the stars; starlight (n)
ging; lhingril; ungol|spider (n)
gintha-|to add; to add to; to increase; to join to (intr.) (vb)
gir-|to shudder (vb)
girith|shuddering (n)
gir|centre; heart; inner parts; inside; interior; inwards (n)
giwl; gŷl; giwol|conceiving; fecund; having conceived; just pregnant (adj)
giwth; gŷth|embryon; foetus; germ (n)
glab-; glavra-|to babble (vb)
glad; taur|wood (n)
gladh-|to *guffaw; to laugh [at a joke] (vb)
gladhweg|cheerful; (lit.) apt to laugh (adj)
glae(gal)|*photons; light (as an ethereal substance) (n)
glae; half|grass (n)
glaenas|fair weather; serenity (n)
glaen|clear; fair (espec. of weather); serene (adj)
glaer|long lay; narrative poem (n)
glaew|ointment; salve (n)
glaich|happy; joyous (adj)
glais|sweetness (n)
glaiw|salve (n)
glam(m) [ng-]; glâm; tevas|hatred (n)
glamm|barbarous speech; confused noise; shouting (n)
glamog; orch|orc (n)
glamra-|to abominate; to detest; to loath (vb)
glamri|bitter feud (n)
glam|barbarous speech; bellowing of beasts; confused noise; din; shouting; uproar (n)
glan (Mind and Thought)|clear (adj)
glan (Sense Perception)|(originally) bright; pure (adj)
glan(n); taeg|boundary (n)
glan; glann; puig|clean (adj)
glandagol|boundary mark (n)
glanna-|*to clear; to cleanse; to make clear; to purge; to purify (vb)
glannaith|cleanliness; purity (n)
glannas|purification (n)
glannen|cleanly; pure (adj)
glarossiol|dazzling (adj)
glarosta-; glartha-|to dazzle (vb)
glassui|happy; joyful (adj)
glass|*happiness; joy (n)
glasta-|to joke; to make happy (vb)
glast|marble (n)
glas|joy (n)
glathralvas|*heliograph; flashing glass/crystal (n)
glathren|[of or like] marble (adj)
glaur (n adj)|gold [light or colour] (n adj)
glaur; glôr (n)|gold (n)
glavaitha-|to blaze (vb)
glavaith|blaze; blazing light; burning (n)
glavradeb|full of the din of voices (adj)
glavradol|chattering; talkative (adj)
glavradon|*chatterbox; vain talker (n)
glavras|babble; babel; chatter; din of voices (n)
glavrol|babbling (adj)
glaw (Physical World)|radiance; sunshine (n)
glaw (Sense Perception)|radiance (n)
glawar (Physical Acts and Materials)|gold (light or colour); radiance (of Laurelin); sunlight (n)
glawar (Physical World)|radiance of Laurelin; sunlight (n)
gledhrin; lhind; nind; thlind|slender (adj)
gledhrinios; glen(d)rinios; lhinnas|slenderness (n)
gleina-|to bound; to enclose; to limit (vb)
gleinannen|bounded; enclosed; limited (adj)
glenna-|*to travel (vb)
glent; lhinnas|thinness (n)
glidheb|like honey (adj)
glim (adj)|shimmering (adj)
glim (n)|*utterance; voice (n)
glimri|sheen (n)
glind; glinn|*song (n)
gling-|to dangle; to hang (vb)
glintha-|to glance (at) (vb)
glinthad|flash of the eye; glance; look (n)
glir-|to recite poem; to sing (vb)
glisca-|to have a sweet tooth; to like sweet things (vb)
glist|sugar (n)
glodhren|jocular (adj)
glonta-|to devour; to gulp; to swallow (vb)
glorchadhu|lotus; (lit.) golden seat (n)
gloss (adj)|(dazzling) white; clear white; snow-white (adj)
gloss (n adj)|snow; snow-white (n adj)
glosui|snow white (adj)
glum|cloud (n)
glâm|fierce hate; loathing (n)
glân (adj)|[bright shining] white; clear; pure; †bright (adj)
glân (n)|border; hem (n)
glâs|brilliance; clarity (n)
glîn(n)|gleam; glint (n)
glîr; golyn; laer; lind; linn (Language and Music)|song (n)
glîr|lay; poem (n)
glî|honey (n)
glóna-|to dawn (vb)
glôrin; mallen|of gold (adj)
glûdh|soap (n)
go-; gwa-|co(n)-; com-; in one; together; with (pref)
gobel|(walled) village; *manor; town (enclosure); walled house; walled house or village (n)
gobem; gogel; gogìl|mouth (n)
gobennas; pennas|history (n)
gobennathren|historical (adj)
gobeth|dictionary (n)
gochestri; gochethri; hestri; hethri|consanguinity (n)
gochest|*a set of siblings; brother and brother; brother and sister; etc. (n)
godaithrinwed|grammatical (adj)
godref|*together-through; abreast (adv)
goe (Emotion)|great fear; terror (n)
goeol|*fell; dire; terrible (adj)
gofelthi|exact similarity (n)
gofil; gwafel|exactly alike (adj adv)
gog; gwag; rhaen|crooked (adj)
goianna-|to add to; to join with (vb)
golain|connection; context; relation; (lit.) threadage (n)
golas; golass|collection of leaves; foliage (n)
golbar [ng-]|school; university; (lit.) wisdom-house (n)
golbh; goluidh; golw; thostol|stinking (adj)
golc|stink (n)
golf; olfin(g)|branch (n)
goll [ng-]; golwen [ng-]; idhren; noen; sael|wise (adj)
gollor [ng-]|magician (n)
golodh [ng-]|lore-master; sage (n)
golof|consonant (n)
goloth|*collection of flowers; inflorescence (n)
goltha- [ng-]|to (lit.) make knowledgable; to educate; to teach; to tutor (vb)
golthannen [ng-]|educated; learned (adj)
golthanneth [ng-]|lesson; teaching (n)
golthas [ng-]|education; erudition (n)
golthor|teacher (n)
golu [ng-]|*wisdom; lore (n)
golwen [ng-]|learned in deep arts (adj)
golwin; gulwin|*Gnomish woman (n)
gomintha|together (adv)
gonathra-|to enmesh; to entangle (vb)
gonathras|entanglement (n)
gond; gonn (Physical World)|stone (as a material) (n)
gond; gonn|rock; stone (n)
gondram|hewn stone (n)
gondren|*of stone (adj)
gonebedach-|to approach one another; to become like; to resemble (vb)
gonn (Physical World)|(great) stone (n)
gonneb|rocky; stony (adj)
gonnos|great rock (n)
gonnoth|memorial; pillar; stele (n)
gonod-|to count (up) (vb)
gonoded|accounting; counting (n)
gor [ng-]; gost; nifred; niphred; pant; thoss|fear (n)
gor- (pref)|difficult; hard (pref)
gor- (vb)|to urge; to warn (vb)
gor- [ng-]|all; altogether; quite (pref)
goras|advice (n)
gorbedui|lamentable to tell; only to be said with horror or grief (adj)
gorchanui|complicated; cryptic; enigmatic; hard to understand (adj)
gordh (adj)|difficult; laborious (adj)
gordh (n)|deep thought (n)
goredhin [ng-]|akin; related; sib (adj)
goredhin|[closely] related; akin; sib (adj)
goredhnir|cousin (f.) (n)
goredin|*related (adj)
gorf|impetus; vigour (n)
gorgor [ng-] (n)|extreme horror; haunting fear; terror (n)
gorgor [ng-]; naer (adj)|dreadful (adj)
goriad|greater (adj)
gorn [ng-]|revered (adj)
gornod(ui)|hard to count (adj)
gorn|impetuous (adj)
gorth [ng-]|dead (person) (adj n)
gorthad [ng-]|spirit of Dead; wraith (n)
gorthob [ng-]; naer; thaur|horrible (adj)
gosta-|to fear exceedingly (vb)
gost|terror (n)
gothnir; othwen|amazon (n)
govad-|to meet (vb)
govaethas|government (n)
govai|alike; similar (adj adv)
goveg|just like (adj)
goven|crossroads (n)
govin(d)riol; govinra; nochinra|long-acorned (adj)
govod|*(orig.) eating-together; companionship; fellowship; living together (n)
govron; gronoch; noch|acorn (n)
gowest|compact; contract; treaty (n)
grand; ost|town (n)
gratha-|to fray; to rub; to scratch (vb)
graug|demon (n)
graus|*female pig; sow (n)
graw|swart (adj)
grendi|cousinship; family (in a wide sense) (n)
grest (Possession and Trade)|salvation; succour (n)
grest (Social Relations)|aid; help; succour; support (n)
gresta-|to aid; to help; to succour; to support (vb)
grileg|hooped shape; ringed (adj)
grind|ankle; wrist (n)
grith-|to attend to; to care; to care for; to mind; to tend (vb)
grithonwed|careful; thoughtful; unselfish (adj)
griw|alimentary canel (n)
grod|delving; large excavation; underground dwelling (n)
groga-|to feel terror (vb)
grond (n)|cavern (n)
grond (n, Warfare and Hunting)|club (n)
grond; gronn (adj)|ponderous; weighty (adj)
grondolas; grontholas|oakleaved (adj)
grondos; gronthorn; gronthos|oaktree (n)
grondrui|oakwood (n)
gronduru|oakwood (mat) (n)
groth|delving; grot; large excavation; tunnel; underground dwelling (n)
gruin|ruddy (adj)
gruitha-|to terrify (vb)
gruith|angry or violent act; deed of horror (n)
grôn|oak; oaktree (adj)
gudh-|to be hot (intr.) (vb)
gudhriol|inflamed; inflammatory (adj)
gudhri|conflagration; inflammation (n)
guin; gwein|*woman (n)
guireb; uireb|eternal (adj)
guir|slow (adj)
guldur [ng-]|black arts; sorcery (n)
gulweg|*Gnomish man (n)
gum-|to lade (vb)
gunn|?dragon (n)
gur; laich; leich; lend; liss; melui|sweet (adj)
gurgof|traitor (n)
gurth [ng-]; gurth(u) (Body Parts and Functions)|death (n)
gurth [ng-]|*death (n)
guru [ng-]|death (abstract) (n)
guruthos [ng-]|death-horror; dread of death; fear of death; shadow of death (n)
gu|(together) with (prep)
gwa- (Spatial Relations)|*away (pref)
gwabeth; pethas|phrase; sentence (n)
gwachae|far away (adj)
gwachest|brother and brother; brother and sister; etc. (n)
gwadath(wen)|journey; wandering (n)
gwadoras|association; fellowship; society; union (n)
gwador|(sworn) brother; associate (n)
gwae-|to depart; to go (vb)
gwae; gwaew; gwâ; lûg|wind (n)
gwaeda-|to enfold (vb)
gwaedh|bond; compact; oath; troth (n)
gwaef|binding; wrap (n)
gwaelphilin|quiver; (lit.) case of arrows (n)
gwaen|stained (adj)
gwaeren|windy (adj)
gwag; muig (Sense Perception)|soft (adj)
gwahae|*far away (adj)
gwain (Body Parts and Functions)|blond (adj)
gwain (Time)|*new; young (adj)
gwaith|folk; host; man-power; manhood; men; people; regiment; troop of able bodied men (n)
gwalir (Language and Music)|rhyme; rhyming poem; rime (the two actual rhyming words) (n)
gwalir|rime (n)
gwall|excited (adj)
gwalwed|fortunate; happy (n)
gwalwen|fortune; happiness (n)
gwanath; gwanu|death (act of dying) (n)
gwana|fair (n adj)
gwanna-|to depart; to die (vb)
gwann|dead; (lit.) departed (adj)
gwanod; nath|number (n)
gwanos|*lineage; birth; family; heredity (n)
gwant|beautiful; fair; loveliness (adj n)
gwanunig|twin (n)
gwanuren|akin; of same kindred (adj)
gwanur|kinsman; kinswoman (n)
gwanwen|*gone; departed; lost [to time]; past (adj)
gwar- (n)|give way; surrender; to yield (n)
gwar- (vb)|*to dwell (vb)
gwar- (vb, Sense Perception)|to guard; to watch (all senses) (vb)
gwardhos|comrade; m. companion (n)
gwaren (Mankind)|[nuclear] family (n)
gwaren; nos(s); nothlir|family (n)
gwareth|guard; vigilance; ward; watch (n)
gwarieg|warden; watchman (n)
gwarin|circle of trees (n)
gwarth|betrayer (n)
gwass (Physical World)|noise of rushing; rush; rushing (n)
gwass; gwath; maw (Sense Perception)|stain (n)
gwastar|hummock (n)
gwath (Physical World)|dim light; shade; shadow (n)
gwatha-|to soil; to stain (vb)
gwathel|[sworn] sister; associate [f.] (n)
gwathra-|to dim; to obscure; to overshadow; to veil (vb)
gwathren|dim; shadowy (adj)
gwathui|*shadowy; of shadow (adj)
gwaun|goose (n)
gwaur|dirty; soiled (adj)
gwe-|2nd-plural pronoun; you (plural) (pron)
gwe; pe|we (inclusive) (pron)
gwedh-|to bind (vb)
gwedh; gwend; hemp; nûd|bond (n)
gwedhen|allied; oath-bound (adj)
gwedhron|ally; one bound by oath (n)
gwed|*brook; small river (n)
gwef|louse (n)
gwegwin|hermaphrodite (n)
gweg|male of the Elda; man (n)
gweith; hoth; nos(s)|people (n)
gweithiad|folk; nation (n)
gwel-|to boil; to bubble (intr.) (vb)
gwelch; gweleth|bubble (n)
gweleb|cool; fresh (esp. of water) (adj)
gweleth; hunn; ordh|boil (n)
gweltha-|to press; to squeeze (vb)
gwelu|air (as a substance) (n)
gwem; leweg; lhûg; terch|worm (n)
gweml(i); gwemmel|weevil (n)
gwen; pen|us (inclusive) (pron)
gwendren|girlish; maidenly (adj)
gwend|*young woman; maiden (n)
gweneth|maidenhood; virginity (n)
gwennod|*(lit.) maiden berry; elder tree; elderberry (n)
gwenn|maiden (n)
gwent|big; fine; large (adj)
gwenwi|past; past tense (n)
gwerb(e)lin|*(lit.) wind-unwind; whirligig (n)
gweria-|to betray (vb)
gwes(t)|rich (adj)
gwesg (adv adj)|*weak; weakly (adv adj)
gwesg (adv)|weakly (adv)
gwest (Law and Judgment)|oath (n)
gwest; gwîs; nethias|entertainment (n)
gwesta-|to swear (vb)
gweth-|*to report (vb)
gwethlir|song of welcome (n)
gwethriol|welcome (adj)
gwi-|bi-; di-; twi- (pref)
gwidhren|adolescent; pre-adult (adj)
gwil-|to float; to sail (vb)
gwilbriniol|like a butterfly (adj)
gwilith|*lower sky; air (as a region); breeze (n)
gwiltha-|to air; to expose to air (vb)
gwilvrin; gwilwileth|butterfly (n)
gwilwa-|to flit; to flutter (vb)
gwilwist|weather (n)
gwilw|peaceful; quiet (adj)
gwimmaf|whale; (lit.) sheep of the waves (n)
gwineb|youthful (adj)
gwingil|mermaid; (lit.) foam maiden (n)
gwing|crest; flying spray; foam; spindrift; wave-crest (n)
gwinig|baby; little-one (n)
gwinn; raef; raew|net (n)
gwinta-; tíra-|to see (vb)
gwiog; gwion; neth|young (adj)
gwir-|to weave (vb)
gwirfin|braid; pigtail; (lit.) woven-tress (n)
gwiril|spindle (n)
gwirtha-|*to not to wish; to mean not to; to not mean to (vb)
gwirthar|shuttle; (lit.) weave-across (n)
gwirthol; uirol; uthairiol|reluctant (adj)
gwirth|reluctance; unwillingness (n)
gwista-|to alter; to change; to vary (vb)
gwistanneth|alteration; variation (n)
gwistol|changing; variable; varying (adj)
gwist|change (n)
gwithant|shuttle (n)
gwâw; hwaewar; hwâ; wá(wa)|breeze[?] (n)
gwê|*living being; living creature (n)
gwí|already; just; just now; only just (adv)
gwîb|penis (n)
gwîn; nîth (n)|youth (n)
gwîn; pîn (pron)|our (inclusive) (pron)
gythra-|to be conceived; to germinate (vb)
gythren|embryonic (adj)
gôf·clochiol|stone-fruit (n)
gôma-|to nickname (vb)
gôr|all; each (adj)
gûl [ng-] (Religion and Beliefs)|(evil) knowledge; black arts; sorcery (n)
gûl [ng-]; saelas (Mind and Thought)|wisdom (n)
gûr|heart (inner mind) (n)
gýda-|to impregnate; to make pregant (vb)
hab-; hamma-|to clothe (vb)
habad|shoe (n)
hach|buttocks; the hams (n)
had-|to *fling; to hurl; to throw at (vb)
hada-|to aim at; to throw at (vb)
hadang|javelin; (lit.) hurling iron (n)
hadh-|to sit (vb)
hadhma-; hadhwa-|to seat (vb)
hadhu|*chair; seat (n)
hadlath; tlaiw|sling (n)
hador; hadron|thrower (of spears and darts) (n)
hadruithog|thirsting for vengeance (adj)
hadruithol|vengeful (adj)
haeda-|to (lit.) make distant; to remove (vb)
haedh|fenced enclosure (n)
haena-|to (lit.) be(come) distant; to depart; to leave (vb)
haered|(remote) distance; remoteness (n)
haeron|*distant (adj)
haer|*distant; remote (adj)
haew|custom; habit (n)
hae|(very) far away; far (adj adv)
hai (Spatial Relations)|there (by him) (adv)
hai (Time)|early; in good time; punctually (adv)
haid; men; pâd|road (n)
haidra|in good time; punctual; timely (adv)
haidri|after breakfast; forenoon (n)
haim|departed; gone; lost (adj)
hair (adj)|in good time; punctual; timely (adj)
hair (n adj)|left (hand) (n adj)
haith|moist; wet (adj)
hal-; tultha-|to lift (vb)
halath|fell (n)
haldir|fur-hunter (n)
half|seashell (n)
hall (Physical World)|hidden; shadowed; shady; veiled (adj)
hall (Spatial Relations)|exalted (adj)
haltha-|to screen (vb)
hamma-|to *put on clothes; to get dressed (vb)
hammad|*clothes; clothing (n)
hammen|clad; clothed (adj)
hamra-|to abase; to abash; to humble oneself (vb)
ham|?chair (n)
hanar; hawn; muindor; tôr|brother (n)
hana|it (pron)
hand|intelligent (adj)
hannas|intelligence; understanding (n)
hannen|seated (adj)
hant|cast; throw; turn or move in games (n)
han|above (n)
haradren; harn|southern (adj)
harad|south (n)
hardúnen|southwestern (adj)
hardûn|southwest (n)
harn (Body Parts and Functions)|wounded (adj)
harn (Spatial Relations)|south (adj)
harna-|to wound (vb)
harnas|damage; harm (n)
harrúnen|southeast (adj)
harrûn|southeast (n)
hartha-; mer-; ûna-|to hope (vb)
harthad|hope (n)
haru; harw; naedh|wound (n)
harvo|left hand; left side (n)
has-; hath-|beside; by; close to; touching (pref)
hasta-|to *cleave; to hack through (vb)
hast|axe-stroke (n)
hathel|axe-blade; broadsword-blade (n)
hathol; peleg; tael|axe (n)
hau-; haw-|to lie (vb)
haudha-|to bury; to hoard; to lay in store; to record; to save (vb)
haudh|(funeral) mound; (piled) mound; [orig.] †heap; grave; heap; tomb (n)
haug; tovn|low (adj)
haust|bed (n)
hav-|to pray (vb)
ha|there you are (interj)
he; hen(e)|she (pron)
heb-|to keep (vb)
hebia-|to delay; to keep (temporarily); to retain (vb)
hebwirol|circumspect (adj)
heb|?from; about; around; round about (prep)
hedril|thrower (f.) (n)
hel-|to freeze (vb)
helch|bitter cold; ice-cold; icy (adj)
heledhren|glassy; like glass; of glass (adj)
heledir(n)|kingsfisher; (lit.) fish-watcher (n)
heleg; lhinc|ice (n)
heleth|fur; fur-coat (n)
helfin(n)|icicle (n)
helf|*hide; fur (n)
hellen|frozen (adj)
hell|*stripped; naked (adj)
heltha-|*to despoil; to *flay; to make bare; to peel skin; to strip (vb)
helw|cold; ice-cold; icy (adj)
hemp|a band; band; cord (n)
hen(d); hen(n); hên|eye (n)
hendelu|brow (n)
henia-|to understand (vb)
henna-|to read (vb)
henneth|window (n)
hent|*(sense of) sight; eyesight (n)
herdir; heron; hiron; hîr|master (n)
herf|lordship; protection; sway (n)
heria-|to begin suddenly and vigorously (vb)
herth|household; troop (n)
herven; hervenn|husband (n)
herves; hervess|wife (n)
hesg; tharn; thisin|withered (adj)
hest|brother or sister; sibling; †consanguinity (n)
hethgedwi|twins (n)
hethrin|consanguine; of the same family (in a close sense) (adj)
hethu|foggy; vague (adj)
hich-|to vomit (vb)
hilf|offspring; one’s descendants; posterity; progeny (collective-noun)
hilon|adolescent (adj)
hilvias|heritage; inheritance (n)
him|abiding; continually; enduring; ever; steadfast (adv adj)
hin; mu; o|from (prep)
hinia-|to abide by; to adhere; to cleave to; to stick to (vb)
hir-|to *light on; to chance on; to find (vb)
hirilwen|anxiety (n)
hiril|princess; †queen (n)
hiriol|anxious (adj)
hiron|guardian; overseer (n)
hirtha-|to care; to care for; to mind; to reck; to tend (vb)
hirthol|attentive; careful (adj)
hista-|to hearken; to listen; to listen to (vb)
hithlain|grey elvish rope; mist thread (n)
hithren; mith; mithren; musc; thind; thinn|grey (adj)
hithu; usb; usg|fog (n)
hithui|misty (adj)
hiw|sticky; viscous (adj)
ho(n)-|grandson of (pref)
hobas; lonnas|harbourage (n)
hoda-|to lay; to lay flat on ground; to stretch out (vb)
hogren|humble; lowly; mean (adj)
hol-|to close; to shut (vb)
hollen|closed; shut (adj)
holl|cock; cockerel; rooster (n)
honeg; honig|brother (diminutive) (n)
hora-|to await; to expect (vb)
horn|driven under compulsion; impelled (to do something) (adj)
horoth|age; eld; oldness (adj)
hortha- (Social Relations)|to speed; to urge on (vb)
hortha- (Time)|to grow old (vb)
horweg|an ancient; old man (n)
hosta-|to collect; to gather (vb)
host|gross (144) (n)
hothrim; othrim|army (n)
hothron|captain (n)
hoth|crowd; folk; group plural; horde; host; †army (n)
huan|great dog; hound (n)
huar|wild dog (n)
hugin|young pig (n)
huia-|to urge on (vb)
huil|*female dog; bitch; hen (n)
huitha-|to it is misty (vb)
humethla; humloth|(red) poppy (n)
hunc|pig (n)
hunn; ordh|pus (n)
huorn|?spirit tree (n)
husta-|to burn (tr.); to destroy (vb)
hwand; hwann|fungus; sponge (n)
hwegol|brush (n)
hwegra-|to sweep (vb)
hweg|broom (n)
hwest|breath; breeze; puff (n)
hwiel|niece (n)
hwind|eddy (n)
hwinia-|to eddy; to twirl; to whirl (vb)
hwiniol|fantastic; giddy; mad; whirling (adj)
hwinn|birch (n)
hwion|nephew (n)
hwîn|faintness; giddyness (n)
hygion; pogron|*one who copulates; fututor (n)
hyriaith|gale (n)
hâdh|*cleaver (n)
hâl; lim|fish (n)
hên (Mankind)|child (n)
hída-|to (come to) pass; to happen (vb)
hí|now (adv)
hîl|heir (n)
hîr|anxiety; care; heed (n)
hîth; midh; usb; usg|mist (n)
húda-|to curse (vb)
hûb|harbour; small landlocked bay (n)
hûd|*gathering; assembly; moot (n)
hûl|cry of encouragement in battle (n)
hûn|heart (physical) (n)
hûr|fiery spirit; readiness for action; vigour (n)
hû|dog; hound (n)
i (article)|the (article)
i (pron)|indefinite indeclinable relative particle; that; who (pron)
iach; pâd|ford (n)
iaeda-|to deride; to laugh at; to make fun of; to mock (vb)
iaeth; lang|neck (n)
iaewen|scornful (adj)
iaew|mocking; scorn (n)
ialla-|to call (vb)
ialtha-; ilt(h)a-|to yoke (vb)
ialt|yoke (n)
ial|*cry (n)
ianna-; ilt(h)a-|to join (vb)
ianna-|to connect (vb)
iannen|connected; joined (adj)
iant|bridge (n)
iath; iâth|fence (n)
iaun (adj)|extensive; huge; large; roomy; vast; wide (adj)
iaun (n)|*shrine; fane; holy place; sanctuary; temple (n)
iaur|ancient; old(en) (adj)
iaust|*yield; crop; produce (n)
iau|*cereal crop; corn (n)
iav-|to bear fruit; to produce; to yield (vb)
iavas|*harvest (time); autumn (n)
iavren|fertile (adj)
iaw|when (conj)
ia|gulf (n)
idanc|*not firm; masked (adj)
idhor|thoughtfulness (adj)
idhraluin|long ago (adv)
idhren|pondering; thoughtful (adj)
idhril|*Man (f.) (n)
idhrinn|*(lit.) year-circle; year (n)
idhrog|*Man (m.) (n)
idhruglin|the language of Men (n)
idir|no king (n)
idra-|to prize; to value (vb)
iell; sui|daughter (n)
iesta- (Time)|to begin (vb)
iesta-; mer- (Emotion)|to wish (vb)
iestor|first day of the new year (n)
iest|wish (n)
ifant; iphant|aged; having lived long; (lit.) year-full (adj)
ifant|*aged (adj)
il(d)rim|disease; disturbance; unquiet (n)
ilaurui|*daily (adj)
ilgioth|sterility (n)
ilhad|everywhere (pron)
illadui|general (adj)
illad|everything (n)
ilnad|everything (pron)
ilphen|everyone (pron)
ilrimog|uneasy (adj)
ilu|cosmos; the whole; universe (n)
ilwi(n)|heavens (n)
il|*all (adj)
im (n, Physical World)|deep vale; dell; valley (n)
im (n, Religion and Beliefs)|fairy (n)
im (prep)|between (prep)
im (pron)|I; I myself; reflexive; self(same) (pron)
imeneth|namesake; (lit.) same name (n)
imladren|of the vale; vale like (adj)
imlad|deep vale; deep valley; dell; gap; glen; gully; narrow valley with steep sides (n)
imm|deep vale; dell (n)
imrad|*(lit.) valley path; path or pass between mountains or trackless forest (n)
imrath|*(lit.) valley course; long narrow valley with road or watercourse running through it lengthwise (n)
in(d)wed|at home; domestic(ated); homely; indoors (adj)
in-|house of (pref)
inc|guess; idea; notion (n)
ind(r)|a long time; long (adv)
indram|shock; (lit.) mind-blow (n)
ind|heart; heart [metaphorical]; inner thought; meaning; some particular purpose or intention of an individual (n)
ingem|decrepit; old (in mortal sense); suffering from old age; (lit.) year-sick (adj)
inib|*twelve (cardinal)
inna; int|in home; to its house/its right place (adv)
innas|*will (n)
inni|at home; home; in right place (adv)
innor|master (of house) (n)
innos; nos(s)|house (n)
inn|abode; heart; house; inner thought; meaning; some particular purpose or intention of an individual (n)
intha-|to fare; to go (indefinite); to proceed (vb)
inthi|less (adv)
inu|female (adj n)
inwas|feminity; womanhood (n)
inwathren|feminine (adj)
in|go; move; occasion; turn (n)
iofog|cider; fruit drink (n)
iolf|brand (n)
ion(n)|*boy (n)
iorbeth|archaic word; archaism (n)
io|ago (adv)
ir (conj)|?when; while (conj)
ir (prep)|dative and allative (prep)
irdh|bowels; entrails; innards (n)
irm|a wish; intention; resolve (n)
irn|desired; wished for (adj)
irtha-|to peck (vb)
irtha|her (pron)
irthod|intent; intention; will (n)
irthol|intentional (adj)
irth|beak (n)
ist (Emotion)|feeling; notion; sensation (n)
ist (Mind and Thought)|knowledge; lore (n)
ista-|to be aware; to feel; to have knowledge; to know; to perceive (vb)
istui|learned (adj)
ith; itheg (n)|anything (n)
ithildin|magical alloy that glows in moonlight; (lit.) moon-star (n)
ithog|any (adj)
ithrin; ithriol|of any kind (adj)
ithron|Wizard (n)
ithweg; ithwin|anyone (n)
iuitha-|to employ (vb)
iuith|use (n)
ivangod; ivongod|walnut (n)
ivil|inside (n)
ivogodron|walnut tree (n)
iâd|isthmus; waist (n)
iâf|fruit (n)
iâ|abyss; chasm; gulf; pit (n)
iôr; rant; rath; rhód|course (n)
iûl|embers (n)
l(h)ô|fenland; flood (n)
laba-|to hop (vb)
laboth|*rabbit; a hare; hare (n)
labra|flapping; lax; loose; weak (adj)
lacha-|to flame (vb)
lach|(leaping) flame (n)
lad (Quantity and Number)|nothing; zero (n)
lad (Spatial Relations)|a flat; a level; fair dealing (n)
lad-|to extend (in length); to stretch (vb)
laden (Spatial Relations)|*level; cleared; equitable; fair; flat; open; wide (adj)
laden|flat (and wide) (adj)
ladog|tin; tin [metal] (n)
ladwen|flatness; heath; levelness; plane; surface (n)
lae; rim|great number (n)
laeda-|to refresh; to revive (vb)
laegas|greenness; verdure (n)
laeglin(n)|greenfinch (n)
laeg|acute; fresh; green (of leaves/herbiage); keen; sharp; viridis (adj)
laew (Quantity and Number)|frequent; many (adj)
laew (Time)|fresh (adj)
laeweth|freshness (n)
laf; laph|end of rope; hem of robe; loose-end (n)
lagor|rapid; swift (adj)
laidh|horizontal; (lit.) lying flat (adj)
lain (adj)|*liberated; free(d) (adj)
lain (n)|thread; warp (n)
laithra|dead and gone; forgotten; former; of yore; over (adj)
laith|*lost (adj)
lalaith|laughter (n)
lallen|amusing; funny (adj)
lall|laugh (n)
laltha-|to amuse; to make laugh (vb)
lalweg|cheerful (adj)
lam (Language and Music)|(physical) tongue; language; speech (n)
lam (Sense Perception)|echo (n)
lamel|phonetics (n)
lamengolu|linguistics (n)
lamma-|to echo (vb)
lammad|*echoing (n)
lammen|of tongue; spoken with tongue (adj)
lanad|weft; woof (n)
lanc (n)|sharp edge (not of tools); sudden end (n)
land|broad; level; open space; wide (adj)
lang (Body Parts and Functions)|*throat; passage (n)
lang (Warfare and Hunting)|cutlass (n)
lang-|to blare; to clang; to ring (vb)
langan(d)|stringed instrument with a neck (lute, guitar, etc.) (n)
lann (n)|thin cloth; tissue (n)
lann; lhann|broad (adj)
lann; pann (adj)|wide (adj)
lanthir; âch|waterfall (n)
lant|clearing in the forest (n)
lanu|loom (n)
laptha-|to loosen; to relax (vb)
larm|elm-wood (n)
las-|to glance at; to look at (vb)
las; lhas|leaf (n)
lasbelin (Time)|leaf-fall (n)
lass|leaf; petal (n)
lasta-|to blink; to give ear; to listen; to wink (vb)
lastadui|audible (adj)
lastad|attention; hearkening; listening (n)
lasto|*hark; listen (interj)
last|(sense of) hearing (n)
lathr(ad)a-|to eavesdrop; to listen in (vb)
lathron|eavesdropper; hearer; listener (n)
lath|thong (of leather) (n)
laub|shirt (n)
laudh (Body Parts and Functions)|licking up (food or drink); †licking up (food or drink) (n)
laudh|gluttonous eating (n)
laug|warm (adj)
laur|darkling; foreboding; threatening (adj)
lav-|to lick (vb)
lavan|animal (n)
lavra-|to lap (of animals); to suck up (vb)
law; lin|sound (n)
le (prep)|and (prep)
le (pron)|thee; you (polite) (pron)
leb-|to cull; to pick; to pluck; to take or feel or touch with fingers (vb)
lebdas; tas|index finger (n)
lebenedh|middle finger (n)
lebent|fourth finger (n)
leben|five (cardinal)
leberen; lepthindros|fingered; of fingers (adj)
leber|finger (n)
lebethron|*(lit.) finger tree; Gondorian hardwood (n)
