(be)bilfir|conscience (n)
laim|rope; thong (n)
lais|glade; green sward (n)
laith (adj)|*lost (adj)
laith (n)|(properly) lapse; the course of time; time (n)
laith(r)a-|to (intr.) to be lost; to forget; to let slip; to lose; to mislay (vb)
laithra|dead and gone; forgotten; former; of yore; over (adj)
lalm; larm|elm; elm-wood (n)
lalmir|elm tree (n)
laltha-; tinta-|to dance (vb)
lalt|dance (n)
lam|speech; tongue (n)
lanc|chance; choice; pick; selection (n)
land; lann|broad (adj n)
lang-|to blare; to clang; to ring (vb)
langon|great bell (n)
lantha-|to alight; to fall onto; to settle on (vb)
lant|(high) road; level way; street (n)
laptha-|to loosen; to relax (vb)
las-|to glance at; to look at (vb)
lasgweloth|autumn; leaf-fading (n)
lass|leaf; petal (n)
lasta-|to blink; to wink (vb)
last|flash of the eye; glance; look (n)
laub|shirt (n)
laud|flood; high tide; motion of the sea; tide (n)
laug|(of plants) alive; having sap; vigorous (adj)
laur|darkling; foreboding; threatening (adj)
laus|(aj.) fresh; energy; juice; sap; vitality (n adj)
lauthra-|to refresh; to revive (intr.) (vb)
lauth|a plant; herb (n)
lav-|to lick (vb)
lavra-|to lap (of animals); to suck up (vb)
leb-|to cull; to pick; to pluck; to take or feel or touch with fingers (vb)
lech (adj)|slippery; smooth (adj)
lech (n)|slide; smooth place (n)
lectha-|to sharpen (vb)
lemfadrin|of the finger; ring (adj n)
lemfin|halved; in half (adj)
lemp (Body Parts and Functions)|crooked finger; little finger (n)
lemp (Quantity and Number)|half (n)
lempa-|to beckon; to crook the finger (vb)
lempachùn|wishbone (n)
len (adj)|arrived; come (adj)
len (adv)|away; far; long; wherewith (adv)
lenchos|distance (n)
lenc|distant; far (adj adv)
lendri; lenthos|arrival; coming (n)
lendriol; lenthol|approaching; coming (adj)
lentha-|to come towards speaker; to draw near (vb)
lent|(c. dat.) at; along side of; close to; near; therewith; towards; up by; up to side of; with it; withal (adv)
lenu-|to extend in length; to stretch; to trail (vb)
lenweg|a stranger; ‘arrival’ (n)
lenwin|a stranger (fem.); ‘arrival’ (n)
lenwi|distance; length (n)
lepthadrin; lepthindros|of fingers (adj)
leptha|finger (n)
lesta-|to assemble; to gather; to meet (intr.) (vb)
lethrin|peril(o)us; slippery (adj)
leth|therewith; with it; withal (adv)
lib-|to drip (vb)
libli|small drop; small glass (n)
lib|drop; gout (n)
lieglest|a folk moot (n)
lieg|the citizens; the folk (n)
ligindon|blare of trumps (n)
ligin|curved horn; trump (n)
lillir|a song; lullaby (n)
lim (adj)|many (adj)
lim (n)|bundle; sheaf (n)
limfa; limfelis; limp(elis)|drink of the fairies (n)
lin-|to sound (intr.) (vb)
lind|twine (n)
ling|small snake (n)
lintha-|to play an instrument; to sound (tr.); to strike or ring bell (vb)
linthanin|playing or music of instruments (n)
lint|agile; light; nimble; quick (adj)
lin|sound (n)
lir-; lul-; rala-|to sing (vb)
lisc; lisg|reed; sedge (n)
liscaloth|reed grown; reedy (adj)
lista-|to bless (vb)
list|favour; grace; kindness (n)
lith-|to be over; to depart; to end; to finish; to go (vb)
lithin|bygone; ended (adj)
lithra-|to become silent; to cease speaking (vb)
li|and (prep)
lob-|to gallop (of animals); to run (vb)
lobrob|gallop; sound of horse’s feet (n)
lobros|horse; steed (n)
loctha-|to curl (tr.); to tie knot; to twine; to wind (vb)
loctha|coil; spiral; tendril; twist (n)
loda-|to gulp down; to swallow (vb)
log-|to bend (intr.); to curl (intr.); to twine; to wind (twine round anything) (vb)
logrifidhrin; logrifindel|curly haired (adj)
logrin|curled; curly (adj)
lomiol|dismal (adj)
lonc|curl (n)
lor-|to dream (tr.); to sleep deep (vb)
lorc|dreamy; drowsy; lazy (adj)
lortha-|to put to sleep; to send to sleep (vb)
losbas|ryebread (n)
losc; losg|rye (n)
loss; lost|bloom; blossom (n)
lothli|floret (n)
lub|fat; fat flesh (n)
lud-|to float; to flow; to stream (vb)
luibri; luist|thirst (n)
luib|thirsty (adj)
luim; luin|blue (adj)
luin|ago; gone; past (adj adv)
luista-|to be thirsty; to dry up; to parch (vb)
luis|blooming; florescence (n)
luitha-|to bloom; to blossom (vb)
lui|blueness; livid mark; livor (n)
lul-|to hum a lullaby (vb)
lulwi|a lullaby (n)
lumba; lumbrin|overcast (adj)
lumbri|foul weather (n)
lungra-|to bear on; to hang heavy; to weigh (vb)
lung|grave; heavy; serious (n)
lunta|ship (n)
luntha-|to balance; to weigh (vb)
lunthang|balance; scales (n)
lur-|to frown; to scowl (vb)
lurc|a frown; scowl (n)
lust; lûm|time (n)
lust|tide; weather (n)
luv-|to hang; to lower (of clouds) (vb)
lu|occasion; time (n)
lâ|place; room; space (n)
lî|a crowd of folk; many people; ‘they’ (n)
lómin|gloom(iness); gloomy; shadowy; shady (adj n)
lôg|firewood; fuel (n)
lôm|gloom; shade (n)
lôs|flower (n)
lô|lake (n)
lûda-|to bloom; to grow (vb)
lûgi|a wind; deceit; guile (n)
lûr|slumber (n)
lûtha-|to come to pass; to occur; to pass (of time) (vb)
mabinos|plane tree (n)
mablad; mablod|palm of the hand (n)
mablios|cunning (adj)
mabol|skilful (adj)
mabrin(d)|wrist (n)
mabwedri|dexterity (n)
mabwed|dextrous; handed (adj)
mab|hand(s) (n)
mactha-|to kill; to slay (vb)
mad-|to eat (vb)
madheg|something (n)
madhin|some (adj)
madhir|someone (f.) (n)
madhon|someone (m.) (n)
madrin; madriol|edible; fit for food; wholesome (adj)
madri|a meal; edibles; food (n)
magli|great sword (n)
magruluib; magrusaig|bloodthirsty (adj)
magruluist; magrusaith|bloodthirstiness (n)
maien; mairien|better (adj)
maig; maiglos|thirst (adj)
mail|flour (n)
maimelion|dearly beloved (adj)
main|better (adv)
mairos|long hair; mane (n)
maitha-|to govern; to hold; to rule; to wield control (vb)
maithog|having control (adj)
maithri|control (n)
maith|permission; power; rule (n)
maivenin|shapely (adj)
maiwest|welcome (n)
mai|well (adv)
mal (adj)|anguish; evilness; pain (adj)
mal (n)|paved way; road (n)
mal-; nag-|to chew (vb)
malcos|a province or principality; lordship; power (n)
malcrin; malcwed|lordly; noble (adj)
malc|powerful; rich (adj)
maloglin; maroglin|daffodil; yellow song (n)
malogrintha|orange; tawny (adj)
malon|yellow (adj)
maltha|golden yellow; mellow; rich (adj)
malthos|butter cup (n)
mam|grandmother (n)
manca-|to grab; to seize (vb)
manc|grasp; grip; hold (n)
mandra|noble (adj)
mang|butter (n)
mani|good (of men and character only) (adj)
manos|spirit that has gone to the Valar (n)
mar(o)n|ripe (adj)
mara; marol|sand (n)
maragwast|earth quake (n)
maros|ripe fruit (n)
mart(os)|fate; lot; portion (n)
martion|doomed; fated; fey (adj)
mar|Earth; ground; soil (n)
masgar|pasture (n)
masta-|to feed; to graze (vb)
mastir|*shepherdess (n)
mast|feed; fodder; food; nourishment (n)
mathrin|dusk; dusky (adj)
mathron|herd; herdsman; shepherd (n)
mathusgi|twilight (n)
mathwen|evening (n)
maudra-|to be early; to be preferred; to come first; to prefer (vb)
maudrimad|breakfast (n)
maudrin; maurin|betimes; early; premature; up early (adj)
maudri|early morn before dawn; time before first meal (n)
maudro|earlier; rather; sooner (adv)
maug|silent (adj)
maul|bellowing; the lowing of cattle (n)
maur|dream; vision (n)
maus|pleasant; pleasant taste; pleasure (n adj)
mau|early; soon (adv)
mav-|to like (vb)
mavlant|*palm (of hand) (n)
mavra|eager after (adj)
mavrin; mavrothwed|delectable; delightful; desireable (adj)
mavri|appetite (n)
mavrog|eager (adj)
mavros|desire; eager longing (n)
mavuin; mavwen; mavwin|ancestress (n)
mawr; mora|good (adj)
ma|with instrument or by agent (prep)
me-|1st-plural pronoun; we (pron)
mechor|gore (n)
mectha-|to aim at; to intend; to mean (vb)
mectha|goal; intention (n)
mecthos|meaning (n)
meg|(esp.) mole; any small animal (n)
mel-|to love (vb)
melethli|darling (n)
melethril; melethron|lover (n)
meleth|love (n)
melon; meltha|dear (adj)
miaug|tomcat (n)
miaulin|she-cat (n)
mib; mibli|little kiss; peck (n)
mictha-|to bill (vb)
miginthi|littleness (n)
mim|gum (n)
mindon; minthon; tirin|tower (n)
mineth|island (n)
mintha|in one place; together; ūna (adj)
min|one; single (cardinal)
miog; mui|cat (n)
mirobin|grape (n)
mirofor|drink of the Gods (n)
miros; mîr|wine (n)
mirwelthin|vintage (n)
mod; tant|a number (n)
modog; modwen|a large number (adj)
modra-|to count; to measure (vb)
modri|measurement (n)
modrog; modron|rich man (adj)
mod|figure (n)
mog-|to detest; to hate (vb)
mogrin|hateful (adj)
mogri|detestation (n)
molnaith|molar (n)
morc|black mark; dirty; smut; stain (n adj)
mord|man (n)
morth; mûri|darkness (n)
mortha|dim (adj)
mort|champion; hero; man (n)
moth(in); mothwen|1000 (n)
mothweg|shepherd (n)
moth|sheep (n)
mu; mutha|am about to; am going to; will (prep)
mug-|to keep silent; to say nothing (about) (vb)
mugli|calf (n)
mugol|taciturn (adj)
muig|gentle; soft (adj)
muil|tarn (n)
muin (adj)|safe; secure (adj)
muin (n)|cattle; kine (n)
muinos; uchir|security (n)
muir; muthli|heifer (n)
muis|gentleness; softness; tenderness (n)
mul-; mum-|to bellow; to low (vb)
mumla-|to gibber; to stammer (vb)
mumloth|stuttering (n)
mumol|gibbering; inarticulate; stammering (adj)
munc|(adj.) mum; secretiveness; shut mouth; silence (n adj)
mur-|to sleep; *to slumber (vb)
murc|a nightmare; vision of the night (n)
murtha-; olma-; oltha-|to dream (vb)
musc|grey (adj)
muthra-|to veil (vb)
mu|from; [?] flow (prep)
mâd|meal (n)
môl|the (inside of the) mouth (n)
môna; môni|spirits of the air (n)
môn|bare hill; knoll (n)
môs|food (of men) (n)
mô|hand (n)
mútha-|to (c. gen.) to leave the place of or time of speaker; to depart; to go; to go forward; to leave (vb)
mû; tarog|ox (n)
mûm|lowing (n)
mûst|byre; cowhouse (n)
mûs|cow (n)
na-|to be (vb)
nab-|to lay hold of; to take (vb)
nabos; naboth|seizure (n)
nactha-|to bite (vb)
nacthanaith|incisor (tooth) (n)
naf-|to have inkling of; to suspect (vb)
nafa; nôf|inkling; suspicion (n)
nafol|suspicious (subjective) (adj)
nafra-|to nose about in others’ business (vb)
nag-|to gnaw (vb)
naith; sanc|tooth (n)
naitha-|to lament; to make moan for; to wail for; to weep (vb)
naithol|miserable (adj)
naithonwi|misery (n)
nal; tumli|dale (n)
nalairin|iris (n)
naldron|lower down (adj)
nalos|descent; setting; sinking; slope (n)
naltha|(av.) below; beneath; downward; low-down; lower (adj)
nal|down; downwards (adv)
nam-|to (intr.) withdraw; to draw back; to draw out; to retire; to take back; to withdraw (vb)
nanc|bite (n)
nand; nann|field acre (n)
nandor; nanweg|farmer (n)
nandriol|rural; rustic (adj)
nandri|the country (as opposed to town) (n)
naptha-|to seize (vb)
narcolas|Autumn; the fall of the leaf (n)
narcos|decay; rot (n)
narp|corrupt; decayed; overripe; rotten (adj)
narthiel|fragrance (n)
narthol|fragrant; odorous (adj)
nast|being (abstract); being (creature) (n)
nathanwi|fatherhood (n)
nathrin|possible (in sense possible to exist or think of); real (adj)
naudra-|to abash; to make ashamed (vb)
naud|abashed; ashamed; bashful; bent; bowed (adj)
naug; naugli|dwarf (n)
nauglafel|avaricious; mean; (lit.) dwarf-natured (adj)
naugla|of or belonging to the dwarves (adj)
nauin|dwarf (adj)
naur (adj)|grumbling; ill-tempered; sour (adj)
naur (n)|a snarl; ugly grin (n)
naus|keen-witted; notice; observant (adj n)
nautha-|to give a hint to; to hint at (vb)
na|of (the) (prep)
necha|woe (n)
nectha|honey comb (n)
neglis|honey (n)
nelu-|to ring (tr. and intr.) (vb)
nel|end; jutting end; tip (n)
nen(n); sîr|river (n)
nendil; nennil|waterfay (n)
nermil|a fay that haunts the meadows and riverbanks (n)
nern|brook (n)
nerthi|manhood; manliness; virtue (n)
nerthog|doughty; stout; vigorous (adj)
nert|a feat; prowess; strength (n)
ness|long grass; water meadow (n)
nesta-|to feed; to graze; to pasture; to put to grass (vb)
nethli|little meadow; long lush grass (n)
nethron; thang|herd (n)
ni-|1st-singular pronoun (pron)
nib|snowflake (n)
nictha-|to hail; to rain (vb)
niel; siel|granddaughter (n)
nien(n); nîn|tear (n)
nifedhin|outcast; outlaw (adj n)
nig(la)|mouse (n)
nig-|to creep; to do or go by stealth; to steal (vb)
nigla-|to pilfer; to thieve (vb)
nigrim|to swarm (n)
nigrin|stealthy (adj)
nigweth|(snow) storm (n)
nigwin|rainy (adj)
nilta-; niltha-|to empty (tr.) (vb)
nimp|pallid (adj)
nim|blue green; pale blue (adj)
ninconin; ninghonin|snowdrop (n)
nind; ninn|blue stone; turquoise (n)
ninion|water lily (n)
ninios|dropping of tears; lamentation (n)
ninna-; nintha-; sibra-|to weep (vb)
nio(s)|bee (n)
niogrim|swarm (n)
nion|bee; grandson (n)
niosturwin|queen bee (n)
niost|hive (n)
nirnaithos|great lament (n)
nir|grandchild of (pref)
nitha|a candle (n)
nithla|candlestick (n)
nith|wax (n)
niwin|female bee (n)
ni|without (both senses) (prep)
no-|again; back; re- (pref)
nobra-|to follow; to go after (vb)
nobromath; nuimath; nuimoth|first signs of dawn; ‘second twilight’ (n)
nobron|next following; the second (n)
nodro|again; farther on; further forward; later (adv)
nod|forward; in advance; on (adv)
nogin|lad; urchin (n)
nogra-|to exceed; to excell (vb)
nogrin; nogriol|conspicuous; excellent (adj)
nog|hill; prominence (n)
nontha|the next; the succeeding (time only) (adj)
nor-|to roll; to run (vb)
norn|wheel (n)
northa-|to send rolling; to speed (vb)
nosc; noth|damp; wet (adj)
noss; noth; ubri; uch|rain (n)
noss|birthday (n)
nosta-|to be born (vb)
nosteg|birth (adj)
nost|birth; birthday; blood; high birth (n)
nos|kin (n)
nothrin|highborn noble (adj)
no|after(wards); again; next; then (adv)
nud-|to bend face down; to incline head (vb)
nudin; nûda|prone (adj)
nuf-|to get smell of; to perceive scent of; to smell (tr.) (vb)
nufleg; nuthleg|keen-nosed (adj)
nufli; nufri|sense of smell (n)
nuidro|still later (adv)
nuin|born (adj)
nuiri; obauthri|afternoon (n)
nui|afterwards; again; later (adv)
num-|to decline; to descend; to sink; to slope down (vb)
numbros|incline; slope (n)
nunta-|to assent (vb)
nunthi|downward (adv)
nur-|to growl; to grumble (vb)
nurna-|to bewail; to complain of; to lament (vb)
nurn|a complaint; lament; plaint (n)
nus-|to perceive; to take notice (vb)
nusimos; nusiothli|sagacity (n)
nusiol|sagacious (adj)
nybol|?snowy (adj)
nâla|yellow-lily (n)
nîriol|sad; sorrowing (adj)
nîr|grief; sorrow (n)
nôl|head (n)
nôn|the morrow; the next day on from one mentioned or in thought; tomorrow (n)
nôs|birthday; nature (n)
nûda|face down (adj)
nûmin|sinking; the west (adj)
nûn|a nose (of men only) (n)
nûr|easy; easy going; rolling free; smooth (adj)
nûth|scent; ‘wind’ (n)
o-|he (conj)
obaidra-|to avenge; to expiate (crime) (vb)
obin|next; second (adj)
obra-|to follow; to succeed (vb)
obra|close behind (of place); following; next behind or after (time or place); succeeding (adj)
obromath|just before dawn; the twilight that follows the night; ‘second twilight’ (n)
obron|*next (adv)
obruith|(evil) consequences (n)
ob|after; close behind (time and place) (prep)
ocha|fleece (n)
ochlad; oglad|week (n)
och|egg (n)
octha|knee (n)
od; og|sharp corner (n)
odinthos|seventeen (cardinal)
odin|seven (orig[inally] many) (cardinal)
odog|exceeding; very; violent (adj)
odra-|can; to am able (vb)
odra|very (adv)
odrim|(very) many (adj)
odrog; odron|a brave man; brave; dour; mighty; stout (adj n)
od|against; at; up to (prep)
og-; ogra-|can; to be able (vb)
ogor|ability; might; power (n)
ogra|able to (prep)
ogriol|possible (adj)
ol-|to appear (vb)
ol; ôla|cliff; seaward precipice (n)
olaud; olod|motion of the sea; tide (n)
olf(in); olfin(g)|stick; wand (n)
olm; olor; oloth|dream (n)
olor; oloth|apparition; vision (n)
oltha-|to appear as an apparition (vb)
omla|a horse chestnut (n)
omlos|(horse) chestnut tree (n)
ongos|anguish (n)
ong|great pain (n)
ontha|his (pron)
on|he (pron)
or-|in addition to; on; onto; up (pref)
orc|goblin (n)
orcômin|fierce and bloody minded (adj)
orfing|pear (n)
orf|apple (n)
ormagodron|a (Spanish) chestnut tree (n)
ormagod|a (Spanish) chestnut (n)
orm|hill top; summit (n)
orod; ort|mountain (n)
oros; orost; rosta|rising (n)
orthi|up (adv)
or|(av.) on; (prep.) on; on top; onto (adv prep)
osp(a)|foam (n)
ospa-|to foam; to seethe; to spout (vb)
ospathol|ebullient (adj)
ospoth|froth (n)
oss|moat; outer wall (with moat); town wall (n)
ost (n)|enclosure; yard (n)
ost (pron)|yourselves (pron)
osta-|to build up; to fortify; to protect; to surround; to surround with walls (vb)
ostor|circuit of walls; enclosure (n)
oth|ye (pron)
pactha-|to speak; to talk; to utter (vb)
padhra-; pasta-|to flay; to peel; to skin (vb)
paga|court; paved floor (n)
paglant|a pavement; *paved road or way (n)
paglos|parchment (n)
pagra-|to pave (vb)
pagri; pagros|pavement (n)
paib|sour (adj)
paithri|a speech; speech; talk (n)
paithron|orator (n)
paithwen|oratory (n)
palta-; throsta-|to beat (vb)
paltha|blade (of swords, knives, oars, etc.); page of book; wide flat leaf (n)
pand|book (n)
panta-; pâ-|to put (vb)
panta-|to arrange; to order; to place; to set; to write a book (vb)
pant|arrangement; book; grouping (n)
pan|arrangement; place; settlement; spot (n)
paptha-|to quiver; to tremble (vb)
past|skin (n)
path|fine bark (paper); peel; skin of fruit (n)
pau|a beard (n)
pecthon|feather (n)
peleg|axe (n)
pelu-|to enclose; to fence (vb)
pibinaith(ros); pinaithros; tadhos|hawthorn (n)
pibin|haw; small berry (n)
pictha-; pigla-|to make urine (vb)
piectha-|to pin; to prick (vb)
pieg|pin (n)
piglin|urine (n)
pigwa; pigwed|bitter (adj)
piligwathil; pilingwathil|feathering of an arrow (n)
pilon|arrow; dart (n)
pim|any small round thing; bead; seed (n)
pinig|tiny (adj)
plador; plados|oar (n)
pleg|hedge-stake; stake (n)
pless; tath|fence; hedge (n)
podra-; ponta-|to retrace; to turn back; to turn round (vb)
polc|fat; thick (adj)
polm; polwin|strength (physical) (n)
polmog; polwed|strong (physically) (adj)
polod|authority; might; power (n)
pont|reverse or far side; the back (n)
porogog|the clucking and noise of fowls (n)
porogwil; uil|hen (n)
porog|fowl (domestic) (n)
pridu-|to decide (vb)
pridwen|judgment (n)
pridwir|judge (n)
prind|distinction (n)
pruin|charcoal (n)
puibra-; puidra-|to cleanse; to soap (vb)
puictha-|to clean; to condone; to do away with; to forgive; to pardon; to wipe out (vb)
puig|neat; tidy (adj)
puim|soap (n)
pui|child (n)
puthli|baby (n)
pî|a bit; anything very small; mote (n)
ractha-|to shatter (vb)
ractha; ranc|breach (n)
rag-|to break asunder; to burst (vb)
raibrog; ribrog|zebra (n)
raibros|(female) zebra (n)
raib|scored; striped (adj)
raig|awry; distorted; leering (of face); perverse; twisted (adj)
raim|border-line; edge (n)
raina-; rin-; rinta-|to return (vb)
rain|anniversary; year complete (n)
raitha-|to extend (intr.); to reach; to reach at; to reach for (vb)
raith|district; extent; reach; region; scope; sphere (n)
rala-|to carol; to trill (vb)
ranc|burst (n)
ranoth|month (n)
rantha|arch; bridge (n)
ras-|to toast (vb)
rasc|toast(ed bread) (n)
rath|a measure = 2 feet; one’s reach; the extent of one’s arm; the full arm (n)
raug|rushing; swift (adj)
rausta-|to chase; to hunt; to pursue (only in actual sense of following game) (vb)
raust|chase; hunt (n)
rautha-|to chase; to hunt; to pursue (vb)
rau|lion (n)
redhos|land (n)
ren(d)|cousin (m.); relative (n)
ress|cousin (f.); relative (n)
resta-|to aid; to support (vb)
restu|abroad; away from home; out of land (adv)
rest|aid; help; support (n)
ribin; rimin|edged; striped (adj)
rib|border; fringe; line; shore; stripe (n)
rictha-|to confuse; to contort; to disarrange; to twist; to upset (vb)
rig-|to contort; to twist (vb)
rig|a snarl; a sneer (n)
rim (Language and Music)|border; fringe; line; stripe (n)
rim (Spatial Relations)|calm; quietness (n)
rim(in)|calm; peaceful; quiet (adj)
rimp|shred; slice; sliver (n)
rin-|to come back; to do again; to revolve (vb)
rinc|circular; disc; rondure (adj n)
ring|cold; cool (adj)
rodrin|cylindrical (adj)
rod|stem; tube (n)
rogli|little pipe (especially musical) (n)
ront|steep (adj)
rosta|ascent; uprising (n)
rost|ascent; hill side; slope (n)
ruf-|to tear (vb)
ruim|mysterious (adj)
ruitha-|to whisper (vb)
rusg|oatcake (n)
rust|cultivation; inhabitation; tillage (n)
ruthla|oaten (adj)
ruthli|oats (n)
rî|a sudden breeze or cold breath; cool; coolness (n)
rô-|to endure; to remain; to stand; to stay (vb)
rôg|doughty; strong (adj)
rôl|a song (n)
rôn (Body Parts and Functions)|liver (n)
rôn (Possession and Trade)|clasp; embrace (n)
rôs (Time)|endurance; gentleness; meekness (n)
rôs; rûs; ômgulwen|patience (n)
rôs|embrace (n)
rôtha-|to embrace (vb)
rô|docile; enduring; gentle; long suffering; quiet (adj)
rûdin|cavernous (adj)
rûm|mystery (n)
rûs|endurance; long suffering (n)
rûtha-|to remain (vb)
sabli|shovel; spade (n)
sachwen; saiwen|midsummer (n)
sactha-|to fight (vb)
sad-|to care; to consider; to esteem; to reck; to show respect for; to value (vb)
sagruin|ferocious; full of hate towards (adj)
sagruith; thanc|hatred (n)
saib|boot (n)
saichwed; sairin|fiery (adj)
saictha-; saitha-|to have hunger (vb)
saidhon|noon (n)
saigri|famine; hunger (great) (n)
saig|hungry (adj)
sair; urin|hot (adj)
saith|hunger (n)
salca-|to scythe or mow (vb)
salc|ensilage; green cut grass (n)
salfinc|spoon (n)
salf|basin; bowl (n)
salta|a game (n)
salum|*harp (n)
sam-|to adjust; to arrange; to put together; to reconcile (vb)
sam; samin|arranged; done; settled (adj)
samri|arrangement (n)
samtha-|to settle a matter legally (vb)
sana-|can; to craft or skill; to have knowledge; to know how to (vb)
sanc|jag (n)
santha-|to declare; to make known or clear; to point out; to show (vb)
santhi|experience (in) or skill (in); knowledge (n)
saptha-|to bite into (vb)
sara-|to ait (vb)
sard|table (n)
sarn|a stone (n)
sarofarn|the seashore (n)
saros|sea; surf (n)
sarothod; sarothwad|seafarer; voyager; (lit.) foreigner from overseas (n)
saroth|sea (n)
sath|ten (cardinal)
saul|great wind (n)
saur|wild dog (n)
sauth|a hole; tunnel (n)
sectha-|to aim at (vb)
secthadron; segron|midmost (adj)
sectha|centre (n adj)
segrin|middle (adj)
seg|middle point (n)
sempios|holly; (lit.) *red-berry (n)
sentha|russet (adj)
sen|brown-red; russet (adj)
seth; suib; tarf; tarp; thisc|dry (adj)
sethra-|to dry up (vb)
si(n)-|granddaughter of (pref)
sibra-|to whimper (vb)
sigweth|lamentation; weeping (n)
sigwithiel|lamentation; weeping willow (n)
silc|flint (n)
sinc|metal (n)
singrin|salt (adj)
sing|salt (n)
sinta-|to sparkle (vb)
sion|grandson (n)
siptha-; tif-|to whistle (vb)
siriol|flowing; fluent; mellifluous (adj)
sirp|straw (n)
sitha (adj)|this (adj)
sitha (n)|fly (n)
sithagong; sithaling|dragonfly (n)
sithaling|fly snake (n)
soctha-|to give to drink; to quench (vb)
socthor; sogli; sogridâr|a drinking-horn (n)
sog-|to drink (vb)
soros|ash-tree (n)
sovriel|purification (religious) (n)
sovri|cleansing (n)
sui; suil|daughter (n)
suitha-|to dry; to wipe (vb)
suithlas|tea (n)
suithli|towel (n)
suith|draught; drink (n)
sulus|air-spirit (n)
suss|hush; sudden quiet; hush! (n interj)
suthra-|to hush; to make or go quiet (vb)
sâd|riches; wealth (n)
sâ|fire (n)
sî|bead; small gem or pearl (n)
sô-|to bathe; to wash clean (vb)
sôm|custom; law; rule (n)
sôn (adj)|pure (adj)
sôn (n)|craft (n)
sôr|billow; wave (n)
sûr|long; trailing (adj)
sûtha-|to blow (of wind) (vb)
sû|noise of wind (n)
tab-|to cut to shape; to fashion (vb)
tag-|to construct; to fix; to make firm (vb)
taglos; tagros; ûr; ŷr|smith (n)
tair|gaze; guard; look-out; regard; watch (n)
taitha-|to teach (vb)
taith|a letter; mark; sign (n)
talc|upright (adj)
taleg; taloth|(foot)path (n)
talgrin(d)|ankle (n)
talp (Physical Acts and Materials)|prop; support (n)
talpa-|to buttress up; to prop up (vb)
talpon|a slender pillar (n)
talp|glass (n)
taltha|base; foot (of things); pedestal; pediment (n)
tambin|of copper (adj)
tambos|cauldron (n)
tambrin|like copper (adj)
tam|copper (n)
tanc|firm; settled; steady (adj)
tand|enclosure; garden (n)
tanga-; tantha-; tusta-|to set light to (vb)
tangar; tangor|hearthgrate (n)
tanta|a dance (n)
tan|firewood (n)
tarc|root (especially edible roots) (n)
tarf; tarp|stale (adj)
tarnon|porter (n)
tarn|gate (n)
taru (adj)|horned (adj)
taru (n)|cross; crossing (n)
tast (Quantity and Number)|amount; total (n)
tast (Spatial Relations)|border; fringe (n)
tath-|to count (vb)
tathna-|to count; to number; to reckon (vb)
tathn|number (n)
tathrin|willow (n)
taudha|phosphorous (n)
tauga|convenient; fitting; suitable (adj)
taul|pillar (n)
taura|powerful (adj)
taur|dense wood or forest (n)
taus|shaggy (adj)
tavor|wood fay (n)
tavros|wooded land (n)
teb|neb; nib; nose (n)
tectha-|to write (vb)
tefla-|to scorn (vb)
teflarol; tefra|abject; mean (adj)
teglath|feast year; noted year; special year (n)
teglos|awning (n)
teg|dot; spot (n)
teilian|mockery (n)
teilin|stunt or jest (n)
teld; telm; telthon; telum|roof (n)
telfod|final end; the very last (n)
teloth|canopy; roofing; shelter (n)
teltha-|to cover in (vb)
telthion; telwed|protected; roofed in; sheltered (adj)
telt|lid (n)
telu-|to close; to end; to finish (vb)
telu|end (n)
tenc|nib; pen (n)
tentha-|to feel with the feet; to walk on tiptoe (vb)
tent|toe (n)
teraith|destruction; ruin; waste (n)
tercha-; tertha-|to destroy; to devour (vb)
tess(il)|little flower (n)
teth; thed|bud (n)
tethla-|to bud (vb)
tethlas|petal; *(lit.) bud-leaf (n)
thaf; thafwen|hay (n)
thafwen|harvest (n)
thaigra|choice; elegant; select (adj)
thaig|choice (n)
thairin|magic (adj)
tham|chamber; room (n)
thanc|loathing (n)
thang|a crowd; crush (n)
thar-|to saw (up) (vb)
tharm; thram|saw (n)
thasc|shaven (adj)
thasgim|*razor; (lit.) shave-blade (n)
thastril|razor (n)
thast|shaving (n)
thas|thy (pron)
thathri|sawdust; shavings (n)
thegin|chief; leading (adj)
thegla|first lights of dawn (n)
thegor|chief (n)
thegra|first; foremost (adj)
ther-|to tie (vb)
theres|ribbon; tie (n)
thest|a sight; sight (sense of); vision (n)
thibindon|flute-playing (n)
thibinweg|piper (n)
thibin|flute (n)
thig-|to choose; to pick out; to select (vb)
thimli|piccolo; whistle (n)
thimpa-|to play a flute or whistle (vb)
thimpion|a piper (n)
thimp|the stop on a flute (n)
thim|milk (after separation) (n)
thin-; thinta-|to skim (vb)
thinc|a bunch; a choice; a pick; posy (n)
thisc|waterless (adj)
thisin|parched; withered (adj)
thista-|to dry up (tr.) (vb)
thithrin|dusty (adj)
thith|dust (n)
thlib-|to lap up; to suck; to sup (vb)
thlibri|soup (n)
thlid-|to discriminate; to sieve; to sift; to sort out (vb)
thlidhra|gracile; ‘willowy’ (adj)
thlid|sieve (n)
thlim|kind; race; sort; species (n)
thlind|fine (adj)
thloth|breakers; surf; waves (n)
thol-|to roll (vb)
tholos (Motion and Transportation)|axle of a wheel (n)
tholos|sea-marge (n)
thothri|black magic (n)
thoth|evil enchantment of magic; spell (n)
thrad|a plank; board; shelf (n)
thred|knot (n)
thribin|lean (adj)
thripthon|stem (n)
thrond|(eyrie); pinnacle (n)
throthriol|wizardous (n)
throth|beat (of oars, wings, etc.) (n)
