(a)cainu-; vesta-|to wed (vb)
nereaine|stoutness of heart (n)
nerea|brave; manly; stout (adj)
nerevoite|male; manly (adj)
nermi|fay of the meads; field spirit (n)
nertu; túre|strength (n)
ner|husband; man (n)
neríte|*manly (adj)
nes (nest-)|feed; fodder (n)
nese-; nesta-|to feed (vb)
nese-|to give to feed; to graze; to pasture (vb)
nessele|pasturage; pasture (n)
nesse|(green) fodder; grass; herb (n)
nesta|(act of) feeding (n)
nes|land; valley (n)
nete- [ñ-]|to get (vb)
ne|that (conj)
nicte-|to cleanse; to whiten (vb)
nienaite; nyenya|tearful (adj)
nieninquea|like a snowdrop (adj)
nieninque|(lit.) white tear; snowdrop (n)
nier (nies-)|(honey) bee (n)
nies (niess-)|honey bee (n)
nie|tear (n)
nin (nind-)|blue (colour); blue green; blueness (n)
nindon; ningon (nindond-)|lapis lazuli (n)
ninqua-|to shine white (vb)
ninqueru|male personified form of white (n)
ninya|*my; 1st sg. possessive emphatic (adj)
nion|bee (n)
niqu(il)issea|*snowy (adj)
niquetil; niquetilde (niqetild-)|snow cap (n)
niquileninque|snow-white (adj)
niquilis|fine snow (n)
niquissea|snowy (adj)
ni|1st sg. pronoun; I (pron)
no (adv)|next (of time); upon (adv)
no; nu|under (prep)
nohto-|to stick out (vb)
noldare; nolpa|mole (n)
noldova|belonging to gnomes (adj)
noldovice|after the gnomes’ way; like a gnome (adj)
nolmenoite|audacious (adj)
nolme|audacity (n)
nolmo; sapsa; sapta|pit (n)
nolo-|to dare (vb)
noloite|daring (adj)
nolwa|bold; brave (adj)
nond(in)a|tomorrow (adj)
nonnúora; nuanwa; nuononda|day after tomorrow (n)
nor; orome (norn-)|oak (n)
norca|servant; slave; thrall (n)
nornea|of oak (adj)
nornelassea|having oak-leaves (adj)
norne|oak (tree); oak in general (n)
nornoro-|to run on; to run smoothly and hum (vb)
norolinde|tripping lightly (adj)
norolle|cart (n)
nos; notso|damp (n)
nosse; rendi; resta|kin (n)
nosta-|to cause; to give birth to (vb)
nostale|kind; nature; species (n)
nosta|birth; birthday (n)
noswa|damp (of weather) (adj)
noswe|a wet wind (SW) (n)
nos|wetness (n)
note (notsi-)|drizzle (n)
notsiva|drizzling (adj)
numenda-|to get low (of the Sun) (vb)
numenda; númea|western (adj)
nungo|cold (in the nose or head) (n)
nungwe|cold in the nose (n)
nupte|a sniff (n)
nur (nurr-)|complaint; growl (n)
nurru|growl (n)
nus (nust-)|smell (n)
nuste|sense of smell (n)
nuvu-|to smell; to sniff at (vb)
nya-|*my; 1st sg. possessive (pref)
nyan(do)|another; other (of many) (n)
nyanda|nursery story or rhyme (n)
nyanya|another; other (of many) (adj)
nyar (nyard-)|saying; tale (n)
nyara-|to relate; to tell (vb)
nyara|tale (n)
nyarie|fable; legend; story (n)
nyas (nyast-)|line; mark; score; scratch (n)
nyasa-|to scratch (vb)
nyata-|to talk idly (vb)
nyatl|gossip; idle talk (n)
nyelecca|onyx (n)
nyelet (nyeleks-)|nail (of the finger) (n)
nyenya|plaintive; querulous (adj)
nyenyele; nyenyesse|lament; lamentation; weeping (n)
nyenye|weeping (n)
nyor-; nyoro-; pelte-; rava-; yuru-|to run (vb)
nyéna-|to lament (vb)
nyéni|she-goat (n)
nyére; piquis(se)|grief (n)
nyé|bleat; cry of goat or sheep (n)
ná-|to exist (vb)
násea|loathsome (adj)
náse|loathing (n)
náve|perspicacity; sagacity; shrewdness (n)
ná|so; yes (it is) (interj)
nénu|yellow water lily (n)
nérinwa|*mannish (adj)
nímo|1st sg. pronoun; I (emphatic) (pron)
nó-|to be born; to become (vb)
nóla|(round) hill; summit; top (only used of mountains etc.) (n)
nóleme|deep lore; wisdom (n)
nóre (nóri-)|(native) land; country; family; nation (n)
nóte; rin|dew (n)
nóva|ahead; foremost; leading (adj)
nóvo|*before (adv)
nó|after (of place); after (only of time); behind; than (prep)
númea|in the west (adj)
númeta-|to get low (of the Sun); to go down in the west (vb)
núme|west (n)
nún|beneath (adv)
núora|future; to be; tomorrow’s (adj)
núru-|to carp; to growl (of dogs); to grumble (vb)
núsima|*inclined (adj)
núta-|to sink; to stoop (vb)
o-; u-|3rd sg. masc. pronoun; he (pref)
oa; toa|wool (n)
oalle|blanket (n)
oalúme|shearing time (n)
oar (oarn-)|child of the sea; merchild (n)
oara|of wool (adj)
oaris; oarwen; ówen (oarits-)|merchild; mermaid (n)
occainen; otsocainen|seventy (cardinal)
occaiya|seventeenth (ordinal)
occa|knee (n)
occea|seventeen (cardinal)
ohta-; rama-; yama-; óta-|to shout (vb)
ohta·caro|hostile unfriendly act(ion); warlike deed (n)
ohte (oksi-)|egg (n)
oi; poroce|hen (n)
oica; oiswa|poor (adj)
oilima; oilimaite; telwa; telúmea|last (adj)
oilimaite|final; ultimate (adj)
oilin|*last (adj)
oinalis (oinaliss-)|ointment (n)
oine|unguent (n)
oiqua; oiwa; silc(in)a; silwa|glossy (adj)
oise; oite|poverty (n)
oista-|to bereave (vb)
oito-|to lack (vb)
oiwie|gloss; glossiness (n)
olda; olt; olwa|much (adj)
olde|intensive; much; very (adv)
oldo(s)|more (adv)
olet (olek-)|forearm (n)
ole|intensive; much (adv)
olirdea; ulird(e)a|(lit.) without bowels; pitiless (adj)
ollo|seaward precipice (n)
olme (olmi-)|apparition; emanation; spirit (n)
olorda|dreamy; drowsy; in dreams (adj)
olorwa|in dreams (adj)
olpe|bottle (n)
olta-; velitya-|to magnify (vb)
olta-|to extol; to praise (vb)
olto-|to increase; to multiply (vb)
olwe(n)|branch; stick; wand (n)
olwea|stinking (adj)
olwen|thirty six (cardinal)
olwe|stink (n)
olya|much (adv)
olórea|dreamlike; dreamy (adj)
omanaste|omnipresence (n)
omarimbi; omarimni|everywhere about (adv)
oma|everywhere (n)
omba|hard (*as stone) (adj)
omo-|omni- (pref)
omohére|almighty; omnipotence (n adj)
omotengwe; omotunto|omniscience (n)
omotúre; ontúre|almighty; omnipotence (n)
ompanai; ompanu; ompinasta|everyone (n)
ompa|all; each; every (adj)
on(d)|(a) stone (n)
on(t) (om-)|everything (n)
ondole|stone monument; stone-cairn (n)
ongo-|to it pains me (imp.) (vb)
onin|anvil (n)
onwa|stony (adj)
opole; opolinte|fawn; young deer (n)
orc|demon; ogre (n)
orda; orwa; tahóra; tára|lofty (adj)
ordie|height; loftiness (n)
ore (ori-)|grain (n)
oricon|heather (n)
orivaine|pea; peapod (a boat); pod; seed pod (n)
orme (Physical World)|crest; hilltop; summit (n)
orme; orne|tree (n)
ormin; quindl|top (n)
oro-; róna-|to rise (vb)
oroman|wood-spirit (n)
oron (orond-)|bush (n)
oronta|steep (adj)
oronte|sun-rise (n)
oronto|East; rising (of the sun) (n)
orosta (Time)|haste; impetus; rash courage; speed (n)
orosta; rosta (Motion and Transportation)|ascension (n)
orquin(di)|ogress (n)
orva|apple (n)
orya-|to sow (vb)
oryat (oryap-)|badger (n)
or|on; upon (prep)
os (ost-)|cottage (n)
ostar|township (n)
osta|homestead (n)
osto|gates of the Sun (n)
oswe (Body Parts and Functions)|hip (n)
oswe (Emotion)|(evil) phantom; ghost; horror; terror (n)
otoce; otocotta|beating of breasts; wailing (n)
otsan; otsola|week (n)
otsollume|*seven times (adv)
otsondóra|*seven million (cardinal)
otsondóre|*septillion (cardinal)
otsonto; otsontya; otsotto; otsottya|one seventh (fraction)
otso|seven (cardinal)
otto-|to knock (vb)
otwen|84 (cardinal)
otya|seventh (ordinal)
o|across; along; over (prep)
pa-; tua-|*their; 3rd pl. masc. possessive (pref)
pac-|to apply; to attach (vb)
paimene|cruelty; vengefulness; vindictiveness (n)
paimenta-; paimeta-|to exact or inflict a penalty; to punish (vb)
paimesta|chastisement (n)
paime|infliction; penalty; punishment; vengeance taken (n)
paitya-|to repay; to requite (vb)
paiyan|oration (n)
pal-; quasa-|to shake (vb)
palanca; paluva; palanta; palwa|even; flat; level (adj)
palante; palo; palume|plain (n)
palapapte|*sycamore (n)
palasar (palasard-)|great table (n)
palassea|foaming (of the sea) (adj)
palasse|splashing (n)
palastor; solor; solosse|surf (n)
palaswin (palaswing-)|wave-crest (n)
palasya-|to foam; to splash (vb)
palava-|to stray; to wander (vb)
palis(te)|green; lawn; sward (n)
palla|paunch (n)
palme|a shaking (n)
palo (palu-)|plane surface; the flat (n)
palta|shelf (n)
paltyalda|palm tree (n)
paltya|flat of hand; palm of hand (n)
palucta; sarno|table (n)
palwa-|to make wander (vb)
paláva|wandering (adj)
pampil(e)a|tremulous (adj)
pampile|trembling (n)
pampine|earthquake; tremor (n)
panin|concerted; definite; deliberate; meant; planned; prepense (adj)
panna|arrangement; book; grouping (n)
pano|arrangement; course; plan; series (n)
panta (adj)|spreading (adj)
panta (n)|board (n)
panta- (Spatial Relations)|to spread; to unfold (vb)
pantie|opening; revealing; unfolding (n)
panya-|to arrange; to intend; to mean; to plan (vb)
panyara|?setting (adj)
papa-|to tremble (vb)
paptaquelasta|*leaf dying; fall (n)
papta|*leaf (n)
par-; rara-|to peel (vb)
parma|bark; book; parchment; writings (n)
pat (papt-)|small leaf (n)
pata-|to rap; to tap (of feet) (vb)
patacan; patace|clatter (n)
patacanda|clattering; rattling (adj)
patacan|rattling (n)
patacatapaca; patactatapacta|rat-a-tat (n)
patacta-|to clatter (vb)
patinca|slipper (n)
patl|leaf (esp. of book) (n)
patsima|wide open (adj)
peanta-|to enjoin; to give instructions to; to give into one’s hands (vb)
pea|scorn (n)
pecte (peksi-)|cox-comb; plume (n)
pelco|leg (n)
pele-|to fence in; to pen in; to surround (vb)
pelecco (pelekku-)|axe (n)
pelecta-; tyacta-|to hew (vb)
peler; tanda; tar|fence (n)
pelin|fenced in; pent (adj)
peltas (peltaks-)|pivot (n)
pelto|hedge; hedged field (n)
pen; ter|through (prep)
penanwa|backing; present; standing by; supporting (adj)
penasta|backing; being near at hand; support (n)
penda (adj)|*sloping (adj)
penda; ranta (n)|bridge (n)
penta|beak (probably of such birds as woodpeckers); nose (n)
penwa|over; passed; past (adj)
peque-|to card wool; to comb; to tease (vb)
pequen; pequil|comb (n)
pere-|to endure; to experience; to get to understand; to go through; to last; to pass; to penetrate; to pierce; to undergo (vb)
peren (perend-)|enduring; lasting (adj)
perendie|an agelong period; endurance (n)
perenwa|continual; enduring; unceasing (adj)
perequa|crooked (adj)
perma|aperture; pass; passage (n)
perpere-|to endure to end; to suffer great anguish (vb)
perqua; ulca|wrong (adj)
pete-|to knock; to strike (vb)
pi(o)pin|fruit of hawthorns; haws (n)
pi(pi)nectar|whitethorn (n)
pic-|to blink (vb)
piec; piet; pirin (piekk-)|pin (n)
piecta-; pietya-|to pin-prick (vb)
piexin|brooch (n)
pie|berry (n)
pihye|juice; sap (n)
pilin (pilind-)|arrow; feather (n)
pilinquasilla|nodding plume (n)
pilintele|plumage (n)
pilmo; pilu|robber (n)
pilna; quasil|arrow (n)
pilt (pilty-)|blow; box on ear; cuff (n)
pilty-|to strike (esp. with flat hand) (vb)
pilucca|stealthy (adj)
pilwe|robbery; theft (n)
pimpilin (pimpilind-)|hanging tail (n)
pimpina; sóra|trailing (adj)
pin; pinc|little thing; mite (n)
pingwa|rich (of soil) (adj)
pinque; sild(r)a (pinqi-)|slender (adj)
pinquisil(da) (pinqisild-)|(slender and) tapering (adj)
pint (pimp-)|tail (n)
piosenna|holly (n)
pio|berry; plum (n)
pipiri-|to twirl; to twizzle (vb)
pipte-|to fall (of folds or clusters); to hang; to trail (vb)
piquesta; píquele|bitterness (n)
piri-|to spin; to turn (vb)
pirimbe|circle; ring (n)
pirin (pirind-)|thin rod (n)
pirindea; toloise|cylindrical (adj)
pirinumbe|cylinder (hollow) (n)
piruce; pirute|pirouetting; swirl; twisting (n)
pirúc(end)ea|pirouetting; whirling lightly (adj)
pist-; retye-|to spit (vb)
piucca|blackberry (n)
piule|overfat; overfed; spoilt (adj)
piute-|to batten; to flourish; to grow fat (vb)
piu|calf of leg (n)
poar; póme|north (n)
poco|bag (n)
poica|tidy (adj)
poime (poimi-)|soap (n)
poimine|lather; mermaid (n)
poita-; sovallu-; sovalna-|to cleanse (vb)
poitya-|to make clean; to straighten; to tidy (vb)
polca|pig (n)
polda|mighty; powerful (adj)
poldor|might; physical strength (n)
poldórea|muscular; powerful (adj)
pole (poli-)|etc.); flour; grain (unground kernels of oats; oats; wheat (n)
polenta|oatmeal (n)
polesse|porridge (n)
polina; poliva|oaten (adj)
polisimpe|Pan-pipes; shepherd’s pipe (n)
polonde|alder (n)
polu; polúne|kernel (n)
ponte (ponti-)|back; rear (n)
porocelle|chicken (n)
poroce|barn fowl (n)
pote (potsi-)|after; behind (of place) (adv)
potsinallume|a second time (adv)
potsina|back; following; hinder; next; rear; rearward; second (adj)
potsi|afterwards (adv)
pucta-|*to copulate (vb)
pucta; puhta|*sex; coitus (n)
puita-|to beget (vb)
pulca; púle|trunk (n)
pulco|bole of tree; trunk (n)
pulme; tolos; tupse|knob; lump (n)
pulpa; pulwa|bulky (adj)
pulque; vasa; vite|juice (n)
pulu-|to swell (intr.) (vb)
pumpole|bubble; merboy (n)
pumpo|bladder; blister; bubble (n)
puntl|*penis; mem. vir. (n)
pur (purn-)|a fire; an artificial fire (n)
purma|blaze; flame (n)
puru-|to burn (vb)
purya-|to set fire to (vb)
pus-|to puff; to snort (vb)
pus; sist(e); velet (pust-)|boil (n)
puse; pusilla|puff (n)
pusilla|breeze; whiff (n)
pusta-; sur-|to blow (vb)
pusulpe|balloon; gas-bag (n)
pusulta-|to puff out with one’s breath (vb)
putse; tetta (putsi-)|baby (n)
puyando|parent (n)
pé|the (closed) mouth; the two lips (n)
píwe|fatness; goodness; richness (n)
pí|dot; mote; speck; spot (n)
pómear|norseman; northern man (n)
pómea|northern (adj)
quaina|wailing (adj)
qual-|to die (vb)
qualin|dying (adj)
qualma; qualúmea|deadly (adj)
qualme; qualume; quelme; urdu|death (n)
qualmea|deathly (adj)
qualta|girdled; girt (adj)
qualume (adj)|heaving (adj)
quama-|to be ill; to vomit (vb)
quamba|sick; unwell (adj)
quampa-|to hawk goods (vb)
quampale|chaffering (n)
quampa|peddlar-goods (n)
quampo|huckster; pedlar (n)
quanda|all (adj)
quanta-|to complete; to fill (vb)
quanta|all; full (adj)
quap-|to flutter; to throb (vb)
quapa-|to bargain; to barter; to chaffer; to swap (vb)
quapta- (Possession and Trade)|to exchange (vb)
quapta-; quasa- (Motion and Transportation)|to flap (vb)
quaptale|exchange (n)
quapta|bargain; deal (n)
quaqua-|to cackle; to quack; to squawk (vb)
quarca|naughty; perverse (adj)
quasa-|to nod; to rustle (intr.) (vb)
quasilla|nodding spray; plume (n)
quasil|arrow-feather (n)
quea-|*our; 1st pl. inclusive possessive (pref)
quele-|to fade; to perish (vb)
quelecte|carcase (n)
queletya-|to perish (vb)
quelexie|corruption; rot (n)
quelexima|corrupt; rotten (adj)
quelme|end; perdition; ruin; utter end (n)
quelmo|1st pl. inclusive pronoun; we (emphatic) (pron)
quelqua; querca|throat (n)
quelu-|to well up (vb)
quelume|origin; source (n)
queluva|original (adj)
quelu|source; spring; well (n)
quent; quetta|word (n)
quentea|verbal (adj)
quentele|expression; phrase; sentence; wording (n)
quentima|*tale (n)
quet-|to speak; to talk (vb)
quetl|speech; talk (n)
quets(im)a|able to talk; glib; good at expression; having speech (adj)
que|any; we (inclusive) (pron)
quie|calm at sea (adj)
quildare|bat (n)
quilda|hushed; quiet; still (adj)
quilde; quille|hush; quiet (n)
quildi-|to be quiet; to rest; to stay quiet (vb)
quilea|-hued; coloured (adj)
quile|colour; hue (n)
quilinoite|broidered (adj)
quilin|adorned; bright-coloured; embroidered (adj)
quille; quillinin (qilli-)|blue-bell (n)
quiltasse|(em)broidery (n)
quilta|belt; girdle (n)
quilti-|to encircle; to gird (vb)
quilya-|to adorn; to colour; to embellish (vb)
quim(en)ea|feminine (adj)
quimelle|little woman (n)
quimenoite; quimíte (qimenoitsi-)|female; feminine (adj)
quin (qim-)|female (n)
quinde; quinne|(concr.) women as a whole; femininity; womanliness (n)
quindelis; quindestin|nun (n)
quindesta|convent (n)
quindl|a spindle (n)
quinga|bow (n)
quingi-|to etc.); to harps; to thrum (of strings; to twang (vb)
quinqua|drooping; languid (adj)
quinquelea|languorous (adj)
quinquele|languor (n)
quinquenna|Solomon’s-seal (n)
quinque|this (n)
quint (qinty-)|loop; stitch in knitting (n)
quintl; salma|lyre (n)
quinya|female (adj)
quiqui-|to droop; to hang (vb)
quiquilla|Lily of the Valley (n)
quiri-; quirna- (Clothing and Adornment)|to stir (make spin) (vb)
quiri-; quirquisi-; quisquiri- (Spatial Relations)|to murmur (vb)
quirin|wheel (n)
quirme|cream (n)
quirquirinda|murmuring (adj)
quirquirinde|murmuring (n)
quirquisi-; quisquiri-|to rustle (vb)
quisi-|to whisper (vb)
quitima|for knitting (adj)
quitin|joined tight; knitted (adj)
quity-|to knit (vb)
quolda; quolina|ill (adj)
quolima|ailing; sickly (adj)
quolimo|invalid (n)
quolo-|to ail (vb)
quolu|disease (n)
quolúva|pestilent; pestilential (adj)
quolúvie|pestilence (n)
quonda|choking smog; smoke (n)
quorin|choked; drowned; speechless (adj)
quoro-|to (esp.) drown; to choke; to suffocate (vb)
quosta-|to choke; to drown (trans.) (vb)
quoto-|to account; to call up; to consider; to count up; to reckon; to think (vb)
quotta; tanta|number (n)
quotta|account; sum; total (n)
quámea|sick (adj)
quáme|nausea (n)
quára|ward; watch (n)
quárele|anxiety; watchfulness (n)
quá|duck (n)
químar|phantom (n)
quínea|squeaking (adj)
quíne|squeaking (n)
quíni-|to speak high; to squeak (vb)
quíva|awake (adj)
quívie|awakening (n)
racta- (Physical Acts and Materials)|to reach; to stretch out (vb)
racta-; soracta- (Spatial Relations)|to amass; to collect; to hoard; to pile (vb)
racta; ranco; rá|arm (n)
racte|heap; pile (n)
rama-|to blare; to bray; to sound loud (vb)
ramba-|to walk (vb)
rambe; ranwe (Language and Music)|blare (n)
rambe; rauna (Warfare and Hunting)|booty; prey (n)
ran (ram-)|noise (n)
ranca; rusta|broken (adj)
randa|bark; circumference; outer ring; peel; rind (n)
ranta (Motion and Transportation)|arch (n)
ranta (Spatial Relations)|part (n)
rara-|to scrape; to strip (vb)
rasta|file; scraper (n)
rato|soon (adv)
rau (ráv-)|lion (n)
rauca|swift (adj)
rauce|demon (n)
rauci|fiend (n)
rauco|ravening; rushing (adj)
raume|course; running (n)
rausima|*hunted (adj)
rausime|vermin (n)
raustea|of prey (adj)
rauste|hunting; preying; the hunt (n)
rauta-|to chase; to exterminate; to extirpate; to hunt; to pursue (vb)
rava-|to chase (vb)
ravenne|she-lion (n)
ravin|fierce; savage (of beasts) (adj)
recca; rent|spittle (n)
renda|of the same kin or clan; related (adj)
rendi|*kinship; clan; kindred (n)
rendo; réro|kinsman (n)
rent (renty-)|saliva (n)
resse|kinswoman (n)
resta-|to aid; to come to aid of; to rescue; to save (vb)
resta|clan; kindred; kinship; support (n)
retima|contemptible; despicable (adj)
rim-|to border on; to lie at edge; to neighbour (vb)
rimbe|brim; edge; lip (n)
rimbi; rimni|all around; around (adv)
rimp(in)a|striped (adj)
rimpe (rimpi-)|strip; stripe (n)
rimu|outskirts (n)
rin; rinco (rind-)|circle (n)
rincalenda|anniversary (n)
rinci|orbed (adj)
rinco|disc; orb (n)
rincu|orb of Moon (n)
ringa|chilly; cold; damp (adj)
ringwe|cold; frost; rime (n)
rinqua|circular; recurrent; revolving returning (adj)
ripta-|to cut in strips; to flay; to flog; to mark in parallel lines; to stripe; to tear up (vb)
riqui-|to twist; to wrench (vb)
rista-|to plant (vb)
ristale|sowing time (n)
ristar|sower (n)
rista|plant; seedling; shoot (sowing) (n)
roa|wild beast (n)
ronda|cavern (n)
ronta; rotwa; satwa|hollow (adj)
rosta-|*to rise (vb)
rotl|grot; hollow (n)
rotse|pipe; tube (n)
ro|*on (prep)
rua; rúva|steady; still; tranquil (adj)
ructa-|to belch smoke; to cause to smoke; to smoke at a pipe; to spout smoke (vb)
rucu-|to reek; to smoke; to steam (vb)
rucu|reek; smoke (n)
rue|remaining; steadfastness; stillness (n)
ruin|peace (n)
rungwa|solid; stiff (adj)
rámaite; vilda|winged (adj)
rámandea|long-wing(ed) (adj)
rámavoite|having wings; winged (adj)
ráma|arm; wing (n)
ráqua|rough (adj)
ríma|furrow; line of seeds planted; row; series (n)
rímen; rípe; tanda|border (n)
rímenoite|bordering; neighboring (adj)
rína|scattered; sown (adj suf)
rípe|bank of stream; edging of grass; line; margin (n)
rísimande|passim (adv)
rísima|scattered; ubiquitous; universal (adj)
róma|(mountain) slope; alp; mountain side; upward path (n)
róna-|to arise; to ascend (vb)
róta|hollow cylinder; tube (n)
rú (Emotion)|faith; steadfastness; trustiness (n)
rúse (rúsi-)|weary (adj)
rúvina|burst (adj)
rúya|steadfast; unmoved (adj)
sa; ta|that (there) (pron)
saca-|to look for; to pursue; to search (vb)
sahta- (Physical Acts and Materials)|to split (vb)
sahta- (Sense Perception)|to it is hot (vb)
saice; saiste (saiki-)|hunger (n)
saicelea|famished (adj)
saicele|famine (n)
saicelta-; saitya-|to starve (vb)
saina|smooth (adj)
saipo|boot (n)
saiqua; saisa|hungry (adj)
sairina|magic (adj)
sairu|magical (adj)
saita-|to be hungry (impersonal) (vb)
saiwa-|?to be hot (vb)
saiwali|summer (n)
saiwa|hot (adj)
sal-|?to remain or remove (vb)
salamba|echoing; resounding; throbbing; twanging (adj)
salambe|twanging echo (n)
salaquintl; salaquíne|(lit.) thrumsqueak-er; violin (n)
salca|scythe (n)
salce; salci|grass (n)
salistina|blessed (adj)
salma|small harp (n)
salme|harp-playing; music of lyres (n)
salpa-|to sample; to sip; to take a sup of (vb)
salpa; tolpo|bowl (n)
salque|grass; long mowing grass (n)
salquin|viola (n)
salumbe|harping; music (n)
sambe (samb-)|chamber; room (n)
samin (samind-)|silk (n)
saminda; saminwa|silken (adj)
sampa|spade (n)
sampe; sampo|hollow (n)
san (samb-)|dwelling; hall (n)
sana|day (24 hours) (n)
sanca (Emotion)|fierce hatred; hate (n)
sanca (Physical Acts and Materials)|jab; rend (n)
sance|hateful (adj)
sanda; tanya|that (adj)
sanga- (Physical Acts and Materials)|to compress; to gather; to pack tight; to press (vb)
sanga-; sangya-; sisi- (Physical World)|to scorch (vb)
sanga|crowd; throng; tight mass (n)
sangwa|dense; hard; thick; tough (adj)
santa|beloved (adj)
santo|that (pron)
san|at that time; then (conj adv)
saquila|fire-red; scarlet (adj)
sar-; tece-; tecta-|to write (vb)
sara-|to saw (vb)
saramór|*writing-ink (n)
sarapenda|wood-bridge (n)
sarat (sarakt-)|plank (n)
saratwa|made of planks (adj)
sarco (sarku-)|body; flesh; living flesh (n)
sarco|elder [tree] (n)
sarcuva|bodily; corporeal (adj)
sarma|saw (n)
sarqua|fleshy (adj)
sastya|galled; sore (adj)
sat; tunda (sapt-)|hole (n)
satl|enquiry; search (n)
satta; uivi|both (adj)
satto|both; the two (adj)
satwa|dug-out; excavated (adj)
saule|cubs; etc.); litter (of pups (n)
saune|small pool (n)
sausa|bath water; hot water (n)
savarda; savarna|pack (of dogs; wolves) (n)
savar|jackal; wild dog (n)
saya-|to be hungry (vb)
se; sen|as; in manner of; like (prep)
sehta-; tunta-; véla|to see (vb)
sehte (sehti-)|bead; eyeball; pupil; †eye (n)
selca; tunce|bright (adj)
senda|like; similar; something like (adj)
senge|keen of sight; observant; sagacious (adj)
senna|brown; red-brown (adj)
serin (serind-)|crown; wreath (n)
serindo|crown (n)
serma; tendl|string (n)
serta-|to tie (vb)
sestaine|assimilation; etc.; imitation (n)
sestima|comparable (adj)
sia-|*their; 3rd pl. fem. possessive (pref)
sie|eyesight; pupil of eye; sense of sight (n)
sihta|moist (adj)
silaina; silína|shimmering (adj)
silcesse; yávan|harvest (n)
silci-|to mow; to mow down; to scythe (vb)
silcima|ready for cutting (adj)
silda; silme|gleaming (adj)
sildapinque|tapering (adj)
silde; sui|daughter (n)
sile|glint (of white) (n)
sili-|to gleam; to glint (vb)
silic (siliq-)|flint (n)
siliqu(in)a|flinty (adj)
silma|ray of moonlight (n)
silmea|*of the moon (adj)
silmerána|gleaming moon; silver moon (n)
silme|silver (adj)
silquelossea|with hair like white flowers (adj)
silqueléna|having tresses (adj)
silqueléni|(lit.) long tresses; silver birch (n)
silque|(glossy) hair; tress of hair (n)
silt-|to sift; to sort out; to winnow (vb)
silta|sieve (n)
silte-|to filter (of light); to flicker (vb)
siltina|winnowed (adj)
silwin (silwind-)|birch (n)
simp(in)a|flageolet; flute; pipe (n)
simpeta-|*to pipe (vb)
simpetar|piper (n)
simpise|piping; whistling (n)
sinc (sinq-)|gem; metal; mineral (n)
sindi|river (n)
sine|pale (bluish) green (n adj)
singe; singwe (singi-)|salt (n)
singwa|salt (adj)
sinque??|sparkle as with gems (adj)
sinquele|mine (n)
sinquevoite|gemmed (adj)
sinque|gem; jewel (n)
sinquina|metallic (adj)
sint (sinty-)|a gleam; drop of dew; etc.; glister; spark (n)
sinte (sinti-)|computation; esteem; estimate (n)
sintilis (sintiliss-)|sparkling as of crystal (n)
sintl|crystal (n)
sinty-; tintya-|to sparkle (vb)
sipi-|to pipe (vb)
siqui-|to sigh (vb)
siquile|lament; sighing (n)
siquilisse|lamentation; weeping willow (n)
siripta|slender stem (n)
sirpe|etc.; slender tube; stalk; stem (n)
sisi-|to fry; to singe (vb)
sisin|parched; scorched (adj)
sist(e) (sisty-)|sore; ulcer (n)
sistina|sore; ulcerated (adj)
sito (situ-)|custom; habit (n)
sitsina|accustomed; common; customary; habitual; ordinary; usual (adj)
sitta-|to I am used to; to I do habitually (vb)
situ-|to be accustomed [to] (vb)
si|3rd pl. fem. pronoun; they (pron)
so-|grouped (pref)
soc-; soco-; soqu-; sulp-|to drink (vb)
socto-|to drench; to give to drink (vb)
soile|cleansing (n)
soleste|collection (n)
solme; vinge|wave (n)
solor (solos-)|coast; surge; wavebreak (n)
solosse|surge (n)
solto-|to heave; to surge (up and down); to wave (vb)
sonda; sóra (n)|seat (n)
sonda|chair (n)
sor(ne); soron (Animals)|eagle (n)
soraxa|shingle (n)
soresta|family (n)
sorin (sorind-)|throne (n)
soro-|to sit (vb)
soron (Physical World)|crag; high peak; pinnacle (n)
sorta-|to sit down (vb)
sorto-|to set; to settle (vb)
sovalle; sovasta|bathing (n)
sovallu-; sovalna-|to purify (vb)
sovalwa|cleansing (adj)
soveasse|likelihood; resemblance (n)
sovea|alike (adj)
sucte (suksi-)|gum; resin (n)
suiva|moaning; soughing (adj)
sulca|sticky; viscous (adj)
sulmin|base of a pillar; base of column (n)
sulp-|to lick up; to sip; to sup; to sup up; to taste (vb)
sulpa|soup (n)
sult (sulp-)|sip; taste (n)
sulta-; tulpu-|to support (vb)
suni|*female dog; bitch (n)
sunqua|abysmal; deep; descending; going down; profound (adj)
sunquelaina|fading; falling; setting (adj)
sunquelaine|sunset (n)
sunquelea|setting; westering (adj)
sunquele|falling; setting of heavenly bodies; sinking (n)
sunque|abyss; depth; descent; down-fall; going-down (n)
suqu-|to die down; to fail; to go down (vb)
sura|a clan (n)
surus; súlime; súru; vanwe; vá|wind (n)
surus; súru|air-spirit; gale (n)
susúlima|airy; full of wind; windy (adj)
sutl|gum; sticky matter (n)
sutya-|to sweeten (vb)
suxina|resinous (adj)
sá; tan(y)a; uru|fire (n)
sár(e)a; uruvoite|fiery (adj)
sé|eyeball; pupil (n)
síre|stream (n)
sírima|flowing; liquid (adj)
síva|*their; 3rd pl. fem. possessive emphatic (adj)
sóla|tide (n)
sóma|condition; state (n)
sóra (cardinal)|(vaguely) a very great number (cardinal)
súce|pine or fir; resinous trees (n)
súle|column; pillar (n)
súne|(human) nose (n)
súye|breezes; winds (n)
