(a)larca|rapid; swift (adj)
mórë (móri-) (n)|blackness; dark (n)
móta-|to *work; to labour; to toil (vb)
mótamen|office (n)
mótaro|worker (n)
möa|to must (impersonal) (vb)
múco|*manure; dung; muck; stercus [Latin] (n)
na-súrima|aspirate (n)
na-|plu- (pref)
nac- (Body Parts and Functions)|to bite; to hate; to kill (vb)
nac- (Physical Acts and Materials)|to cut; to hew [into] (vb)
naca-|to bite (vb)
nacil; turo|victor (n)
naham-; tulta-; yal-|to summon (vb)
nahamna|summoned (adj)
nahta (n)|bite (n)
nahta- (Body Parts and Functions)|to slay cruelly (vb)
nahta- (Law and Judgment)|to confine; to oppress (vb)
nahtalë|slaughter (n)
nahtana|*slain (adj)
nahtar|murderer; slayer (n)
nahtë|wounding (n)
nahámë|summons (n)
nahúa; norsa [þ]; orc|giant (n)
nai (adv)|*may it be; be it that; it may be; may it be that; maybe; perhaps; there is a chance or possibility (adv)
nai (particle)|might; remoter possibility (particle)
nai-|abominably; grievously; ill (pref)
naica|bitterly painful or grievous (adj)
naice (naici-); nwalma [ñ-]|pain (n)
naicelëa|agonizing; painful (adj)
naicelë|anguish (n)
naico|goat (n)
naicëa; nwalca [ñ-]; olirdëa; saura [þ]; ulird(e)a|cruel (adj)
naicë|sharp pain (n)
nainaima|lamentable (adj)
nainala|lamenting (adj)
nainalindë|dirge; (lit.) lament-song (n)
nainië|*lamentation; lament (n)
naiquet-|to curse or blaspheme (vb)
naiquéto|blasphemer (n)
naiquë|?sword (n)
naira|dire; dreadful; grievous; horrible; unendurable (adj)
nairenyanna|unfortunately; (lit.) to my sadness (adv)
nairë [ñ-]|space (as a physical dimension) (n)
nairëa|*sad; sorrowful (adj)
nairë|*sadness; sorrow (n)
naita-|to cause great grief to; to oppress (vb)
naitië|*really; indeed; truly (adv)
naitya-|to *rebuke; to abuse; to damage; to hurt; to put to shame (vb)
naityalë|shame (n)
naityana|ashamed; shamed (adj)
naitë; sanda [þ]|true (adj)
nalanta-|to attack; (lit.) to fall upon (vb)
nalba|dale (aj.); lowly; valley (aj.) (adj)
nalda [ñ-]|bright; polished (of metal) (adj)
nalië|playing of tunes; ringing of bells (n)
nallamya-|to echo; to reverberate; to sound back (vb)
nalláma|echo (n)
nallë|dell (n)
nalta [ñ-]|glittering reflection (n)
naltalma [ñ-]|heliograph (n)
nalumë|sometime(s) (adv)
nam-|to *think (have as an opinion); to judge (vb)
namba-|to hammer (vb)
namba; tartan (tartam-)|hammer (n)
nambírë|jasper (n)
namma; nappa|claw; talon (n)
nammar (nammard-)|court; courthouse; (lit.) judgment-house (n)
namnasta|regulations (n)
namna|*law; statute (n)
namoia-|to earn; to work (hard) for (vb)
nampaitya-|to pay back (vb)
nampaityalë|*restitution; paying back (n)
namárië|farewell; let it be well (to you); (lit.) be well (interj)
nan (nand-) (Physical World)|*land; woodland (n)
nan (nand-)|vale; valley (n)
nan(do)|(wide) valley; vale (n)
nan- (pref)|back (again); backwards (pref)
nan- (vb)|to go back (vb)
nan; ná(n)|but; on the contrary; on the other hand (conj adv)
nananta-|to *return [something]; to give back (vb)
nancal-|to reflect; (lit.) to shine back (vb)
nancar-|to *destroy; to undo (vb)
nancarindo; nancáro|destroyer (n)
nanca|*hewn (adj)
nancárima|destructible (adj)
nanda- [ñ-]|to harp (vb)
nandaro [ñ-]|harper (n)
nanda|?back (adj)
nandellë [ñ-]|*lyre; little harp (n)
nandelë|*repetition; harping (n)
nandë [ñ-]|harp (n)
nanhanquet-|to answer back (vb)
nanhat-|to cast back; to reflect (vb)
nannem-; vanya-|to disappear (vb)
nanomë|someplace; somewhere (adv)
nanquer-|to turn around; to turn back (vb)
nanquet-|to speak against; to talk back (vb)
nantar-|to stand back (vb)
nanwa (adj, Emotion)|*real; actual (true); existing (adj)
nanwa (adj, Mankind)|being (adj)
nanwa (n)|(large) bowl (n)
nanwavë|actually; truly (adv)
nanwen-|to go/come back; to return (vb)
nanwenta-|to send back (vb)
nanwera|ransom (n)
nanwië|reality (n)
nanwë|ebb; lowtide (n)
nanya-|to oppose; to resist; to struggle (vb)
nanyalë|opposition; resistance (n)
nap-|to grasp (with fingers); to pick up; to take (hold) (vb)
napan-|to add (vb)
napanna|additional letter (n)
napsa; naus (naust-); navillo|suspicion (n)
naqui|although; even though; (lit.) if it is in fact (conj)
naraca|harsh; rending; violent of (?sounds) (adj)
narambo; tarambo|bang; buffet (n)
nara|strife (n)
narca-|to rend (vb)
narca|ill-tempered; snappy (adj)
narcë|*rend; snap of a dog; spiteful remark; tear (n)
narda; nútë|knot (n)
narrundo|torch (n)
narta-|to *ignite; to inflame; to kindle; to set fire to (vb)
nartaima|inflammable (adj)
nartanwë|firework (n)
nas- [þ]|to welcome (vb)
nasal [þ]|guest (n)
nasarta-|to entrust (vb)
nasquë|bondage; durance (n)
nassë (Physical Acts and Materials)|*essence; nature; true-being (n)
nassë; tildë (Spatial Relations)|spike (n)
nassëa (Emotion)|natural (adj)
nassëa (Spatial Relations)|barbed; pointed; spiked (adj)
nasta-|to sting (vb)
nastaro|scorpion (n)
nastyapsul (nastyapsulc-)|turnip; (lit.) prickly/stingy/sharp tasting root (n)
nat (natt-); natto (nattu-)|thing (n)
natsemen|website; (lit.) web-spot (n)
natsë|net; web (n)
nattir-|to look back (vb)
nattira-|to despise (vb)
natto (nattu-)|affair; matter (n)
nattírima|despicable (adj)
nauca|dwarf(ed); shortened; stunted (adj)
nauco|dwarf (n)
nauna- [ñ-]|to howl (vb)
nauro [ñ-]|werewolf; wolf (not wild wolves) (n)
nauta|bound; obliged (adj)
nauya-|to conceive [of an idea] (vb)
nav-; ric-; toco-; tyasa-|to try (vb)
navillo|hint; innuendo; malicious comment; rumour; whisper (n)
naxa (adj)|sour (adj)
naxa (n)|bond; fetter (n)
naya-|to it grieves (impers.) (vb)
na|to; towards (prep)
neccë|angle (n)
necel|thorn (n)
necermëa|immaterial; insubstantial (adj)
necestel|despair; desperation; hopelessness (n)
nef-|to breathe (air) (vb)
nefítë|air-breathing (adj)
nehta-|to deprive (vb)
nehtano|exile whose rights and goods have been confiscated; one deprived (n)
nehtar|slayer (n)
nehtelë; nehtë (Food and Drink)|honeycomb (n)
nehtë (Spatial Relations)|angle; narrow prominitory; spearhead; wedge (n)
nel(d)esta|one third (fraction)
nel(de)cainen; nelquain|thirty (cardinal)
nel-|tri- (pref)
nel; nellumë|thrice (adv)
nelca; tiuca|dense (adj)
nelce(a)llumë|*thirteen times (adv)
nelcëanya; nelcëatya|thirteenth (ordinal)
nelcëast(y)a; nelcëasto; nelcëatto; nelquesta|one thirteenth (fraction)
neldellumë|*three times (adv)
neldest(y)a|one third (adj)
neldorion|beech wood (n)
neldë tuxë|three hundred (cardinal)
neldëa; nelya|third (ordinal)
neldë|three (cardinal)
neldóra|three million (cardinal)
neldórë|trillion (cardinal)
nelecco|fork; (lit.) three-thorn (n)
nelet (nelc-); nelë (neli-)|tooth (n)
nellon (nellond-)|granite; (lit.) tri-rock (n)
nellumë|three times (adv)
nellë|*stream; brook (n)
nelmasirpë [þ]|thistle; (lit.) needle-stalk (n)
nelma|needle (n)
nelqua|*angled; cornered (adj)
nelquëa|*thirteenth (ordinal)
nelquë|*thirteen (cardinal)
neltil (neltild-)|triangle (n)
neltë; vinca|corner (n)
nelya-|to congeal; to thicken (vb)
nem-|to appear; to seem (vb)
nembalë|evidence (n)
nemba|evident; probably but not necessarily so; seeming (adj)
nemesta|appearance; seeming (n)
nemestëa|*obvious; apparent (adj)
nen (nend-); nén (nen-)|water (n)
nen (nend-); sír(ë) (síri-); sírë (síri-)|river (n)
nen (neng-)|nostril (n)
nendalaurë|golden water-flower; yellow iris (n)
nenda|wet (adj)
nendil|beast that lives in the water (n)
nendo|*watered plain; water mead (n)
nendë|lake (n)
nenemma-|to keep on (re-)appearing (vb)
nengarmo|otter; (lit.) water-wolf (n)
nengwetanwa|nasal-infixed (adj)
nengwetehta|nasal sign (n)
nengwë (nengwi-)|nose (n)
nengwëa|nasal (adj)
nenquet-|to (orig.) speak down the nose; to condescend (vb)
nenta-|to pretend; (lit.) to make seem (vb)
nenungol|octopus; (lit.) water-spider (n)
nenyuvar; nénuvar|pool of lilies (n)
nenyu|yellow water-lily (n)
nercë|little man (n)
nerdo|large; strong man (n)
nermi|fay of the meads; field spirit (n)
nernehta|man-spearhead (n)
nertëa|ninth (ordinal)
nertë|nine (cardinal)
ner|husband; man; warrior (n)
nerëainë|stoutness of heart (n)
nerítë|*manly (adj)
nes (nest-)|feed; fodder (n)
nessa; vinya|young (adj)
nessamelda|species of tree in Númenor; (lit.) beloved of Nessa (n)
nesselë|mead; mead[ow]; pasturage; pasture (n)
nessima|youthful (adj)
nessornë|sapling (n)
nessë (Agriculture and Vegetation)|(green) fodder; grass (n)
nessë (Grammar)|past tense; (lit.) nē-ness (n)
nessë; nésë [þ]; vinyarë; vén; vínë|youth (n)
nesta-|to give to feed; to graze; to pasture (vb)
nestië|(act of) feeding (n)
nesya [þ]|gay; girlish; lively (adj)
net(ë)|one more beyond (the middle) (n)
net- [ñ-]; nete- [ñ-]|to get (vb)
neterquëa|nineteenth (ordinal)
neterquë|nineteen (cardinal)
netil|small thing of personal adornment; trinket (n)
netsë (netsi-)|little sister; ‘lil sis’ (intimate) (n)
netto|big sister; ‘big sis’ (intimate) (n)
nettë|(little) girl (n)
netya-|to adorn; to trim (vb)
netya|dainty; pretty (adj)
neuma|*noose; snare (n)
neuna|*following; next; second (adj)
neuro|successor (n)
nev- (Physical Acts and Materials)|to *seek opportunity; to experiment; to try (vb)
nev- (Spatial Relations)|to *confront; to face; to turn toward (vb)
nevië|experiment (n)
nexa|angular; sharp (adj)
ngolfinë; nolfinë [ñ]|magical skill (n)
ni; nyë (pron)|I; me (pron)
ni; nímo|1st sg. pronoun (pron)
ni; si; sina (adj)|this (adj)
nicu-; niqu-|to be chill; to cold; to freeze (of weather) (vb)
nicë|a bit; little (adv)
nienaitë; nyenya|tearful (adj)
nieninquëa|like a snowdrop (adj)
nieninquë|snowdrop; (lit.) white tear (n)
nier (nies-)|(honey) bee (n)
nihta-|to make small; to reduce (vb)
nihtana|minor; reduced (adj)
nihta|bit (of indeterminate size); piece (n)
nil (nild-)|blue-bell; harebell (n)
nil-|to have special concern/care/interest for; to love (vb)
nilda|friendly; loving (towards) (adj)
nildo|friend [m.] (n)
nildë; sermë|friend (f.) (n)
nillë (nill-)|small [woman] (n)
nillë [ñ-]|Valinorian imagines [images of real stars]; silver glint (n)
nilmo; sermo; seron|friend (n)
nilmë|concern for things other than self for their own sakes; friendship; love (n)
nimpa|ailing; drooping (adj)
nimulë; níma|a seeming; phantom (n)
nindari|nymph; river-maid (n)
nindë; teren; terenë|slender (adj)
ningon|lapis lazuli (n)
ninquelë|pallor (n)
ninqueri|*white (female thing or personification) (n)
ninqueru|male personified form of white; white (male thing or personification); white male swan; white man; white ship (n)
ninquinta-|to grow pale (vb)
ninquissë|whiteness (n)
ninquita-|to grow white; to make white; to shine white; to whiten (vb)
ninquitárë|whitening; whitewashing (n)
ninquë (ninqui-)|chill; cold; pallid (adj)
ninteccon (ninteccond-)|chalk; (lit.) white writing rock (n)
ninya (adj)|*my; 1st sg. possessive emphatic (adj)
ninya (pron)|mine; my (pron)
niqu(il)issëa|*snowy (adj)
niquessë|frost-patterns; ice-flake; snowflake; (lit.) chill feather (n)
niquetil (niquetild-); niquetildë|snow cap (n)
niquileninquë|snow-white (adj)
niquis (niquiss-); niquë (Physical World)|snow (n)
niquis (niquiss-)|ice-flake; petal (loose) of a white flower; snowflake (n)
niquë; ringë (ringi-) (Sense Perception)|cold (n)
nir-|*to impose (with allative); to force (in a given direction); to press; to thrust (vb)
nirmunqua|willful (adj)
nirmë|act of will; exercise of will (n)
nirwa (adj)|scarred (adj)
nirwa (n)|bolster; cushion (n)
nirwë|scar (n)
nirya-|to lean against (vb)
nis (nix-)|minnow; ‘little fish’ (n)
nis- [þ]|*to smell sweetly (vb)
nisilë [þ]|fragrance; perfume (n)
nisilëa [þ]|perfumed (adj)
nisquë|*(lit.) sweet smoke; incense (n)
nista-|to perfume (vb)
nista|push; shove; thrust (n)
nisto|large woman (n)
niswa [þ]|censer (n)
nitya; picina; pincë; pitya; titta|little (adj)
nityahan (nityahán-)|little brother (informal/familiar) (n)
nityanet (nityanés-) [þ]|little sister (informal/familiar) (n)
nixë (Animals)|little fish; minnow (n)
nixë (Physical World)|frost (n)
niétë|dripping; exuding; oozing (n)
nië; nírë|tear (n)
no (adv)|next (of time); then; upon (adv)
no (prep)|under (prep)
noico|*sickly (adv)
noirë|tomb (n)
noldova|belonging to gnomes (adj)
noldovicë|after the gnomes’ way; like a gnome (adj)
nolmar [ñ-]|school; university; (lit.) wisdom-house (n)
nolmenoitë|audacious (adj)
nolmo [ñ-]|wise person (n)
nolmë [ñ-]|department of wisdom (science, etc.); philosophy (including science) (n)
nolmë|audacity (n)
nolpa|mole (n)
nolta- [ñ-]|to *educate; to teach; to tutor; (lit.) to make knowledgable (vb)
noltar [ñ-]; saitar|teacher (n)
nolwë [ñ-]|(secret) lore; wisdom (n)
nolya [ñ-]|*brown-haired; dark-haired (adj)
nolya- [ñ-]|to study (vb)
nonda|hand especially in (?clutching) (n)
nonnúora; nuanwa|day after tomorrow (n)
nonwë|*total; calculation; sum (n)
nonóra-|to *keep on running (especially of machines); to run on; to run smoothly and hum (vb)
nor-|to run (or leap, of animals or men) (vb)
noremmatan (noremmatam-)|cartographer (n)
noremma|map (n)
norië|running (n)
normë|race (running) (n)
norna|firm; hard; obdurate; resistant; stiff; thrawn; tough (adj)
norno; oromë|oak (n)
nornolassëa|having oak-leaves (adj)
nornëa|of oak (adj)
noroitë (noroiti-)|(capable of) running (adj)
norolinda|*tripping lightly (adj)
norolindë|tripping lightly (adj)
norollë|cart (n)
norta [ñ-]|horrible (adj)
norta-|to make run (specially used of riding horses or other animals) (vb)
nortil|cape (of land) (n)
norto [ñ-]; oswe|horror (n)
nos(së)|clan; family; kindred; ‘house’ (n)
nossetur|family head; patriarch (n)
nossë|clan; family; kin; ‘house’ (n)
nosta-|to *be born [impersonal]; to be begotten; to beget; to cause; to give birth to (vb)
nostalë|*type; kind; nature; sort; species (n)
nostarenca|orphaned; (lit.) parent-less (adj)
nostar|*ancestor (n)
nostarë|birthday (n)
nosta|birth; birthday (n)
noswë|a wet wind (SW) (n)
nos|damp; wetness (n)
not- (Possession and Trade)|to count; to reckon (vb)
not- (Quantity and Number)|to reckon (vb)
notessëa|digital; numeral (adj)
notessë|numeral (n)
notsiva|drizzling (adj)
nucumna|humbled (adj)
nuhta-|to not allow to continue; to prevent from coming to completion; to stop short; to stunt (vb)
nuinerocco|hippopotamus; (lit.) river-horse (n)
nuinë|river (suf)
nui|lament (n)
nulda; pilucca|secret (adj)
nulla|dark; dusky; hidden; obscure; secret (adj)
nulma [ñ-]|mystery (n)
numba|bent; humped (adj)
numbë|timidity (n)
numenda-|to get low (of the Sun) (vb)
nungwë (Body Parts and Functions)|cold (in the nose or head) (n)
nungwë|cold in the nose (n)
nunya|lower (as in quality, rank or value) (adj)
nupattal|horseshoe (n)
nuptë|a sniff (n)
nuqua|obstacle (n)
nuquerna|*(lit.) under-turned; inverted; reversed (adj)
nur (nurr-)|complaint; growl (n)
nur-|to grow/be dark (vb)
nurmëa|lesser; subordinate (adj)
nurmë|subordination (n)
nurno|dark; deep (of hue) (adj)
nurru-|to grumble; to mumble; to murmur (vb)
nurrulë; quirquirindë|murmuring (n)
nurta-|*to hide (vb)
nurtalë|hiding (n)
nuru [ñ-]|death [abstract] (n)
nurunyel (nurunyell-) [ñ-]|foxglove; (lit.) death-bell (n)
nus (nust-)|smell (n)
nusta-|to smell [something] (vb)
nustaima|odorous; (lit.) able to be smelled (adj)
nustë|sense of smell (n)
nut-|to tie (vb)
nutanwë|infrastructure (n)
nutta|comma; (lit.) that what ties or binds (together) (n)
nuxo|Petty dwarf (n)
nu|beneath; under (prep)
nwal- [ñ-]|to feel (great) pain; to suffer (vb)
nwalmë [ñ-]; unqualë|torment (n)
nwalya- [ñ-]|to pain; to torment (vb)
nwar- [ñ-]|to erode; to fret; to gnaw; to wear away (vb)
nwara- [ñ-]|to erode; to gnaw; to wear away (vb)
nwámë [ñ-]|wolvish howling (n)
nwátengwë [ñ]|irony; (lit.) disguise-token (n)
nwë [ñ-]|*we (inclusive) (pron)
nya-|*my; 1st sg. possessive (pref)
nyaira|claim (n)
nyanda|nursery story or rhyme (n)
nyar(a)-|to recite (in sing-song voice); to relate; to talk; to tell (vb)
nyar-|to recite; to relate; to tell (vb)
nyara-|to relate; to tell (vb)
nyarda-|to preach (vb)
nyardar|preacher (n)
nyarda|list; (lit.) product of recitation (n)
nyarië|talking (n)
nyarmë|storytelling (general/abstract) (n)
nyarnamaitar|*author; composer of long epic tales; storyteller (n)
nyarna|(long epic) tale; legend; saga; story (n)
nyarrincë|mouse (n)
nyarro|rat (n)
nyarvëa|fictional (adj)
nyarvë|fiction (n)
nyas (nyast-); nyas [þ]|line; mark; score; scratch (n)
nyas- [þ]; nyasa-|to scratch (vb)
nyasta|snack (n)
nyat-|to *gossip; to chat; to talk idly (vb)
nyata-|to talk idly (vb)
nyatil|gossip; idle talk (n)
nyatso|magpie; (lit.) chatterer (n)
nyelecca|onyx (n)
nyelet (nyelec-); nyelet (nyelex-)|nail (of the finger) (n)
nyello|singer (n)
nyellë|bell (n)
nyenya|plaintive; querulous (adj)
nyenyessë|lament; lamentation; weeping (n)
nyenyë|weeping (n)
nyor-|to run (vb)
nyárula|apt to talk (adj)
nyárë|account; saga; tale (n)
nyéni|(she) goat; she-goat (n)
nyérë|grief (n)
nyé|bleat; cry of goat or sheep (n)
nyûna|second (adj)
ná-|to be; to exist (vb)
nácë|*qualified yes; it may be seeming (interj)
náha|*thin (adj)
náma|judgment or desire (n)
námima|culpable; (lit.) judgeable (adj)
námië|single judgment or desire (n)
námo (Grammar)|person; somebody (unnamed) (n)
námo (Law and Judgment)|judge (n)
námocombë|tribunal (n)
námondur|court-attendant; (lit.) judge-servants (n)
nápat|thumb and index [fingers] as a pair (n)
nápo|thumb; (lit.) picker (n)
náquet-|to agree (on fact); to assent; (lit.) to say ‘it is’ (vb)
nár(e)|flame (n)
nár|fire (as an element) (n)
nása|it is so (interj)
násië; san na|*amen; (lit.) may it be so (interj)
náto|*yes (emphatic); it is that (interj)
náva [ñ-]|*mouth (including tongue, lips and teeth); speech apparatus (n)
náva; rotwa; sappa; unqua|hollow (adj)
návë (Mind and Thought)|perspicacity; sagacity; shrewdness (n)
návë (Physical Acts and Materials)|being (n)
návëa [ñ-]|*consonantal; consonant (n adj)
ná|it is a fact; it is so; so; yes (it is) (interj)
néca|dim to see; faint; vague (adj)
némë|*permission; leave (n)
nér (ner-)|adult male; male person; man (n)
néya; nëa|at one time; once (adv)
né|behind (earlier time); yes (it was so) (adv)
nëa (Emotion)|it is; yes (adv)
në|that (conj)
níca|little; small (adj)
nílë (níli-)|a special concern with or love for (n)
nípa|small (usually with connotation of weakness) (adj)
níra|individual will (in potential); will (as a potential or faculty) (n)
nírë|force (n)
nírítë|driving; exerting great thrust or pressure; forceful (adj)
nísima [þ]|fragrant (adj)
níta-|to cry [tears]; to weep (vb)
nítë (*níti-)|*damp (of weather); dewy; moist (adj)
ní|female (n)
nó (n)|design (n)
nó (prep conj)|after (of place); at back (of place); before (of time); behind; yester- (prep conj)
nó (prep)|after (of place); after (only of time); behind; than; yester- (prep)
nó-|to be born; to become (vb)
nóla [ñ-]|learned (adj)
nóla|(round) hill; knoll; round head; round hilltop; summit; top (only used of mountains etc.) (n)
nólecöa [ñ-]|school; (lit.) house of lore (n)
nólë [ñ-]|long study; lore; wisdom (n)
nólöa|yesteryear (n)
nómessë|place-name (n)
nómëa|local (adj)
nómë|place (n)
nón [ñ-]|groan; growl (n)
nóna- [ñ-]|to groan (vb)
nónarë|generation (n)
nóna|born (adj)
nópata-|to precede; (lit.) to walk before (vb)
nóquista-|to assume; to make premature judgements (vb)
nór (nor-); nórë|land (n)
nórarwa|economy; (lit.) country-wealth (n)
nóretur|governer; (lit.) country-ruler (n)
nórima|strong/swift at running; swiftly running a course (adj)
nórë (nóri-)|(native) land; country; family; nation (n)
nórëa|national (adj)
nórë|clan; country; kindred; nation; race; region where certain people live; tribe; †people (n)
nótar|calculator; computer (n)
nótima|(colloquial) moderate in amount; countable; limited in number (weight and measure); several; some (adj)
nótië|*counting (n)
nótë|number (n)
nóva|ahead; foremost; leading (adj)
nóvo|*before (adv)
nöa (adj n)|*previous; former; yesterday (adj n)
nöa (n)|conception (n)
núla [ñ-]|dark; mysterious; occult (adj)
núla|under [beyond] (prep)
núlemo [ñ-]|(evil) sorceror; black magician (n)
núlë [ñ-]|black arts; sorcery (n)
númen|direction or region of the sunset; occident; west; (lit.) going down (n)
númeta-|to get low (of the Sun); to go down in the west (vb)
númë|west (n)
nún|beneath; down below; underneath (adv)
núra; tumba; tumna|deep (adj)
núrië|depth (abstract) (n)
núromolië|ministry; (lit.) servant-labour (n)
núro|servant (n)
núrula|grumpy; (lit.) likely to growl/grumble (adj)
núrë|maid servant; servant-woman (n)
núsima|*inclined (adj)
núta-|to lower; to set; to sink (of Sun or Moon); to stoop (vb)
nútaitë (nútaiti-)|?lowering (naturally); degrading (adj)
nútil (nútill-)|under-point (n)
nútima|*lowerable (adj)
nútë; vérë|bond (n)
o (Spatial Relations)|across; along; from; over (prep)
o(to)sta; otsotto; otsottya|one seventh (fraction)
o-; u-|3rd sg. masc. pronoun; he (pref)
o-; va- (Spatial Relations)|together (pref)
ocar-|to cooperate; to participate; to work together (vb)
ocaraitië|a set of activities; program (n)
occainen; otoquain; otsocainen|seventy (cardinal)
occa|knee (n)
ofelmë|*(lit.) together-feeling; compassion; pity; sympathy (n)
ohlon|diphthong (n)
oholima|confidential (adj)
ohtar (ohtard-)|warrior (n)
ohtarië|martial ardour (n)
ohta|war (n)
ohta·caro|hostile unfriendly act(ion); warlike deed (n)
ohtë (oxi-)|egg (n)
ohéressëa|political (adj)
ohéressë|politics (n)
oi(o)|*aeon; an endless period; ever; everlastingly (adv n)
oi(we)|bird (n)
oi-|to live; to pass one’s days (vb)
oi; oiavë|everlastingly (adv)
oi; vor(o); úlumë|ever (adv)
oia(la)|everlasting; for ever; unceasing; without end (adj)
oialë (n adv)|eternally; everlastingly; forever; in eternity (n adv)
oialë; oirë (n)|everlasting age (n)
oialëa; oira|eternal (adj)
oia|everlasting (adj adv)
oilin|*last (adj)
oiolairë|ever-summer (a species of tree) (n)
oitë|poverty (n)
oiwa|glossy (adj)
oiwië|gloss; glossiness (n)
ola- (Physical Acts and Materials)|to become; to grow (up) (vb)
ola- (Spatial Relations)|to grow up; to reach its prime (vb)
olanwa|adult; fully grown; mature (adj)
olass(i)ë|collection of leaves; foliage (n)
olasta; olmië|growth (n)
olba|branch (n)
olca; ulca; uvana|wicked (adj)
olda; olwa|much (adj)
ole; olólë|intensive (adv)
olet (olec-)|forearm (n)
olindë|harmony (n)
olirdëa; ulird(e)a|pitiless; (lit.) without bowels (adj)
olirië|concert (n)
olië|company; people together (n)
olla|over [beyond] (prep)
ollo|seaward precipice (n)
ollë|*other one (adj)
olmen (olmend-)|growth-year (n)
olmos (olmoss-)|*chestnut; chestnut tree (n)
oloirë|great flood (n)
oloiya-|to flood; to inundate (vb)
olopsë|broom (n)
olor (Body Parts and Functions)|vision (n)
olorda|dreamy; drowsy; in dreams (adj)
olorië|theory (n)
olor|dream (n)
olosta|*dreamlike; dreamy (adj)
olpë|bottle (n)
olva|growing things with roots in the earth (n)
olwen|thirty six (cardinal)
olwë; sávë [þ]|stink (n)
olótë|bloom; the flowers collectively of a single plant (n)
omarimbi|everywhere about (adv)
ombari|company; dwellers together (n)
omen-|to *(lit.) move together; to meet; to move to a common point (vb)
omentië|meeting (of pathways); meeting or junction of the directions of two people; (lit.) coming together of journey-path (n)
omolmessë|corporation (n)
omolmë|business; company; enterprise; firm (n)
omotunto|omniscience (n)
omotúrë; ontúrë|almighty; omnipotence (n)
ompa; póna|forward (adv)
ompanai; ompanu|everyone (n)
omya-|to resonate (of longer sounds) (vb)
omírë|jewelry (collectively) (n)
onda|creation; work (n)
ondolunca|stonewain (n)
ondolë|(stone) monument or cairn; stone monument; stone-cairn (n)
ondomaitar|sculptor in stone (n)
ondomillo (ondomillu-)|gas; gasoline; petrol; petroleum (n)
ondopelet (ondopelecc-)|pickaxe (n)
ondosercë|plant with red flowers; stonecrop; (lit.) blood of stone (n)
ondova|stony (adj)
ondo|(large mass of) rock; stone (as a material) (n)
ondórëa|hard-hearted; pitiless (adj)
ongo-|to it pains me (imp.) (vb)
ongolmo|geologist (n)
ongolmë|geology (n)
ongwemo|criminal; transgressor (n)
ongwë|crime (n)
onin|anvil (n)
onna (Animals)|creature (n)
onna (Mankind)|*offspring (n)
onot-|to *reckon; to count up (vb)
onta-|to *conceive (a child); to beget; to create (vb)
ontalë|*derivation; ancestry; descent (n)
ontamo|mason (n)
ontaro|begetter; parent (n)
ontar|parent (gender neutral) (n)
ontarë|begetter; parent (f.) (n)
ontavalië|*(lit.) able to beget; puberty (n)
onya|my child (n)
onóna|one of a pair of twins; twin-born (adj n)
onónë; ressë|kinswoman (n)
onóro; rendo; ressë|kinsman (n)
onótimo|*reckoner (n)
onótië|*reckoning (n)
opelë|*hamlet; *manor; town; village; walled house (n)
opo; pó|before; in front (of place) (prep)
opolintë; opolë|fawn; young deer (n)
or-; ora-|to feel an urge/wish/desire; to urge; to warn (vb)
orc; orco (orcu-)|goblin (n)
orco|Orc (n)
orc|demon; ogre (n)
orda-|to threaten (vb)
orda; tumna|profound (adj)
orendë|(nuclear) family (n)
orhal-|to exalt (vb)
oricon|heather (n)
orina|risen (adj)
ori|grain (n)
ormo|riser (n)
ormë|haste; rushing; violence; wrath (n)
orna; tyelca|hasty (adj)
ornemalin|[tree] bearing yellow flowers (n)
ornendur|forester; tree-keep; woodsman (n)
ornë|(high isolated) tree; (tall) tree (n)
oro-|aloft; up (pref)
orohalla|superior (adj)
orolanda|plateau; upland (n)
oroman (oromand-)|mountain dweller (n)
oroman|wood-spirit (n)
oromar (oromard-)|high (lofty) dwelling; high-mansion; lofty hall (n)
oron (orond-); tundo (tundu-)|hill (n)
oron (oront-); tahormë; taormë|mountain (n)
oroparmen|high school; university (n)
ororia-|to keep on rising (and falling) (vb)
orosta (Time)|haste; impetus; rash courage; speed (n)
orosta; rosta (Motion and Transportation)|ascension (n)
orotinga; orto|mountain-top (n)
oro|hill; mount; mountain (n)
orpano|ridgepole (n)
orquin(di)|ogress (n)
orro (adv)|on high; up in the air (adv)
orró-|sunrise; uprising (pref)
orróna; rómenya|eastern (adj)
orsa [þ]|above; upper (adj)
orta-|to cause to rise; to lift (up); to raise; to rise (vb)
ortalima|able to be raised (adj)
ortarë|lifting up (n)
ortil|up-point (n)
ortirmo|overseer (n)
ortosta|mountain range (n)
ortur-|to conquer; to overpower; to prevail (vb)
ortírië|*patronage; (lit.) watching over (from above) (n)
orvamir|chrysoprase; (lit.) apple-jewel (n)
orva|apple (n)
orwa; tára|high; lofty (adj)
orya-|to rise (vb)
oryandë|arising (n)
oryat (oryap-)|badger (n)
or|on; upon (prep)
oscaita-|to surround; (lit.) to around-lie (vb)
oscir-|to circumcise; (lit.) to around-cut (vb)
osellë [þ]|[sworn] sister; associate [f.] (n)
ospor|chaff (n)
osquetië|context (n)
ossa (adj)|surrounding (adj)
ossië|surroundings (n)
ossë; oswe|terror (n)
ostar; uomë|community (n)
osta|homestead (n)
ostec-|to describe (vb)
ostimmir|agate; (lit.) blend-jewel (n)
ostimë|blend (n)
ostirion; osto|fort (n)
