(a)lá; ná; nása|yes (interj)
pan-|to set in order; *to arrange (vb)
pan|*since (conj)
par-|to learn (vb)
parca|naked (of persons) (adj)
parma-resta|*book-fair (n)
parmahenta-|*to read (vb)
parmahentië|(book) reading (n)
parmatéma|p-series (n)
parma|book; composition; writing; written document of some size (n)
parna|bare (adj)
parnë|bald; bare; naked (adj)
pas- [þ]; pasta-|to smooth (vb)
passa|glabrous; smooth (adj)
pasta-|to iron (vb)
pasta|glabrous; sleek; smooth(ed) (adj)
pata-|to walk (vb)
pecco|nut (n)
peccuvo|squirrel; (lit.) nut-hider (n)
pel-|to encircle; to go round (vb)
pella|beyond (boundary or limit) (prep adv)
pelma|border; edge; fringe; limiting device (n)
pelo|boundary (fence) (n)
peltas (peltax-)|a ‘pale’; fence of fixed stakes (n)
pempë|lip (n)
pen-|to not to have (vb)
penda-|to incline; to slope (vb)
penda|(steeply) inclined; sloping down (adj)
pendë|hill side; steep incline (n)
penga-|to pout (vb)
penna|lacking; vowel (adj n)
penquanta|full to the brim; with mouth full (adj)
penya|inadequate; lacking (adj)
pen|not having; without (prep)
per-|half (pref)
peresta; perta|one half (fraction)
pic-|to dwindle; to lessen; to wane (vb)
pilinehtar|a reed-like plant; (lit.) ?arrow thorn (n)
pirindë; pirnë|flower that opened and shut quickly with any change of light (n)
pirucendëa|on the point of her toes (adj)
pirë; taltil (taltill-); tillë|toe (n)
pitya|petty (adj)
pol-|can; to be able to (vb)
polda; túra; velca|big (adj)
polë (poli-)|grist (n)
pono; poto|in front (of place) (prep)
potai|*therefore; (lit.) before which (conj)
pupso|large fly (n)
pá|against; as regards; concerning; on (above but touching); touching (prep)
pé|(closed) mouth; lip (n)
pí|fly; small insect (n)
púlima|liquid; pourable (adj)
púrëa|bleared; discoloured; smeared (adj)
quaican|*fourteen (cardinal)
qual-|to die (vb)
quanta-; quat-|to fill (vb)
quanta|filled; full (adj)
quantemma|facsimile; *(lit.) full-picture (n)
quantolië|maturity (n)
quel-|to fade (vb)
quelië|*fading (n)
quellë|late autumn and early winter; (lit.) fading (n)
quendi|female Elf (n)
quendu|male Elf (n)
quenna|proverb; saying (n)
quentalë|history; narration (n)
quentaro|reciter; speaker (n)
quentasta|historical account (n)
quenta|account; history; narrative; story (n)
quer-|to turn (vb)
queren (querend-)|pivot; revolving centre (n)
querma|spinning wheel; turn-table (n)
querna|*turned (adj)
quessetéma|kw-series (n)
quessë|feather (n)
questa|language (n)
quet-|to say; to speak; to tell (vb)
quetië|words (n)
quetta|word (n)
quinna|crested (adj)
quiquië; quië|whenever (adv)
quáco|crow (n)
quácë|frog (n)
quár(ë)|closed hand; fist (n)
quén (quen-)|individual; man or woman; one; person; somebody (n pron)
quétima|pronounceable; speakable; *able to be said (adj)
quëa|vegetable (n)
quín(ë)|crest; ridge (n)
rac-|to break (vb)
racina|deprived; stripped (adj)
raf-|to brandish; to wave (vb)
raica|crooked (adj)
raima|net (n)
raina (Emotion)|gracious; smiling; sweet-faced (adj)
raina (Motion and Transportation)|caught in a net; enlaced; netted (adj)
rainë|good will; *peace (n)
raita- (Emotion)|to smile (vb)
raita- (Motion and Transportation)|to catch in a net; to make network or lace (vb)
raiwë|lace (n)
ral-|*to return (vb)
ramba|wall (n)
ranga|full pace; yard (n)
rantala|ladder (n)
ranya|erratic wandering (n)
ras-|to stick out (vb)
rasillo [þ]|squirrel (n)
rassë; romba; róma|horn (n)
ratta|track (n)
rauco|demon; powerful hostile and terrible creature (n)
raumo|(noise of a) storm (n)
rauro|lion (n)
raxa|wain; *wagon (n)
raxë|*danger (n)
rehta-|to rescue; to save (vb)
rehtië|rescue; saving (n)
rem-|to snare (vb)
remba-|to entrap; to net (vb)
rembina|entangled; meshed; netted; woven (adj)
rembë|hunter’s or fisher’s net; mesh; net (for catching) (n)
remma|snare (n)
resta|acre; sown field; tilled ground; *fair (n)
retto|*climber (n)
ric- (Motion and Transportation)|to twist (vb)
ric- (Physical Acts and Materials)|to endeavour; to put forth effort; to strive (vb)
rihta-|to strive (vb)
rimbë|great number (n)
ringa|cold (adj)
rië; riëndë|garland (n)
riël(lë)|garlanded maiden; maiden crowned with a festive garland (n)
rië|only (adv)
ro-|east; sunrise; uprising (pref)
rocco|horse (n)
rohtalië|*those who trespass; (lit.) trespass-people (n)
romba|trumpet (n)
ron(go)|soon (adv)
ronda|firm; solid (adj)
rondo (Physical Acts and Materials)|staff (of hardwood) (n)
rondo (Physical World)|vaulted hall; vaulted or arched roof (n)
roquen|horseman; knight; rider (n)
rossë|foam; rain (n)
rotto|small grot; tunnel (n)
ruc-|to feel fear or horror; *to flee (to) (vb)
ruhta-|to terrify (vb)
ruimen|fireplace; hearth (n)
ruina|blazing; fiery (adj)
ruinë|blaze; fire (n)
ruivë|wild fire (n)
rum-|to heave (of large and heavy things); to move; to shift (vb)
runando|*redeemer (n)
runda|polished; smooth (adj)
runya|fiery red (adj)
rusca; ruxa|wroth (adj)
rusca|red-brown (adj)
rusco (ruscu-)|fox (n)
ruscuitë|foxy (adj)
russa|red-haired (adj)
russë|head or pelt of red hair (n)
ruxa-|to crumble (vb)
ruxotompalë|Great Bear-dance (n)
rácina|broken (adj)
ráman (rámand-); ëarráman (ëarrámand-)|great ship for sailing on the Great Sea (n)
rámannertë|ship-ennead (n)
ráma|wing (n)
ránasta|lunar month (n)
ráta-|to surpass (vb)
ráva|lawless; uncontrolled; unfettered (adj)
rávëa|roaring (adj)
rávë|roaring noise (n)
ré|day (period from sunset to sunset) (n)
rëa-|to make network or lace (vb)
rëa|single (adj)
ría|garland; wreath (n)
ríma|fillet; snood (n)
rína|crowned; garlanded (adj)
rómen|east; sunrise; uprising (n)
róna|east (adj)
ró|the[?] [?next] (adv)
röa|dog (n)
rúcima|terrible (adj)
rúcina|confused; disordered; ruined; shattered (adj)
rúna-; sen-|to free (vb)
rúnya|red flame (n)
rúsë [þ]|wrath (n)
rúsëa [þ]|wrathful (adj)
sa; ta; tai|them (inanimate) (pron)
sac- [þ]|to close (vb)
sahta- [þ]|to induce (vb)
sahtië [þ]|pressure or force (to do something against one’s will or conscience) (n)
saila; tára|wise (adj)
samna|delved hole; pit (n)
sampanë|combination (n)
sana-|to reflect; *to think (vb)
sanar|mind; reflector; thinker (n)
sana|that (previously mentioned) (adj)
sanda [þ]|shield (n)
sandastan (sandastam-) [þ]|shield-barrier (n)
sanga [þ]|press; pressure; throng (n)
sangië|necessity; *pressing need or concern (n)
sanomë; tanomë; tassë; tás|there (adv)
sanwecenda|thought-inspection; thought-reading (n)
sanwementa|mental message; thought-sending (n)
sanwë-latya|thought-opening (n)
sanwë|an act of thinking; thought (n)
san|so; thus; *then (conj adv)
sar (sarn-)|stone (small) (n)
sarat|letter (of the Rúmilian alphabet) (n)
sarda|hard (*as stone) (adj)
sarmë; tengwë|writing (n)
sarnië|pebble bank; shingle (n)
sarta|loyal; steadfast; trusty (adj)
sarto; satar|loyal companion; trusty follower (n)
sat-|to appropriate to a special purpose or owner; to set aside (vb)
satya|excluded; not common; private; separate (adj)
sau-|very badly (pref)
saucarya|evil-doing (adj)
saucarë|doing or making a thing very badly (n)
saura [þ]|bad; cruel; evil; foul; ill; stinking; unhealthy; vile; wretched (adj)
sav-|to believe (vb)
sa|it (inanimate); that (pron conj)
selma [þ]|fixed idea (n)
seltil|daughter [finger name] (n)
selyë|daughter (diminutive) (n)
sen-|to let go; to let loose (vb)
senna [þ]; senta [þ]|short (adj)
senwa; senya|usual (adj)
ser- [þ]|*to sew (vb)
sercilixa|blood-thirsty (adj)
sercë (serci-)|blood (n)
serindë [þ]|broideress; needlewoman; *seamstress (n)
sil-|to shine (white) (vb)
silima|crystal substance devised by Fëanor (n)
sillë|like this (adv)
silma|crystal (white) (n adj)
silmë nuquerna|s-reversed (n)
silmë|starlight (n)
silo; sio|hence (adv)
silumë; sí; sír|now (adv)
silumë|(lit.) at this time (adv)
simen; sir(a)|hither (adv)
simo|*this person (pron)
sin; sië|thus (adv)
sinar|today (n adv)
sina|this (adj pron)
sincahonda|flint-hearted (adj)
sinca|flint (n adj)
sindië [þ]|greyness (n)
sindë (sindi-) [þ]|pale or silvery grey (adj)
sinen|by this means; so (adv)
sinomë|(lit.) in this place (adv)
sintamo; tamo|smith (n)
sinwa|ascertained; certain; known (adj)
sirya-|to flow (vb)
sisíla-|to shine (frequentative) (vb)
si|this (pron)
soica|thirsty (adj)
solma [þ]; solos [þ-]; sól [þ]|?top (n)
solma|chamber; hall (n)
songa|mouth (interior cavity behind the teeth containing the tongue) (n)
sorna [þ]|steadfast (adj)
sorno [þ]; soron (sorn-) [þ]|eagle (n)
sundo [þ]|base; root; root-word (n)
sundóma [þ]|determinant vowel; root-vowel (n)
sur- [þ]|*to seek (vb)
surië [þ]|*(an act of) seeking (n)
surya- [þ]|to blow (intr.) (vb)
sussë [þ-]|puff (of air) (n)
susta- [þ]; súta- [þ]|to blow (tr.) (vb)
sá [þ]|I agree of course; I will; all right; of course I do; very good (interj adv)
sámo [þ]|helper (n)
sánë (sáni-) [þ]|pine (n)
sáquet- [þ]|to I will; to agree (to do); (lit.) to say ‘yes’ (vb)
sára|*bitter (adj)
sérë; sívë|*peace (n)
së (prep)|at (prep)
së (pron)|he; it (animate); she (pron)
sír(ë) (síri-)|river (n)
sítë|of this sort (adj)
sívë|knowing; knowledge (n)
söa|filth (n)
súlë [þ]|(movement of) spirit; breath; emission of power (of will or desire) (n)
súma|bosom; hollow cavity (n)
súriquessë|species of grass; (lit.) wind feather (n)
súrë (súri-); vailë; vaiwë; váva; vëa|wind (n)
sú|sound of wind (n)
ta (adv conj)|also; and also; etcetera; like that; so; then (adv conj)
ta (pron, Grammar)|that; there (pron)
tai; tá|then (adv)
tailë|lengthening (n)
taima; taina|extension (n)
taina|elongated; stretched (adj)
taitë|of that sort (adj)
tal(da)|to the bottom (adv)
talan (talam-); talma|flat space; platform (n)
talca|mark; post (n)
tallë|like that (adv)
talma|basis (n)
talo; tó|thence (adv)
talta-|to collapse; to slide down; to slip (vb)
talta|tottering; unsteady (adj)
taltil (taltill-)|*(lit.) foot-tip (n)
taltol|big toe (n)
talumë|at that time (adv)
taman|thing made by handicraft (n)
tama|that matter (pron)
tambë; tiër; tér|so (prep)
tamen; tanna; tar(a)|thither (adv)
tamma|tool (n)
tamna|artifact; artificial (adj n)
tamo (n)|artificer; builder; wright (n)
tamo (pron)|*that person (pron)
tana-|to indicate; to show (vb)
tana|that (adj pron)
tancal(a)|brooch; clasp (n)
tancarya-|*to become firm (vb)
tancata-|to confirm; to fix; to make firm (vb)
tanen|in that way (adv)
taniquelassë|*high-white-leaf (n)
tanna; tanwa|sign; token (n)
tanomë|(lit.) in the place (referred to) (adv)
tant(il)a|harp (n)
tanta-|to play a harp (vb)
tapta|impeded (adj)
tar-; termar-|to stand (vb)
tar-|high (affix)
taras|a great towering building (fort/city/castle) (n)
tarhanwa|(lit.) high seat (n)
tarma|pillar (n)
tarminas|great towering building (fort/city/castle) (n)
tar|honorific; madam; sir (n)
tasar(ë) (tasari-) [þ]|willow (n)
tauca|stiff; wooden (adj)
taura|(very) mighty; masterful; of unmeasured might or size; vast (adj)
taurëa|forested (adj)
taurë|(great) wood; forest (n)
tautamo|[wood] carver; carpenter (n)
tav-; termar-|*to endure (vb)
tecil|pen (n)
tehta|(written) mark; sign; symbol (n)
tel-|to end; to finish (intr.) (vb)
telco (?telcu-)|leg; stem (n)
telconta-|to stride; to *(lit.) to leg it (vb)
telda|final; last (adj)
telepta|silver (adj)
telluma|cupola; dome; vault (n)
telma|anything used to finish off a work or affair; conclusion (n)
telperin; telpina|like silver (in hue or worth) (adj)
telpë|silver (n)
telumë|canopy; heaven; roof; sky (n)
telu|last (adj)
telya-|to conclude (trans.); to finish; to wind up (vb)
ten-|to arrive; to come to (vb)
tengwa-|to read written matter (vb)
tengwacilmë|spelling (n)
tengwassë|alphabet (n)
tengwa|(written) letter; indicator; sign; token (n)
tengwelë|language (general term) (n)
tengwesta|collection of matter concerning writing; grammar; morphology; system or code of signs; *language structure (n)
tengwestië|language [as a concept] (n)
tengwië|language (*signing) (n)
tengwë|indication; sign; token (n)
tenna (n, Language and Music)|letter (epistola) (n)
tenna (n, Mind and Thought)|idea; notion; thought (n)
tenna (prep)|as far as; to reach; to the point; until; up to (prep)
tennoio|forever (adv)
tensi|already; up to now/here; yet [from present] (adv)
tenta-; tëa-|to indicate (vb)
tenta-|to be directed toward; to direct toward; to go forth towards (with object); to point (to/out) (vb)
tenta|yet [past] (adv)
tercenya|of insight; *perceptive (adj)
tercen|insight; *(lit.) through-sight (n)
tercáno|herald (n)
termar-|to last; (lit.) to through-abide (vb)
ter|through (prep)
tihta-|to blink; to peer (vb)
tildë|a fine sharp point (n)
tillë|[within compounds] finger; tip (n)
tin-|to spark (vb)
tincotéma|t-series (n)
tinco|metal (n)
tindómë|(starry) twilight; (usually) time near dawn (n)
tinga-|to go (for a long while) (vb)
tinta-|to cause to spark (vb)
tintila-|to give tremulous light; to twinkle (vb)
tinwë|[apparent] star; spark (n)
tir-|to gaze; to guard; to heed; to look (at); to observe; to watch (over) (vb)
tirila|watching (something) (adj)
tirion|watch-tower (n)
tirmo|watcher (n)
tirítë (tiríti-)|vigilant; watchful (adj)
tië|line; path; road (n)
to(lo)sta; tolsat|one eighth (fraction)
toina|wood (adj)
tol (toll-); tollë|(steep) isle; island (n)
tolbo|big toe; stub; stump (n)
toldo; tolto|eight (cardinal)
toldëa; toltëa|eighth (ordinal)
tollo; tolyo|sticker-up (n)
tolma|knob; protuberance contrived to serve a purpose; short rounded handle (n)
torna; urda|hard (adj)
tornanga|hard-iron; iron hard (adj n)
to|on (prep)
tuilérë|*spring-day (n)
tuilë|spring (n)
tulta-|to send (from point of view of receiver) (vb)
tultaima|summonable; *fetchable (adj)
tulusta|advent; arrival (n)
tulya-|to fetch; *to lead (vb)
tulyandë|fetching (n)
tumbalë|depth (n)
tumba|deep valley (adj)
tumbo (tumbu-)|deep vale (n)
tup-|to cover (vb)
tur-|to conquer; to dominate; to master; to win (vb)
turca|powerful (in body); strong (adj)
turco (Quantity and Number)|chief (n)
turco (Warfare and Hunting)|*stronghold (n)
turindo|purposeful mind; strong will (n)
turindura|done necessarily (adj)
turmen|realm (n)
turu-|to defeat; to have victory over; to master (vb)
turya-|*to strengthen (vb)
turyandë|fortification (n)
turúna|mastered (adj)
tutulla-|to keep on coming (and going) (vb)
tuv-|to discover (vb)
tu|them (dual) (pron)
tyal-|to play (vb)
tyalië|mirth (n)
tyar-|to cause (vb)
tyav-|to taste (vb)
tyelca|hasty (adj)
tyellë|grade; step (in a stairway or ladder) (n)
tyelpetéma|palatal series (n)
tyulma|mast (n)
tyávë|*taste (n)
tyë|thee; you (familiar) (pron)
tál (tal-)|foot (n)
táris(së)|queenship (n)
tári|queen (n)
tárië|height (n)
táva|great tree (n)
téma|series (n)
të|them (pron)
tírima|able to be watched; observable (adj)
töa|wood (as material) (n)
túra; velca|great (adj)
túrëa|masterful (adj)
túrë|mastery; *might (n)
túvima|discoverable (adj)
ua-; ui-|to not do (vb)
uhta-|to avoid as painful or nasty; to dislike; to feel disgust with (vb)
uito|it is not that (interj)
ui|it is n[ot]; no (interj)
ul-|to rain (vb)
ulca|evil; sinister (adj)
ulco (ulcu-); úro|evil (n)
ulo (*ulu-)|rain (n)
umbar (umbart-)|curse; doom; fate (n)
umba|swarm (n)
umbo(n)|clump; lump; mass (n)
umbë|fear; imminence; premonition; threat; unwelcome expectation (n)
undulav-|to drown; to submerge; to swallow; (lit.) to lick down (vb)
undumë|abyss (n)
undu|down; under (prep adv)
undómë|time near evening; twilight (n)
ungwë|spider’s web (n)
unquë|a hollow (n)
untup-|to cover (over or up); (lit.) to cover down (vb)
uo|together (adv)
ur(u)-|difficult; hard (pref)
urcarnë; urucárima|hard to make / do (adj)
urco (urcu-)|bogey; orc (n)
urda|arduous; difficult (adj)
urnótima; urunótë|*difficult to count (adj)
urra|bad (adj)
ursa- [þ]|to rage (vb)
urucarin|made with difficulty (adj)
urulócë|fire-drake; fire-serpent (n)
urus (urust-)|copper (n)
urya-|to be hot (vb)
us- [þ]|[wrong] with a bad sense; bad; improper; unsuitable; useless; wrong (pref)
uscarë; uxarë|doing wrong (n)
usquë|dim light; dusk (n)
vailima|windy (adj)
vaina|blonde; fair of hair (adj)
vairë|?wavy (adj)
vala-|to have [divine] power (vb)
valca|ferocious; fierce (adj)
valda|excited; wild (adj)
valmë|emotion; excitement (n)
valta-|to excite; to rouse; to stir up (vb)
valut-|to flow away (vb)
valwistë|change of mind (n)
valya-|to be excited (moved) (vb)
vana|fair-haired (yellow to golden) (adj)
vanda|oath; pledge; solemn promise (n)
vanessë; vanië|beauty (n)
vangwë|blow; storm (n)
vanima; venya|beautiful; fair (adj)
vanimalda|exceeding fair; most beautiful; thou beautiful (adj)
vanima|beautiful one; fair one (n)
vanimelda|beautiful and beloved; elven-fair (adj)
vanwa|dead; departed; gone; lost; no longer to be had; over; passed away; past; vanished (adj)
vanya-|to pass (vb)
vanya|beautiful; fair; fair-haired (yellow to golden) (adj)
varanda|sublime (adj)
vardarianna|fragrant evergreen tree (n)
varnë (varni-)|brown; russet (adj)
var|away to; *from (adv)
vasar [þ]|veil (n)
vasarya- [þ]|to veil (vb)
vaya|ocean (n)
va|(away) from (prep)
vecca|active (adj)
vehtequentalë|biography (n)
vehtë|[a span of] life; habitat; haunt (n)
velca|large (adj)
vendelë|maidenhood (n)
vendë|maiden; *virgin (n)
vere-|to weave (vb)
verta-|to give in marriage (a) to (b); to take as husband or wife (to oneself) (vb)
veru|husband (n)
verya-|to be joined to; to marry (of husband and wife) (vb)
veryanwë|wedding (n)
vilvarin (vilvarind-)|butterfly (n)
vilvarindëa|like a butterfly (adj)
vilva|fluttering to and fro (adj)
vilya|air; sky (n)
ving(a)|foam; spray (n)
vingil (vingild-)|foam-maid; mermaid; *nymph (n)
vingë|foam; spindrift; spray (n)
vinima|childish (adj)
vinimetta|end of youth (n)
vinimo|baby; little-one (n)
vinta-|to blow about; to scatter (vb)
vinyamo|youngster (n)
vinyarë; vínë|youth (n)
vinya|new; young (adj)
virnë; vistë|change (n)
virya-|to alternate (vb)
vista-|to change (transitive) (vb)
voronda; vórima|faithful (adj)
voronda|steadfast (in allegiance, in keeping oath or promise) (adj)
voronwë|faith(fulness); loyalty; steadfastness (n)
váquet-|to forbid; to prohibit; to refuse; to say ‘I will not or do not’; (lit.) to say no (vb)
váya-|to blow (vb)
váya|ocean; sea (n)
vá|do not; shall not; will not (interj adv)
véla|having a likeness or similarity; *alike (adj)
vénëa|*virginal (adj)
vénë|*virgin (n)
véra|own; personal; private (adj)
vë (prep)|after the manner [of]; like; similar (prep)
vë (pron)|us (inclusive) (pron)
vëa|apparent; seeming (adj)
vëo|living creature (n)
xiétë (xiéti-)|impermanent; passing (adj)
yaimëa|wailing (adj)
yaimë|wailing (n)
yal-|to summon (vb)
yallumë|in times when (adv)
yallë|as; in the same way as; like (adv)
yanta|bridge (n)
yanwë|joining (n)
yan|*as (conj adv)
yarra-|to growl; to snarl (vb)
yavannamírë|Jewel of Yavanna (n)
ya|that (relative pronoun); which (pron)
yermë|sexual desire (for marriage and procreation) (n)
yesta|beginning (n)
yo-|together (used in words describing the union of three or more things) (pref)
yomenië|gathering; meeting (n)
yonda; yonna|enclosed (adj)
yonda|extensive; roomy (adj)
yondo; yontil|boy (n)
yondë|any fairly extensive region with well-marked natural bounds; region (n)
yontil|son [finger name] (n)
yonwa|border (n)
yonyo|(big) boy (n)
yor-|to enclose; to set bounds to/about (vb)
yosanwë|(pl.) congruence (n)
yo|both ... and (conj)
yu-|both (pref)
yucainen|twenty (cardinal)
yul-|to drink (vb)
yulda (adj)|drunk (adj)
yulda (n)|cup; draught; drink; thing drunk (n)
yulma|cup; drinking implement; drinking vessel; goblet (n)
yulmë|carousal; drinking (n)
yuluitë (yuluiti-)|drinking (as a habit); *aquatic (adj)
yulunefítë|amphibious; *(lit.) drinking-breathing (adj)
yunquesta|*one twelfth (fraction)
yunquë|twelve (cardinal)
yána|vast (adj)
yára|ancient (adj)
yárië|ages (n)
yáva; yávë|fruit (n)
yáviérë|*autumn-day (n)
yávië|autumn; harvest [time or act] (n)
yá|when (conj)
yénië|annals (n)
yén|Elvish long year (144 solar years) (n)
yé|what a ...; what is more; lo! (interj)
yëa|what is more (interj)
yó(m)|[together] with (prep)
yón (*yond-)|region (n)
yúlima|drinkable (adj)
yúyal; úyalë|twilight (n)
yúyo|both (adj)
Ëarenya|Sea-day; *Thursday (n)
Ëa|Cosmos; Creation; World; it is; let it be; the (Material) Universe (n)
Úrimë|August; *Hot-one (n)
ála|do not (particle)
árë (ári-)|day; sunlight; warmth (especially of the sun) (n)
árë nuquerna|árë-reversed (n)
áva|don’t; negative imperative (particle)
áya|awe (n)
á|imperative particle (particle)
ëa-|to be; to exist (vb)
ëala|being; spirit (not incarnate) (n)
ëaren; ëaron|great sea; ocean (n)
ëarendur|(professional) mariner (n)
ëar|great sea; sea (n)
ë|(neut[er]) it; a thing; one (pron)
írima|beautiful; desirable; lovely (adj)
írë|desire (n)
íta (adv)|extremely; increased; very; (lit.) multiplied (adv)
íta (n)|flash (n)
ócama-; órava-|*to have mercy (vb)
ócom-|to assemble; to gather (vb)
óla-|to dream (impersonal) (vb)
ólamaitë|consonantal (adj)
óma-tengwë; ómatehta|vowel-sign (n)
óman (omand-)|vowel (n)
ómatailë|vowel lengthening (n)
ómataima; ómataina|vocalic extension (n)
óma|resonance of the vocal chords; voice; vowel (n)
ómëa|vowel (n adj)
ópa|mouth (opening of which the lips are the edges) (n)
óricuvoitë|keeping one’s own counsel (not necessarily sinister); uncommunicative (adj)
órë|(pre)monition; caution; heart (inner mind); warning (n)
ósanwë|communication of thought; interchange of thought; (lit.) thinking together (dual) (n)
öar|away from (adv)
öa|away (of movement) (adv)
ú (particle)|not (particle)
ú (prep adv)|destitute of; without (prep adv)
ú-|bad; difficult; hard; hardly; in-; no; not; un-; uneasy; with difficulty; ‘badly’ (pref)
úcalima|dim; murky (adj)
úcar-|to do wrong; to sin; *to trespass (vb)
úcarnë|not red (adj)
úcarë|debt; trespass; *sin (n)
úcárima|difficult; hard to do (adj)
úfantima; úfantuma|not concealable (adj)
úfanwëa|not veiled; unveiled (adj)
úlumë|at all times (in a series or period) (adv)
úma-|to teem (vb)
úmaitë|clumsy(-handed); unskilled (adj)
úmara|bad; evil; ill-used; sinister (adj)
úmárë|not good = evil (n)
úmëa|abundant; swarming; teeming (adj)
úmë|great collection or crowd of things of the same sort; throng (n)
únat|thing impossible to be or to be done (n)
úna|deprived of; destitute; forlorn (adj)
únehta|*atom (n)
únyárima|impossible to recount (adj)
únótima|countless; difficult/impossible to count; numberless (adj)
úpahtëa|speechless (adj)
úpa|dumb [unable to speak] (adj)
úquétima|impossible to say or put into words; unpronounceable; unspeakable (adj)
úr; úrë|heat (n)
úra (Emotion)|nasty (adj)
úra (Sense Perception)|sultry; torrid; unpleasantly hot (adj)
úro|nastiness (n)
úsahtië [þ]|inducement to do wrong; *temptation (n)
úsir; úsië|on the contrary (conj)
úva-|to be imminent; to draw near [usually negative in sense]; to impend (vb)
úvanima|hard to call beautiful; hideous; not fair; ugly (adj)
úvanimo; úvano|corrupt or evil creature; monster (n)
úvië|consideration; pondering (n)
