(a)lá|yes (interj)
hirdë|entrails, bowels (n)
hisquë|smog (n)
hiuma|hint, clue (n)
hlaimar|hospital (n)
hlaiwa|sickly, sick, ill (adj)
hlapil|flag (n)
hlappo|dress, (lit.) flying cloth (n)
hlapu-|to blow, fly or stream in the wind (vb)
hlar-|to hear (vb)
hlaraitë|able to hear (adj)
hlarindo|hearer (n)
hlarië|hearing (n)
hlarma|earpiece, receiver (n)
hlas|ear (n)
hlimbë|sliding, gliding, slippery, sleek (adj)
hlintë|fluff, down, soft stuff (adj)
hlit-|to speed swiftly, race, dash, hurtle (vb)
hloima|poison, poisonous substance (n)
hloirëa|venomous, *poisonous (adj)
hloirë|venom, poison, poisonousness (n)
hloita-|to poison, envenom, fill with poison (vb)
hlonaitë|phonetic (adj)
hlonitë|phonetic (adj)
hlonta-|to boom, bang, make (loud) noise (vb)
hluc-|to swallow (vb)
hlunco|pharynx, gullet (n)
hlussa-|to whisper (vb)
hlussë|whispering sound, *whisper (n)
hlárelóra|deaf, (lit.) hearing-less (adj)
hlárerya|hearing (ability) (n)
hlívë|sickness, *disease (n)
hlócë|reptile, snake, serpent, worm, *lizard; [ᴹQ.] dragon (n)
hlón(a)|noise, sound; *phone (in linguistics), speech sound (n)
hlónemma|phoneme (n)
hlöa|flood, fenland (n)
hlöa|flood, fenland (n)
hlúvo|greasy, fat (adj)
holdë|[unglossed] (n)
holla|?shut (adj)
hollo|cock, cockerel, rooster (n)
hollë|shout (n)
holma|?shut (adj)
holmo|sincerely, heartily; *(lit.) from the heart (adv)
holta-|to shut, close (vb)
holtu-|to call out, *shout (vb)
holya-|to shut, close (vb)
holyë|hen (n)
homanca-|to buy (vb)
hondacil|belladonna, (lit.) heartsbane (n)
honda|hearted (adj)
hondo|(seat of the) deepest feelings (n)
hontompa|heartbeat (n)
hontossë|loud sneeze (n)
hont|sneeze (n)
horina|driven under compulsion, impelled (adj)
horna²|driven under compulsion, impelled (adj)
horna¹|uneven, rough; rude (adj)
hornië|roughness; rudeness (n)
hosta-|to gather (hastily together), collect, assemble, pile up (vb)
hostaitë|able to gather (adj)
hototyossë|a cough and a sneeze (n)
hotsë|army, band, troop (n)
hotya-|to sneeze (vb)
hrai(a)²|easy (adj)
hrai(a)¹|difficult, awkward, ⚠️stiff (adj)
hrai-|hard, *difficult (pref)
hraicenë|scarcely visible, hard to see (adj)
hraicénima|scarcely visible, hard to see (adj)
hrainotë|*hard to count (adj)
hraitasta|detail (n)
hrai|awkward, difficult, stiff (adj)
hrambundo|bison, gaur, wisent, buffalo (lit. wild ox) (n)
hranga-|to thwart (vb)
hranga|awkward, difficult, stiff, hard (adj)
hrangwë|problem, difficulty (n)
hravanda|wilderness (n)
hravan|wild beast (n)
hresta|beach, shore (n)
hris-|to snow (vb)
hrissë|fall of snow (n)
hristil|snow (?peak) (n)
hrisya-|to snow (impersonal) (vb)
hritya-|to achieve, accomplish (n)
hriz-|to snow (vb)
hrondo|(physical) body, corporeal form (n)
hru-|evil- (pref)
hruhirdië|dysentery (n)
hrundav-|to condemn (vb)
hruo|*wickedness (n)
hrupuhta-|to fornicate (vb)
hrupuhtië|fornication (n)
hrupuhto|fornicator (n)
hráva|wild, savage, [ᴹQ.] untamed (adj)
hrávëa|fleshly, carnal (adj)
hrávë|flesh (n)
hrá|*for, on behalf of (prep)
hríma|edge, hem, border (n)
hrívë|winter (n)
hró-|east (pref)
hróme(n)|east (n)
hrón|matter, substance, flesh; body (n)
hróta|dwelling underground, artificial cave or rockhewn hall (n)
hróva²|savage, wild (adj)
hróva¹|dark, dark brown (of hair) (adj)
hröafelmë|*body-impulse (n)
hröaloica|cripple (n)
hröangolmë|lore of the body and arts of healing (n)
hröava|corporeal, bodily (adj)
hröa|body, bodily form, ⚠️flesh; physical matter (n)
hrú(y)a|evil, wicked (adj)
hrúcarë|evil-doing (n)
hrúcen|envy, (lit.) evil-sight (n)
hrúfinta-|to cheat (vb)
huarda|pack (of dogs, wolves) (n)
huar|wild dog, jackal (n)
huinë|gloom, (unrelieved) darkness, deep shadow, ⚠️night shade; dark (as a substance) (n)
huiva|murky, *(nearly) lightless (adj)
hundo|thunder (n)
hundu-|to thunder (vb)
huolë|litter (of pups, cubs, etc.) (n)
hurindo|liar (n)
hurulë|deception (n)
hurumo|imposter (n)
hwandasar|pumice, (lit.) sponge-stone (n)
hwarrissë|blizzard, (lit.) blowing fall of snow (n)
hwarwa|violent wind (n)
hwermë|gesture-code (n)
hwesta sindarinwa|Grey-elven hw (n)
hwestalaucata-|to vapourize (vb)
hwestalauca|vapour (n)
hwesta|breeze; [ᴹQ.] breath, puff of air (n)
hwinda|mad, crazy (adj)
hwindë|birch (n)
hwinima|confusing (adj)
hwinquetë|confused talk, nonsense (n)
hwinta-|to mix, stir; to confuse (vb)
hwintaila|confusing (adj)
hwinwaiwa|whirlwind (n)
hwá|violent wind (n)
hyal-|to ring, resound (vb)
hyalin|paper (n)
hyallë|otherwise, another way, differently (adv)
hyalta-|to strike, make ring (vb)
hyam-|*to pray (vb)
hyamië|prayer (n)
hyan-|to injure (vb)
hyana|other (adj)
hyanda|harm, damage (n)
hyanda|pressed mass, crowd, [ᴹQ] throng (n)
hyando|cleaver, [ᴹQ.] hewer (sword) (n)
hyanna|compact, [ᴹQ.] compressed (adj)
hyano|rather (adv)
hyapalle|slipper, (lit.) little shoe (n)
hyaqui|or else, otherwise (conj)
hyar-|left-hand, south (pref)
hyarehtë|halberd (n)
hyarma|left hand (n)
hyarmen|south, (lit.) left-hand direction (n)
hyarna²|compact, [ᴹQ.] compressed (adj)
hyarna¹|southern (adj)
hyarnúmen|southwest (n)
hyarnúna|southwestern (adj)
hyarrómen|southeast (n)
hyarróna|southeastern (adj)
hyar|plough (n)
hyassë|rushing noise, *rustling (n)
hyasta-|to rush, rustle (vb)
hyasta-²|to hack through (vb)
hya²|other thing (pron)
hya¹|or (conj)
hyermë|prayer (n)
hye|other person, him (the other) (pron)
hyulma|coal (n)
hyuxo|hiccup (n)
hyámen|front (n)
hyárë|*today, this day (n)
hyázë|*this day (n)
hyólamo|trumpeter (n)
hácala|yawning (adj)
háno|brother (n)
háva|[unleavened] bread (collective) (n)
héramat|main course, (lit.) chief meal (n)
hérincë|*little lady (n)
hérosto|capital city (n)
hér|lord (n)
hérë|lordship (n)
hé|other person, him (the other) (pron)
híma|sticky, viscous (adj)
hína|child (n)
hísilanya|mist thread, grey elvish rope (n)
hísië|mist, mistiness (n)
hísëa|misty (adj)
hísë|mist, [ᴹQ.] fog, [ᴱQ.] haze; ⚠️dusk; bleared (n)
hí|here (adv)
hó-|away, from, from among (pref)
hócilmë|example, outtake, selection, representative item (n)
hócir-|to cut off (so as to have or use a required portion) (vb)
hón|heart (physical organ) (n)
hórista|citation, quotation, (lit.) something cut out (n)
hótocië|tax (n)
hótul-|to come away (vb)
hó|hound (or ?heart) (n)
hó|owl (n)
höahan|big brother (informal/familiar) (n)
höanet|big sister (informal/familiar) (n)
höassë|size (n)
höa|big, large (adj)
húmeter|kilometre, km (n)
húmë|thousand; †great number (cardinal)
húna|cursed, accursed (adj)
húni|bitch, *female dog (n)
húta-|to curse (vb)
hú|hound (or ?heart) (n)
iasintë|hyacinth (n)
ier|*as (prep)
il-|every, *all (pref)
ilaurëa|*daily (adj)
ilca-|to gleam (white) (vb)
ilcaxo|ivory, (lit.) gleam bone (n)
ilcë|you (plural emphatic) (pron)
ildomë|everywhere (pron)
ilimba|milky (adj)
ilin|milk (n)
illangiéla|nevertheless, (lit.) all-having-been-bypassed (adv)
illi|all (n)
illië|public (n)
illumë|*always (adv)
illómëa|nightly (adj)
illöa(va)|annual, yearly, per annum (year as item) (adj adv)
ilquen|everybody, *everyone (pron)
ilquárëa|general (adj)
iltana-|to prove, demonstrate (vb)
iluasta|omnipresence (n)
ilucara|omnificent (adj)
iluisa|omniscient (adj)
ilu|everything, all, the whole; [ᴹQ.] universe, ⚠️world; [ᴱQ.] ether (n)
ilvan(y)a|perfect (adj)
ilyarëa|*daily (adj)
ilya|every, each, all (of a particular group of things), [ᴹQ.] the whole (adj)
ilyë|all (adj)
ilúvala|omnipotent (adj)
ilúvëa|universal (adj)
ilúvë|the whole, the all, allness; ⚠️[ᴹQ.] universe, world; Heaven (n)
im-|same (pref)
imbacindë|harlot (n)
imbalandë|equality (n)
imba|same, self-same (pron)
imbenatsë|internet (n)
imberaima|internet (n)
imbilat|*deep valley (n)
imbë²|deep valley, (wide) ravine, [ᴹQ.] glen, dell, (lit.) tween-land (n)
imbë¹|between, among; ⚠️[ᴹQ.] in(wards) (prep adv)
imirin|of crystal (adj)
imirë|crystal (n)
imi|in, [ᴱQ.] inside (prep)
imli|*yourself (polite) (pron)
imlë|yourself (polite) (pron)
imma|same, self-same, same thing (pron)
immenwa|automobile (n)
immolaitië|self-praise (n)
immoquanta|full of him/herself, egotistic, narcissistic (adj)
immotuntië|conscience, (lit.) self-perceiving (n)
immoturië|self-control (n)
immo|same one (person), self (pron)
immë²|ourselves (dual, emphatic) (pron)
immë³|?the same person (pron)
immë¹|ourselves (exclusive) (pron)
imnetyala|hypocritical, (lit.) self-adorning (adj)
imnetyalë|hypocrisy, (lit.) self-adornment (n)
imnetyando|hypocrite (n)
imni|myself (pron)
imnë|myself (pron)
imyalë|sameness (n)
imya|same, identical, self-same (adj)
imíca|among (prep)
incánussë|mind mastership (n)
incánu|mind master (n)
incë|*you (dual emphatic) (pron)
indemma|mind-picture (of apparition in dream) (n)
indil|lily, other large single flower (n)
indis|[ᴹQ.] bride; ⚠️[Q.] wife (n)
indosatië|resolution (n)
indo|(state of) mind, (inner) thought, mood; will, resolve; [ᴹQ.] heart (n)
indu-|to will, do on purpose (vb)
induinen|purpose (n)
indyarin|device, escutcheon, blazon (n)
indya|device, machine, engine (n)
indyel|small bell (n)
indë|yourselves (pron)
indómë|settled character; will of Eru (n)
ingaran|high-king (n)
inga|top, highest point, ⚠️[ᴹQ.] first (n)
ingolmo|loremaster, wizard, one with very great knowledge, *scientist (n)
ingolë|lore, science, philosophy; [ᴹQ.] deep lore, magic (n)
ingor|summit of a mountain (n)
ingëa|top (adj)
inimë|femininity, womanliness (n)
iniva|womanly (adj)
inquë|thou-and-I (emphatic) (pron)
insangarë|*temptation (n)
insa|itself (pron)
insil|flower, lily (n)
insë|himself, herself (pron)
intu|themselves (dual) (pron)
intyaitë|fantastic, fantasy (adj)
intyë|yourself (familiar) (pron)
intë²|they (emphatic) (pron)
intë¹|themselves (pron)
inwalmë|mood of mind (n)
inwirya-|to change one’s mind, reconsider (vb)
inwissar|opal, (lit.) mood-change stone (n)
inwista-|to persuade, convince (vb)
inwis|change of mind/mood (n)
inwë|ourselves (inclusive) (pron)
inyenna|have, (lit.) added to me (adv)
inyë|I (emphatic) (pron)
in|the (article)
ipsin|fine thread (n)
iqu-|to beg, ‘pray’ [ask earnestly] (vb)
iquindo|beggar (n)
iquirya-|to ask for, request (vb)
iquista|request; ⚠️if you please, please (n)
iquis|requirement (n)
iqui|if (conj)
ir-|to shudder (vb)
irta-|to peck, prick (vb)
irtë|peck, pinprick (n)
isilmë|moonlight (n)
isima|imagination, mind (n)
issë|he, *she, it (emphatic) (pron)
ista-|to know (vb)
istalë|information (n)
istanómë|school, academy (n)
istima|wise (in sense knowing very much), knowledgeable, very well informed, learned (adj)
istyalóra|ignorant (adj)
it(ë)|if (adv)
ita-|to sparkle (vb)
italo|since (conj)
itan|so that, in order to (conj)
itara|gleaming (adj)
itas|in that case (adv)
ita|that which, what (conj)
itila|twinkling, glinting (adj)
itisin|itching (adj)
itisya-|to itch, irritate (vb)
itis|fly bite; *itch (n)
itsë|fly (n)
ixal|cast shadow (n)
i²|who, what, which, that (pron)
i¹|the (article)
kyermë|prayer (n)
la-|not, in-, un- (pref)
lacalima|not possible to be kindled (made to shine) (adj)
lacaltaima|not possible to be kindled (adj)
lacaraitë|*inactive; ⚠️impossible (adj)
lacarina|undone, *unfinished, incomplete (adj)
lacarë|inaction, (lit.) not-doing (n)
lacenítë|unseeing, blind (adj)
lacenítë|unseeing, blind (adj)
lacárima|not feasible, impossible (adj)
lahlaraitë|deaf, (lit.) unable to hear (adj)
lahta-|to cross, pass over, go over; to surpass, excel (vb)
lahtalë|passover (n)
laicalassë|green-leaf, green as leaves (adj)
laica|green (adj)
laicelumir|malachite (lit.) green-flowing-jewel (n)
laiceta-|to sharpen (vb)
lailinquë|beryllium, (lit.) fresh-liquid light (n)
laimamatta|vegetable food, (lit.) plant food (n)
laimamatya|herbivorous, vegetarian, (lit.) plant-eating (adj)
laimaril|emerald (n)
laima|plant (n)
laiquaril|emerald (n)
laiqua|green (adj)
laiquelis|rue (plant) (n)
laiquë|herb (n)
lairelossë|summer-snow-white, species of tree in Númenor (n)
lairemo|poet (n)
lairemírë|daisy, (lit.) meadow-jewel *(or summer-jewel) (n)
lairesta|poetry (n)
lairus|verdigris (n)
lairë|summer (n)
laista|ignorance, (lit.) not-knowing (n)
laistila|ignorant (adj)
laistima|unknowable, secret (adj)
laistëa|ignorant (adj)
laita-|to praise, bless (vb)
laitalë|praise (n)
laitelë|falsehood (n)
laitima|honourable, praiseworthy (adj)
laitita-|to falsify (vb)
laitië|praising, honour (n)
laitë|false (adj)
laivelyávë|(water)melon (n)
lai|very (adv)
lala-|to laugh (vb)
lalamma-|to chatter, babble (vb)
lalammamo|babbler (n)
lalammië|babble (n)
lalasta|laughter (n)
lalda|laugh (n)
lalevítë|lame (adj)
lalil|chuckle (n)
lalië-malina|daffodil, (lit.) yellow laughter (n)
lalië|laughter, laughing (n)
lalta-|to make laugh (vb)
laltaula|funny, (lit.) apt to make laugh (adj)
lamanwa|animal-like, beastly, stupid (adj)
laman|animal, [ᴹQ.] tame beast (n)
lamate|fasting, a fast (n)
lamba|(physical) tongue (n)
lambelanga-|to translate (generally, between languages) (vb)
lambelanga|translation (n)
lambelë|phonetics (n)
lambengolmë|linguistics (n)
lambetengwë|consonant (n)
lambina|of tongue, spoken with tongue (adj)
lambë|language, tongue, dialect (n)
lamma-|?to echo (vb)
lamnarë|flock, *herd (n)
lamélima|unlovable (adj)
lana|no, not any, not (a); none (adj pron)
lancanta-|to transform, turn into (trans.) (vb)
lanca|sharp edge (not of tools), sudden end (n)
lancöa|tent, (lit.) cloth shelter (n)
landa|boundary (n)
lane|hem (n)
langa-|to cross, go over, pass over (vb)
langandë|stringed instrument with a neck (lute, guitar, etc.) (n)
langa|thing that crosses, ferry, ford, crossway, bridge, ⚠️cross-bar (n)
lango|neck, [ᴹQ.] throat (n)
langë|surpassingly, superlatively, extremely (adv)
lanna|athwart, (to a point) beyond, *across (adv prep)
lanotoitë|innumerable (adj)
lanquet-|to converse, debate, *discuss (vb)
lanquetta|conversation, debate, interchange of words (n)
lanquinga|crossbow (n)
lanquit-|to darn a knitted garment, (lit.) cross/over-knit (vb)
lanta-|to fall; [ᴱQ.] to drop (vb)
lantalca|boundary post or mark (n)
lantanna|banner, standard (n)
lantanwa|fallen (adj)
lantasírë|waterfall, (lit.) falling river (n)
lanta|fall; falling, ⚠️[ᴱQ.] fallen (n adj)
lantë|fall (n)
lanwa|within bounds, limited, finite, (well-)defined (adj)
lanwë|ebb-tide (n)
lanya-²|to cross (vb)
lanya-¹|to bound, enclose, separate from, mark the limit of (vb)
lanya|thread, warp (n)
lan|*while (conj)
lanéya|recently, not long ago (adv)
lap-|to wrap, swathe, wind (vb)
lapa-|to hop (vb)
laparotsë|sleeve, trouser leg, (lit.) wrap-tube (n)
lapil|swathe, flowing cloth (n)
lappa|loose-end, end of rope, hem of robe (n)
lapsarwa|pregnant, (lit.) baby-having (adj)
lapselunga|pregnant, (lit.) baby-heavy (adj)
laptë|gluttonous eating (n)
laptë|gluttonous eating, [ᴹQ.] †licking up (food or drink) (n)
laqui|unless (conj)
larma|raiment (n)
larmo|listener (spy or scout) (n)
larmëa|fatty, fleshy (adj)
larnelta|mile; *(lit.) league third (n)
larta-|to wait, stay, remain, last, endure (vb)
laru|grease, ⚠️fat (n)
larúva|greasy (adj)
lasir|rather the reverse (conj)
lasselanta|(late) autumn, (lit.) leaf-fall; ⚠️[ᴹQ.] October (n)
lassewinta|leaf fall, autumn, *(lit.) leaf blowing (n)
lassëa|with leaves, leafy (adj)
lassë|leaf; ⚠️[ᴱQ.] petal (n)
lasta-|to listen; ⚠️[ᴹQ.] to hear (vb)
las|it is/was not so (adv)
latanca|unsure, insecure (adj)
latil|key (n)
latina|free (of movement), not encumbered with obstacles, [ᴹQ.] open, cleared (of land) (adj)
latsë|area, space, room (n)
lattasta|harness, (lit.) collection of straps (n)
latter-|to darn a sewn garment, (lit.) cross/over-sew (vb)
lattinsan|shutter, (lit.) window-barrier (n)
lattinsámo|shutter, (lit.) window-barrier (n)
lattin|window (n)
latucenda|of tin (adj)
latya-|to open anything (so as to allow entry) (vb)
latya|opening (n)
lat|flap, small hinged door, lid (n)
latúcen|tin [metal] (n)
laucata-|to heat up, warm (vb)
lauca|[ᴹQ.] warm (adj)
laucehtelë|hot spring (n)
laulema|inhabiting (adj)
laulemo|inhabitant (n)
laulesta-|to lead a life, gain a living (vb)
laulesta|livelihood (n)
laulë|mode of life, *lifestyle (n)
laupë|tunic, shirt (n)
laurinquë|yellow-flowered tree (n)
laurië|goldenness; like gold (n adv)
laurëa|golden (of hue) (adj)
laurë|gold (light or colour) (n)
lauta-|to warm (vb)
lauya-|to flourish (green), grow (vb)
lav-|to lick (vb)
lavéla|different, dissimilar (adj)
lehta|free, released (adj)
lelelya-|to travel (vb)
lelta-|to send, *(lit.) cause to go (vb)
leluya|thick (of a single thing) (adj)
lelya-²|to appear (of beautiful things); to attract, enchant (with dative) (vb)
lelya-³|?thick, thicken & congeal (vb)
lelya-¹|to go, proceed (in any direction), travel (vb)
lelya-⁴|to will with conscious purpose, immediate or remote (vb)
lelyaláve|ticket, (lit.) travel-permission (n)
lelya|delicate, beautiful and fine, slender, lovely (adj)
lemba|sad (adj)
lemenya|fifth (ordinal)
lemen|five (cardinal)
lemma|artifact, relic, residue (n)
lemmë|remnant(s), remains, remainders (n)
lemnë|five (cardinal)
lempellumë|five times (adv)
lempëa|fifth (ordinal)
lempë|five (cardinal)
lenca|slow, ⚠️dull, stiff; left (hand) (adj)
lenda-|to go free (vb)
lenda|journey, *travel, trip (n)
lendië|tourism, *traveling (n)
lendë|journey (n)
lenga-|to behave (vb)
lenga-|to behave (vb)
lengalë|behavior (n)
lengesta|character (of a person), set of characteristic traits (n)
lengwë|yearning, desire for what is lost or absent (n)
lengë|gesture, characteristic look, gesture or trait (n)
lengë|gesture, characteristic look, gesture or trait (n)
lenna-|to come; [ᴹQ.] to go, depart (vb)
lenweta-|to go away, migrate, leave one’s abode (vb)
lenwë|leaving, departure (n)
lenya|yours (plural) (pron)
lep-|to take [with fingers], *pick, pluck (vb)
lepecan|fourth finger (n)
lependë|middle finger (n)
lependórë|quintillion (cardinal)
lepenel|middle finger (n)
lepenquain|fifty (cardinal)
lepenquëan|fifty (cardinal)
lepenquëa|fifteenth (ordinal)
lepenquë|*fifteen (cardinal)
lepente|fourth finger (n)
lepenya|fifth (ordinal)
leper|finger (n)
lepesta|one fifth (fraction)
lepetas|index finger (n)
lepetta|Gondorian hardwood (n)
lepinca|little finger (n)
lepincë|little finger (n)
leppa|thimble (n)
lepsat|one fifth (fraction)
lepsa|liver (n)
lepsilë|tendril (n)
lepsë|*finger (n)
lepta-|to pick (up/out); to finger, feel with the fingertips (vb)
leptafinya|clever-fingered (adj)
leptas|*index finger (n)
lepta|fingered; ⚠️thumb, [ᴱQ.] finger (adj n)
leptenta-|*to point to, indicate with finger (vb)
leptollë|*thumb (n)
lerca-|to flee (vb)
lercië|flight (n)
lerembas|bread taken on leaving home (for a long journey) (n)
lerina|free (of things) (adj)
lerië|issue, release, edition (n)
lerta-|to be free to do (vb)
lerya-|to release, set free, let go (vb)
leryalë|release (n)
lesta-|to measure (vb)
lesta|*girdle (n)
letinwessë|constellation (n)
leuca|snake (n)
leuta|finger (n)
lev-|to move (intr.) (vb)
levemma|movie, motion picture (n)
levë|movement, motion (n)
le|you (plural) (pron)
li(n)-|many (pref)
lia-|to entwine (vb)
lialóra|cordless, wireless (adj)
liantassë|vine (n)
lic-|to glide, slip, slide, ⚠️drip (vb)
liendina|popular (adj)
lieraxa|a bus, coach, (lit.) people wagon (n)
lietarwa|park, (lit.) people-garden (n)
lietúrie|democracy (n)
lihta-|to seal (vb)
lihtaina|sealed (adj)
lihta|seal (n)
lillassëa|having many leaves (adj)
lillumë|many times, often (adv)
lilma|patch (n)
liltië|dancing, dance (n)
liltë|dance (n)
lilíva-|to drip, drip-drop (vb)
lilómëa|many-shadowed, very dark, full of darkness (adj)
lilótëa|having many flowers (adj)
limbë|quick, swift (adj)
limil|chain (n)
limpa|frail, slender and drooping (adj)
limpevorma|wine-press (n)
limpunqua|drunken (adj)
limpunquië|drunkenness (n)
limya-|to link, join (vb)
limë|link, *joint (n)
lina|many (adj)
lincantilda|checkered; (lit.) many-squared (adj)
lincantëa|diverse, (lit.) many shaped (adj)
linda-|*to sing, make music (vb)
lindalëa|melodious, *musical (adj)
lindalë|music (n)
linda|beautiful (of sound), sweet, melodious; soft, gentle, light, [ᴱQ.] kind; ⚠️[ᴹQ.] fair (adj)
lindelin|melody, tune (n)
lindelos|laburnum, (lit.) singing cluster (n)
lindimaitar|composer, musician (n)
lindista|music album (n)
lindëa|singing, ⚠️*musical (adj)
lindë|singing, song, musical sound; [ᴹQ.] air, tune (n)
lindóra|millions of, many millions (adv)
linga-|[ᴹQ.] to hang, dangle (vb)
lingi-|[unglossed] (vb)
lingil|hanger, hook (for clothes) (n)
lingwileuca|eel (n)
lingwimo|fisherman (n)
lingwiremnë|fishing (n)
lingwëa|fishlike (adj)
lingwë|fish (n)
lingëa|with a musical sound (adj)
lingë|musical sound (n)
linima|of many kinds, manifold (adj)
linipsinwa|complex, complicated, convoluted; (lit.) many-threaded (adj)
linipsinwië|complexity, complication, complicatedness; (lit.) many-threadedness (n)
linitë|plural (adj)
linquemir|hyacinth [jewel] (n)
linquilea|having many colours (adj)
linquë²|light-substance; liquid light, *photons (n adj)
linquë¹|(leaf of a) hyacinth, *grass or grass-like leaf (n)
linta-|to soothe (vb)
linta|swift (adj)
lintië|swiftness, speed; swiftly, *quickly (n adv)
linvainëa|onion, (lit.) many-sheathed (n)
linwa|musical instrument, device for making music (n)
linwelë|poetry (n)
linya|lean, thin, meagre (adj)
lio|much (adv)
lipsanë|lather (n)
lipta-|to drip (vb)
liptasar|dripstone (n)
liquistëa|transparent, *clear (adj)
liquis|clarity, transparence, limpidity (n)
lir-|to sing, [ᴹQ.] chant (vb)
liralë|merry singing (n)
liru-|to sing (gaily) (vb)
lirulin|lark (n)
lirusta|singing, chant (n)
liscornë|any sweet fried bread, doughnut (n)
lisselë|sweetness (n)
lissimatta|sweet, piece of confectionary (n)
lissimat|dessert, (lit.) sweet-meal (n)
lissimbas|(sweet) cake (eaten as dessert) (n)
lissë²|grace (n)
lissë¹|sweet (adj)
lista-|to sweeten, make sweet (vb)
lita-|to multiply (vb)
litsëa|sandy; granular, gritty (adj)
litsëon|sandstone (n)
littë|ash (n)
liv-|to anoint (vb)
liyúmë|host (n)
liëarda|republic (n)
liëmelehtëa|democratic (adj)
lië|people, folk (n)
loc-|to loop, curl, ⚠️bend (vb)
locco|ringlet (n)
locin|bent, *curled (adj)
loi-|mistaken, mistake in ... (pref)
loicarë|mistaken action (n)
loica|failing, short, inadequate (adj)
loicolícuma|corpse-candle (n)
loico|corpse, dead body (n)
loima|mistake (n)
loiparë|mistake in writing (n)
loiquetë|mistake in speech (n)
loita-|to miss, fail, fall short of (transitive) (vb)
lolóca-|to crawl (vb)
lomba|blind (adj)
lomba|blind (adj)
lomentie|?journey away, departure (n)
londië|harbourage (n)
londë|(land-locked) haven; [ᴹQ.] road (in sea), fairway, entrance to harbour; gulf (n)
lop-|to gallop, *lope, ⚠️[ᴱQ.] run (vb)
lopoldë|rabbit (n)
lorda|slumbrous, drowsy, *sleepy (adj)
lornata-|to put to sleep (vb)
lornatála|sleep-inducing (adj)
lorta-|to faint, swoon, become dazed (vb)
lortalë|swoon, faint, dizziness (n)
loru-|to fall asleep (vb)
lossëa|snowy, (snow) white (adj)
lossë²|[ᴹQ.] (white) blossom, flower, [ᴱQ.] (white) flower; [Q.] inflorescence (of white flowers); ⚠️[ᴱQ.] rose (n)
lossë¹|snow, fallen snow; snow-white, snowy (n adj)
losta-|to bloom, *blossom (vb)
lotarwa|[flower] garden (n)
lotella|floret (n)
lotsë|small (single) flower (n)
lottë|small flower (n)
loxa|brown of hair (adj)
loxor|swamp, bog (n)
loxo|mud (n)
loëndë|mid-year (Númenórean calendar), *(lit.) year-middle (n)
luc-|to haul, drag, [ᴱQ.] pull (behind) (vb)
lucando|debtor, one who trespasses (n)
lucassë|*debt, trespass (n)
lucindo|*debtor, one who trespasses (n)
lucië|*debt, trespass (n)
luhta-|to bow, *curve (vb)
luhta|*debt, trespass (n)
luhtu|magic, spell (n)
luhtya-|extinguish, *quench (vb)
luicarnë|purple (adj)
luilë|sapphire, blue stone (n)
luimë|flood, floodwater, flooded land; flood tide, high tide (n)
luinincë|bluish (adj)
luinion|lapis lazuli, (lit.) blue-rock (n)
luinyellë|bluebell (n)
luinë|blue (adj)
luita-|to flood, inundate, drench (vb)
luitë|melancholic, (lit.) habitually being sad (adj)
lumba|gloomy (adj)
lumbo|cloud, [ᴱQ.] dark lowering cloud; [Q.] gloom, dark, shade (n)
lumbulë|dark shadow, heavy shadow; deep in shadow (n)
lunca|heavy transport wain (n)
lungië|heaviness, gravity (n)
lungo|heavy (adj)
lungumaitë|heavy-handed (adj)
lungumë|weight, heaviness (n)
lunguntë|scales (n)
lungwë|pound (n)
luntë|boat, [ᴱQ.] ship (n)
lunwa|fin, (lit.) swim-thing (n)
luppo|clumsy piece or lump (n)
lupsë|nugget, (small) chunk, clump, tidbit (n)
luqua|heavy transport wain (n)
lurwë|threat (n)
lussë|(verb) tense (n)
lustavë|in vain, emptily (adv)
lustindo|ennui (n)
lustië|in vain, emptily (adv)
lut-|to float, sail, *swim, ⚠️flow (vb)
luttalan|raft, (lit.) floating platform (n)
lyenya|yours (polite) (pron)
lye|you (polite) (pron)
lyéta-|to address somebody formally using lye (vb)
lá-|to not be (vb)
lámatyávë|*sound-taste (n)
láma|sound; ⚠️[ᴹQ.] ringing sound, echo (n)
láquet-|to deny (fact or accusation); (lit.) to say ‘it is not’ (vb)
lára-|to flatten, level (vb)
lár|league; †stop, pause (n)
látacar|pub, public house, (lit.) open-house (n)
láta|open (not closed) (adj)
látie|openness (n)
lávar|(golden) blossom (n)
lávehentar|ticket inspector, (lit.) permission examiner (n)
lávima|permissible (adj)
lávëar|glutton (n)
lávë|permission (n)
lá²|beyond, over, across, athwart (prep)
lá³|yes (interj)
lá¹|no, not (adv)
lélë|will (n)
léramo|freeman (n)
léra|free (of persons) (adj)
lérië|freedom (n)
lé²|with, [ᴹQ.] by, ⚠️[ᴱQ.] with (accompaniment) (prep)
lé¹|way, method, manner (n)
líco|wax (n)
lícuma|taper, candle (n)
lírë|song (n)
lís|honey, *sugar, sweetener (n)
lócë²|snake, serpent (n)
lócë¹|bight, bend, curl of hair (n)
lómaril|jade (n)
lóma|moss (n)
lómelindë|nightingale, (lit.) dusk-singer (n)
lómivehtë|night life (n)
lómëa|shadowed, gloomy, *dusk-like (adj)
lómë|night, dimness, twilight, dusk, darkness, [ᴹQ.] night-time, shades of night, ⚠️gloom; [ᴱQ.] shadow, cloud (n)
lón(ë)|deep pool, river-feeding well (n)
lóna|(deep) pool, mere, river-feeding well (n)
